S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Total Electors,Total Votes,Poll%
74,GEN,Villupuram,R. Lakshmanan,DMK,102271,49.92,C. V. Shanmugam,ADMK,87403,42.66,14868,293532,226893,77.30%
75,GEN,Vikravandi,N. Pugazhenthi,DMK,93730,48.81,R. Muthamilselvan,ADMK,84157,43.47,9573,216909,169756,78.30%
76,SC,Tirukkoyilur,K. Ponmudy,DMK,110980,56.56,V. A. T. Kalivaradhan,BJP,51300,26.14,59680,216909,169756,78.30%
77,SC,Ulundurpettai,A. J. Manikannan,DMK,115451,47.15,R. Kumaraguru,ADMK,110195,45,5256,262083,222870,85.00%
78,GEN,Rishivandiyam,K. Karthikeyan,DMK,113912,52.96,A. Santhosh,ADMK,72184,33.56,41728,262083,222870,85.00%
79,GEN,Sankarapuram,T. Udhayasuriyan,DMK,121186,56.16,Dr. G. Raja,PMK,75223,34.86,45963,238365,184357,77.30%
80,GEN,Kallakurichi (SC),M. Senthilkumar,ADMK,110643,48.99,K. I. Manirathinam,INC,84752,37.52,25891,238365,184357,77.30%
81,GEN,Gangavalli (SC),A. Nallathambi,ADMK,89568,48.02,J. Rekha Priyadarshini,DMK,82207,44.08,7361,254312,205830,80.90%
82,GEN,Attur (SC),A. P. Jayasankaran,ADMK,95308,47.72,K. Chinnadurai,DMK,87051,43.58,8257,254312,205830,80.90%
83,GEN,Yercaud (ST),G. Chitra,ADMK,121561,50.88,C. Tamilselvan,DMK,95606,40.02,25955,251362,207538,82.60%
84,GEN,Omalur,R. Mani,ADMK,142488,57.22,Rangarajan Mohan Kumaramangalam,INC,87194,35.01,55294,251362,207538,82.60%
85,GEN,Mettur,S. Sadhasivam,PMK,97055,44.43,S. Srinivasa Perumal,DMK,96399,44.13,656,245491,178458,72.70%
86,GEN,Edappadi,Edappadi K. Palaniswami,ADMK,163154,65.97,Sampath Kumar,DMK,69352,28.04,93802,245491,178458,72.70%
87,GEN,Sankari,S. Sundararajan,ADMK,115472,49.72,K. M. Rajesh,DMK,95427,41.09,20045,241068,196014,81.30%
88,GEN,Salem (West),Arul Ramadas,PMK,105483,48.69,A. Rajendran,DMK,83984,38.77,21499,241068,196014,81.30%
89,GEN,Salem (North),R. Rajendran,DMK,93432,46.17,G. Venkatachalam,ADMK,85844,42.42,7588,216745,172326,79.50%
90,SC,Salem (South),E. Balasubramanian,ADMK,97506,48.76,A. S. Saravanan,DMK,74897,37.45,22609,216745,172326,79.50%
91,SC,Veerapandi,M. Rajamuthu,ADMK,111682,49.92,Dr. A. K. Tharun,DMK,91787,41.03,19895,272216,209931,77.10%
92,SC,Rasipuram (SC),M. Mathiventhan,DMK,90727,46.08,V. Saroja,ADMK,88775,45.09,1952,272216,209931,77.10%
93,SC,Senthamangalam (ST),K. Ponnusamy,DMK,90681,45.51,S. Chandran,ADMK,80188,40.25,10493,237690,188505,79.30%
94,GEN,Namakkal,P. Ramalingam,DMK,106494,51.51,K. P. P. Baskar,ADMK,78633,38.03,27861,237690,188505,79.30%
95,GEN,Paramathi-Velur,S. Sekar,ADMK,86034,46.83,K. S. Moorthy,DMK,78372,42.66,7662,225328,176461,78.30%
96,GEN,Tiruchengode,E. R. Eswaran,KMDK,81688,44.23,Pon. Saraswathi,ADMK,78826,42.69,2862,225328,176461,78.30%
97,GEN,Kumarapalayam,P. Thangamani,ADMK,100800,49.92,M. Venkatachalam,DMK,69154,34.25,31646,231496,195021,84.20%
98,GEN,Erode (East),Thirumagan Evera,INC,67300,44.27,M. Yuvaraja,ADMK,58396,38.41,8904,231496,195021,84.20%
99,GEN,Erode (West),S. Muthusamy,DMK,100757,49.01,K. V. Ramalingam,ADMK,78668,38.27,22089,229174,184298,80.40%
100,GEN,Modakkurichi,Dr. C.K. Saraswathi,BJP,78125,42.96,Subbulakshmi Jagadeesan,DMK,77844,42.81,281,229174,184298,80.40%
101,GEN,Dharapuram (SC),N. Kayalvizhi,DMK,89986,46.39,L. Murugan,BJP,88593,45.67,1393,227710,186864,82.10%
102,SC,Kangayam,M. P. Saminathan,DMK,94197,47.14,A. S. Ramalingam,ADMK,86866,43.47,7331,227710,186864,82.10%
103,SC,Perundurai,S. Jayakumar,ADMK,85125,44.84,K. K. C. Balu,DMK,70618,37.2,14507,238180,196277,82.40%
104,GEN,Bhavani,K. C. Karuppannan,ADMK,100915,50.11,K. P. Durairaj,DMK,78392,38.93,22523,238180,196277,82.40%
105,GEN,Anthiyur,A. G. Venkatachalam,DMK,79096,44.84,K. S. Shanmugavel,ADMK,77821,44.12,1275,256172,209811,81.90%
106,GEN,Gobichettipalayam,K. A. Sengottaiyan,ADMK,108608,50.68,G. V. Manimaaran,DMK,80045,37.36,28563,256172,209811,81.90%
107,GEN,Bhavanisagar (SC),A. Bannari,ADMK,99181,49.45,P. L. Sundaram,CPI,83173,41.47,16008,238757,203479,85.20%
108,GEN,Udhagamandalam,R. Ganesh,INC,65530,46.44,M. Bhojarajan,BJP,60182,42.65,5348,238757,203479,85.20%
109,GEN,Gudalur (SC),Pon. Jayaseelan,ADMK,64496,46.65,S. Kasilingam,DMK,62551,45.24,1945,327242,246122,75.20%
110,GEN,Coonoor,K. Ramachandran,DMK,61820,45.49,Kappachi D. Vinoth,ADMK,57715,42.47,4105,327242,246122,75.20%
111,GEN,Mettupalayam,A. K. Selvaraj,ADMK,105231,46.75,T. R. Shanmuga Sundaram,DMK,102775,45.66,2456,242107,192056,79.30%
112,GEN,Avanashi (SC),P. Dhanapal,ADMK,117284,55.16,R. Athiyamaan,DMK,66382,31.22,50982,242107,192056,79.30%
113,GEN,Tiruppur (North),K. N. Vijayakumar,ADMK,113384,47.62,Subramanian M.,CPI,73282,30.78,40102,226980,205244,90.40%
114,GEN,Tiruppur (South),K. Selvaraj,DMK,75535,43.31,Gunasekaran S,ADMK,70826,40.61,4709,226980,205244,90.40%
115,GEN,Palladam,M. S. M. Anandan,ADMK,126903,48.53,K. Muthurathinam,DMK,94212,36.03,32691,237160,208546,87.90%
116,GEN,Sulur,V. P. Kandasamy,ADMK,118968,49.23,M. Kalichamy,DMK,87036,36.02,32302,237160,208546,87.90%
117,GEN,Kavundampalayam,G. Arunkumar,ADMK,135669,43.78,R Krishnan,DMK,125893,40.62,9776,256946,215607,83.90%
118,GEN,Coimbatore (North),Amman K. Arjunan,ADMK,81454,40.16,V M Shamuga Sundaram,DMK,77453,38.19,4001,256946,215607,83.90%
119,GEN,Thondamuthur,S. P. Velumani,ADMK,124225,53.89,Karthikeya Sivasenapathy,DMK,82595,35.83,41630,253899,219656,86.50%
120,GEN,Coimbatore (South),Vanathi Srinivasan,BJP,53209,34.38,Kamal Haasan,MNM,51481,33.26,1728,253899,219656,86.50%
121,GEN,Singanallur,K. R. Jayaram,ADMK,81244,40.22,Karthik N,DMK,70390,34.84,10854,236142,196316,83.10%
122,SC,Kinathukadavu,S. Damodaran,ADMK,101537,43.68,Kuruchi Prabhakaran,DMK,100442,43.21,1095,236142,196316,83.10%
