S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Total Electors,Total Votes,Poll%
167,ST,Mannargudi,Dr. T. R. B. Rajaa,DMK,87172,45.11,Siva. Rajamanickam,ADMK,49779,25.76,37393,273284,236945,86.70%
168,ST,Thiruvarur,K. Poondi Kalaivanan,DMK,108906,52.29,A. N. R. Panneerselvam,ADMK,57732,27.72,51174,282810,247427,87.50%
169,GEN,Nannilam,R. Kamaraj,ADMK,103637,46.7,S. Jothiraman,DMK,99213,44.7,4424,282810,247427,87.50%
170,GEN,Thiruvidaimarudur (SC),Govi. Chezhiyan,DMK,95763,48.26,Union S. Veeramani,ADMK,85083,42.87,10680,274547,216195,78.70%
171,GEN,Kumbakonam,G. Anbalagan,DMK,96057,48.62,M. Srithar Vandayar,ADMK,74674,37.8,21383,274547,216195,78.70%
172,GEN,Papanasam,Dr. M. H. Jawahirullah,DMK,86567,43.95,K. Gopinathan,ADMK,70294,35.69,16273,274079,246192,89.80%
173,GEN,Thiruvaiyaru,Durai Chandrasekaran,DMK,103210,48.82,Poondi S. Venkatesan,BJP,49560,23.44,53650,274079,246192,89.80%
174,GEN,Thanjavur,T. K. G. Neelamegam,DMK,103772,53.25,V. Arivudainambi,ADMK,56623,29.06,47149,263382,230778,87.60%
175,GEN,Orathanadu,R. Vaithilingam,ADMK,90063,46.95,M. Ramachandran,DMK,61228,31.92,28835,263382,230778,87.60%
176,GEN,Pattukkottai,K. Annadurai,DMK,79065,44.62,N. R. Rengarajan,ADMK,53796,30.36,25269,286676,214945,75.00%
177,GEN,Peravurani,Peravurani N. Ashokkumar,DMK,89130,52.17,S. V. Thirugnana Sambandam,ADMK,65627,38.41,23503,286676,214945,75.00%
178,GEN,Gandharvakottai (SC),M. Chinnadurai,CPI(M),69710,44.23,S. Jayabharati,ADMK,56989,36.16,12721,266004,200837,75.50%
179,GEN,Viralimalai,C. Vijayabaskar,ADMK,102179,52.83,M. Palaniappan,DMK,78581,40.63,23598,266004,200837,75.50%
180,GEN,Pudukkottai,Dr. V. Muthuraja,DMK,85802,47.7,V. R. Karthik Thondaiman,ADMK,72801,40.47,13001,253910,198122,78.00%
181,GEN,Thirumayam,S. Regupathy,DMK,71349,41,P. K. Vairamuthu,ADMK,69967,40.2,1382,253910,198122,78.00%
182,GEN,Alangudi,Meyyanathan Siva V,DMK,87935,51.17,Dharma. Thangavel,ADMK,62088,36.13,25847,248943,222293,89.30%
183,GEN,Aranthangi,T. Ramachandran,INC,81835,48.7,M. Rajanayagam,ADMK,50942,30.31,30893,248943,222293,89.30%
184,GEN,Karaikudi,S. Mangudi,INC,75954,35.75,H. Raja,BJP,54365,25.59,21589,229784,194794,84.80%
185,SC,Tiruppattur (Sivaganga),K. R. Periyakaruppan,DMK,103682,49.19,Marudhu Alaguraj,ADMK,66308,31.46,37374,229784,194794,84.80%
186,SC,Sivaganga,P. R. Senthilnathan,ADMK,82153,40.66,S. Gunasekaran,CPI(M),70900,35.09,11253,235223,197177,83.80%
187,ST,Manamadurai (SC),A. Tamilarasi,DMK,89364,44.01,S. Nagarajan,ADMK,75273,37.07,14091,235223,197177,83.80%
188,ST,Melur,P. Selvam,ADMK,83344,45.6,T. Ravichandran,INC,48182,26.36,35162,248958,205474,82.50%
189,GEN,Madurai East,P. Moorthy,DMK,122729,51.59,Gopalakrishnan,ADMK,73125,30.74,49604,248958,205474,82.50%
190,GEN,Sholavandan (SC),A. Venkatesan,DMK,84240,48.04,Manickam,ADMK,67195,38.32,17045,213768,182733,85.50%
191,GEN,Madurai North,G. Thalapathi,DMK,73010,46.64,P. Saravanan,BJP,50094,32,22916,213768,182733,85.50%
192,GEN,Madurai South,M. Boominathan,DMK,62812,42.49,S.S.Saravanan,ADMK,56297,38.08,6515,222373,183151,82.40%
193,GEN,Madurai Central,Palanivel Thiagarajan,DMK,73205,48.99,Jothi Muthuramalingam,ADMK,39029,26.12,34176,222373,183151,82.40%
194,GEN,Madurai West,Sellur K. Raju,ADMK,83883,41.59,C. Chinnammal,DMK,74762,37.07,9121,243526,200583,82.40%
195,GEN,Thiruparankundram,V. V. Rajan Chellappa,ADMK,103683,43.96,S. K. Ponnuthai,CPI(M),74194,31.46,29489,243526,200583,82.40%
196,GEN,Tirumangalam,R. B. Udhaya Kumar,ADMK,100338,45.51,M. Maniraman,DMK,86251,39.12,14087,218783,150491,68.80%
197,GEN,Usilampatti,P. Ayyappan,ADMK,71255,33.53,P. V. Kathiravan,DMK,63778,30.01,7477,218783,150491,68.80%
198,GEN,Andipatti,A. Maharajan,DMK,93541,44.64,A. Logirajan,ADMK,85003,40.57,8538,272477,203611,74.70%
199,GEN,Periyakulam (SC),K. S. Saravana Kumar,DMK,92251,45.71,M. Murugan,ADMK,70930,35.15,21321,272477,203611,74.70%
200,GEN,Bodinayakanur,O. Panneerselvam,ADMK,100050,46.58,Thanga Tamil Selvan,DMK,89029,41.45,11021,229956,179515,78.10%
201,GEN,Cumbum,N. Eramakrishnan,DMK,104800,51.81,S. P. M. Syed Khan,ADMK,62387,30.84,42413,229956,179515,78.10%
202,GEN,Rajapalayam,S. Thangappandian,DMK,74158,41.5,K. T. Rajenthra Bhalaji,ADMK,70260,39.32,3898,251040,192088,76.50%
203,SC,Srivilliputhur (SC),E. M. Manraj,ADMK,70475,38.09,P. S. W. Madhava Rao †,INC,57737,31.2,12738,251040,192088,76.50%
204,SC,Sattur,A. R. R. Raghuraman,DMK,74174,38.68,R. K. Ravichandran,ADMK,62995,32.85,11179,246360,198791,80.70%
205,GEN,Sivakasi,A. M. S. G. Ashokan,INC,78947,42.66,Lakshmi Ganesan,ADMK,61628,33.3,17319,246360,198791,80.70%
206,GEN,Virudhunagar,A. R. R. Seenivasan,DMK,73297,45.32,G. Pandurangan,BJP,51598,32.13,21699,217923,188654,86.60%
207,GEN,Aruppukkottai,Sattur Ramachandran,DMK,91040,53.18,Vaigaichelvan,ADMK,52006,30.38,39034,217923,188654,86.60%
208,GEN,Tiruchuli,Thangam Thennarasu,DMK,102225,59.15,S. Rajasekar,ADMK,41233,23.86,60992,234551,199306,85.00%
209,GEN,Paramakudi (SC),S. Murugesan,DMK,84864,46.59,N. Sadhan Prabhakar,ADMK,71579,39.3,13285,234551,199306,85.00%
210,GEN,Tiruvadanai,R. M. Karumanikam,INC,79364,39.33,K. C. Animuthu,ADMK,65512,32.46,13852,213651,175358,82.10%
211,GEN,Ramanathapuram,K. Muthuramalingam,DMK,111082,51.88,D. Kuppuram,BJP,60603,28.31,50479,213651,175358,82.10%
212,GEN,Mudhukulathur,R. S. Raja Kannappan,DMK,101901,46.06,Keerthika Muniyasamy,ADMK,81180,36.7,20721,247467,212974,86.10%
213,GEN,Vilathikulam,G. V. Markandayan,DMK,90348,54.05,P. Chinnappan,ADMK,51799,30.99,38549,247467,212974,86.10%
214,GEN,Thoothukkudi,P. Geetha Jeevan,DMK,92314,49,S. D. R. Vijayaseelan,ADMK,42004,22.29,50310,248797,198562,79.80%
215,SC,Tiruchendur,Anitha R. Radhakrishnan,DMK,88274,50.58,M. Radhakrishnan,ADMK,63011,36.1,25263,248797,198562,79.80%
216,SC,Srivaikuntam,Oorvasi S. Amirtharaj,INC,76843,46.75,S. P. Shanmuganathan,ADMK,59471,36.18,17372,201429,139726,69.40%
217,GEN,Ottapidaram (SC),M. C. Shunmugaiah,DMK,73110,41.11,P. Mohan,ADMK,64600,36.32,8510,201429,139726,69.40%
218,GEN,Kovilpatti,Kadambur C. Raju,ADMK,68556,37.89,T. T. V. Dhinakaran,AMMK,56153,31.04,12403,182352,137240,75.30%
219,SC,Sankarankovil (SC),E. Raja,DMK,71347,38.92,V. M. Rajalakshmi,ADMK,66050,36.03,5297,182352,137240,75.30%
220,SC,Vasudevanallur (SC),Dr. T. Sadhan Tirumalaikumar,DMK,68730,39.08,A. Manoharan,ADMK,66363,37.7,2367,186493,134720,72.20%
221,GEN,Kadayanallur,C. Krishnamurali,ADMK,88474,43.08,K. A. M. Muhammed Abubacker,IUML,64125,31.22,24349,186493,134720,72.20%
222,GEN,Tenkasi,S. Palani Nadar,INC,89315,41.71,S. Selvamohandas Pandian,ADMK,88945,41.54,370,280968,222350,79.10%
223,GEN,Alangulam,P. H. Manoj Pandian,ADMK,74153,36.44,Dr. Poongothai Aladi Aruna,DMK,70614,34.7,3539,280968,222350,79.10%
224,GEN,Tirunelveli,Nainar Nagendran,BJP,92282,46.7,A. L. S. Lakshmanan,DMK,69175,35.01,23107,265952,210255,79.10%
225,SC,Ambasamudram,E. Subaya,ADMK,85211,47.96,R. Avudaiappan,DMK,68296,38.44,16915,265952,210255,79.10%
226,SC,Palayamkottai,M. Abdul Wahab,DMK,89117,55.32,G. Gerald,ADMK,36976,22.95,52141,354414,235930,66.60%
227,GEN,Nanguneri,Ruby R. Manoharan,INC,75902,39.43,Ganesa Raja,ADMK,59416,30.86,16486,354414,235930,66.60%
228,GEN,Radhapuram,M. Appavu,DMK,82331,43.95,I.S. Inbudurai,ADMK,76406,40.79,5925,261872,173276,66.20%
229,GEN,Kanniyakumari,N. Thalavai Sundaram,ADMK,109745,48.8,S. Austin,DMK,93532,41.59,16213,261872,173276,66.20%
230,GEN,Nagercoil,M. R. Gandhi,BJP,88804,48.21,N. Suresh Rajan,DMK,77135,41.88,11669,362477,259709,71.60%
231,GEN,Colachel,J. G. Prince,INC,90681,49.56,P. Ramesh,BJP,65849,35.99,24832,362477,259709,71.60%
232,GEN,Padmanabhapuram,Mano Thangaraj,DMK,87744,51.57,D. John Thangam,ADMK,60859,35.77,26885,295216,239043,81.00%
233,GEN,Vilavancode,S. Vijayadharani,INC,87473,52.12,R. Jayaseelan,BJP,58804,35.04,28669,295216,239043,81.00%
234,GEN,Killiyoor,S. Rajeshkumar,INC,101541,59.76,K. V. Jude Dev,ADMK,46141,27.15,55400,429273,307026,71.50%
