S.NO,Type,Constituency,Winner,Winner Party,Winner Votes,Votes %,Runner,Runner Up Party,Runner Votes,Runner Votes %,Margin,Total Electors,Total Votes,Poll%
154,GEN,Panruti,Sathya.P,ADMK,72353,39.01,Ponkumar,DMK,69225,37.33,3128,228538,170626,74.70%
155,GEN,Cuddalore,Sampath M C,ADMK,70922,41.07,Pugazhendi Ela,DMK,46509,26.93,24413,221868,186664,84.10%
156,GEN,Kurinjipadi,Panneerselvam Mrk,DMK,82864,44.03,Rajendran R,ADMK,54756,29.09,28108,238798,189722,79.40%
157,GEN,Bhuvanagiri,Saravanan. Durai K.,DMK,60554,31.73,Selvi Ramajayam,ADMK,55066,28.85,5488,228166,168905,74.00%
158,SC,Chidambaram,Pandian K A,ADMK,58543,34.31,Senthilkumar K R,DMK,57037,33.43,1506,210687,164161,77.90%
159,SC,Kattumannarkoil,Murugumaran.N,ADMK,48450,29.33,Thirumaavalavan.Thol,VCK,48363,29.28,87,231842,176325,76.10%
160,GEN,Sirkazhi,Bharathi.P.V,ADMK,76487,43.05,Killai Ravindran.S,DMK,67484,37.98,9003,234079,167168,71.40%
161,GEN,Mayiladuthurai,Rathakrishnan.V,ADMK,70949,42.02,Anbazhagan.K,DMK,66171,39.19,4778,256713,191280,74.50%
162,GEN,Poompuhar,Pavunraj.S,ADMK,87666,45.48,Shajahan.A.M,IUML,67731,35.14,19935,184181,133443,72.50%
163,SC,Nagapattinam,Thamimun Ansari.M,ADMK,64903,48.28,Mohamed Jafarullah.A,MMK,44353,32.99,20550,163189,136880,83.90%
164,GEN,Kilvelur,Mathivanan.U,DMK,61999,44.95,Meena.N,ADMK,51829,37.58,10170,181787,145597,80.10%
165,SC,Vedaranyam,Manian.O.S,ADMK,60836,41.44,Rajendiran.P.V,INC,37838,25.77,22998,222380,173852,78.20%
166,GEN,Thiruthuraipoondi,Adalarasan. P,DMK,72127,41.07,Umamaheswari. K,ADMK,58877,33.53,13250,240899,185336,76.90%
167,GEN,Mannargudi,T. R. B. Rajaa,DMK,91137,48.71,Kamaraj. S,ADMK,81200,43.4,9937,252466,194618,77.10%
168,GEN,Thiruvarur,Kalaignar M Karunanidhi,DMK,121473,61.73,Pannerselvam .R,ADMK,53107,26.99,68366,253096,201972,79.80%
169,SC,Nannilam,Kamaraj. R,ADMK,100918,49.43,Duraivelan. S.M.B,INC,79642,39.01,21276,233519,183030,78.40%
170,GEN,Thiruvidaimarudur,Chezhiaan.Govi,DMK,77538,41.93,Settu.U,ADMK,77006,41.64,532,246071,186234,75.70%
171,GEN,Kumbakonam,G. Anbalagan,DMK,85048,45.04,Rathna.S,ADMK,76591,40.56,8457,238119,180637,75.90%
172,GEN,Papanasam,Doraikkannu R,ADMK,82614,45.26,Loganathan T R,INC,58249,31.91,24365,248188,201043,81.00%
173,GEN,Thiruvaiyaru,Durai.Chandrasekaran,DMK,100043,49.27,M.G.M.Subramanian,ADMK,85700,42.21,14343,226104,178141,78.80%
174,GEN,Thanjavur,M.Rengasamy,ADMK,101362,54.37,Anjugam Boopathy,DMK,74488,39.95,26874,226518,164349,72.60%
175,GEN,Orathanadu,Ramchandran. M,DMK,84378,46.87,Vaithilingam. R,ADMK,80733,44.85,3645,204407,160603,78.60%
176,SC,Pattukkottai,Sekar. V,ADMK,70631,42.58,Mahendran. K,INC,58273,35.13,12358,184576,144534,78.30%
177,GEN,Peravurani,Govindarasu M,ADMK,73908,45.65,Ashok Kumar N,DMK,72913,45.04,995,199103,169474,85.10%
178,GEN,Gandharvakottai,Arumugam.B,ADMK,64043,43.84,Anbarasan.K,DMK,60996,41.75,3047,226029,168645,74.60%
179,GEN,Viralimalai,Vijaya Baskar C,ADMK,84701,49.69,Palaniappan M,DMK,76254,44.74,8447,205506,156654,76.20%
180,GEN,Pudukkottai,Periyannan Arassu,DMK,66739,39.19,Karthik Thondaiman,ADMK,64655,37.97,2084,196502,157028,79.90%
181,GEN,Thirumayam,Regupathy S,DMK,72373,45.58,Vairamuthu Pk,ADMK,71607,45.1,766,211467,153822,72.70%
182,GEN,Alangudi,Meyyanathan .Siva .V,DMK,72992,46.17,Gnana Kalaiselvan,ADMK,63051,39.88,9941,282460,198667,70.30%
183,GEN,Aranthangi,Rathinasabhapathy E,ADMK,69905,45.22,Ramachandran T,INC,67614,43.74,2291,265915,196751,74.00%
184,GEN,Karaikudi,Ramasamy Kr,INC,93419,46.4,Karpagam Ilango,ADMK,75136,37.32,18283,271108,187812,69.30%
185,SC,Tiruppattur (Sivaganga),Periakaruppan Kr,DMK,110719,55.72,Asokan Kr,ADMK,68715,34.58,42004,253688,183329,72.30%
186,GEN,Sivaganga,Baskaran.G,ADMK,81697,43.15,Sathianathan.M @ Meppal M.Sakthi,DMK,75061,39.64,6636,234129,171744,73.40%
187,GEN,Manamadurai,Mariappankennady S,ADMK,89893,48.45,Chitraselvi S,DMK,75004,40.43,14889,286211,211227,73.80%
188,SC,Melur,Periyapullan @ Selvam P,ADMK,88909,51.54,Ragupthy A.P,DMK,69186,40.11,19723,206777,164394,79.50%
189,GEN,Madurai East,P. Moorthy,DMK,108569,50.62,P Pandi,ADMK,75797,35.34,32772,233677,150889,64.60%
190,GEN,Sholavandan,K. Manickam,ADMK,87044,52.33,Bhavani.C,DMK,62187,37.39,24857,220259,143693,65.20%
191,GEN,Madurai North,V. V. Rajan Chellappa,ADMK,70460,45.64,Karthikeyan. V.,INC,51621,33.44,18839,234511,149299,63.70%
192,GEN,Madurai South,Saravanan .S.S.,ADMK,62683,42.75,Balachandran .M,DMK,38920,26.55,23763,279424,181421,64.90%
193,GEN,Madurai Central,Palanivel Thiagarajan,DMK,64662,42.55,Jeyabal M,ADMK,58900,38.75,5762,279299,194369,69.60%
194,GEN,Madurai West,Sellur K. Raju,ADMK,82529,44.81,Thalapathi G,DMK,66131,35.91,16398,261153,202432,77.50%
195,GEN,Thiruparankundram,S. M. Seenivel,ADMK,93453,47.32,Manimaran M,DMK,70461,35.68,22992,269103,199454,74.10%
