S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,SC,ACHARAPAKKAM,"MATHIVANAN, S.",DMK,54558,56.15,"BHUVARAGHAMOORTHY, A.",ADMK,29187,30.04,25371,97170,147264,65.98353977
2,GEN,ALANDUR,"SHANMUGAM, C.",DMK,117545,66.23,"PURUSHOTHAMAN, K.",ADMK,41551,23.41,75994,177478,316856,56.01219481
3,GEN,ALANGUDI,VENKATACHALAM A.,IND,35345,25.58,ERASASEKARAN S.,CPI,34693,25.11,652,138176,194721,70.96101602
4,GEN,ALANGULAM,ALADI ARUNA,DMK,53374,46.1,"KAMARAJ, M.S.",INC,29038,25.08,24336,115771,167697,69.03582056
5,GEN,AMBASAMUDRAM,R. AVUDAIAPPAN,DMK,46116,48.89,R. MURUGAIAH PANDIAN,ADMK,26427,28.02,19689,94324,144992,65.0546237
6,GEN,ANAICUT,"GOPU, C.",DMK,58982,55.79,"SURYAKALA, C.M.",ADMK,27366,25.89,31616,105716,172760,61.19240565
7,SC,ANDHIYUR,"SELVARASU, P.",DMK,52535,52.97,"SUBRAMANIAM, M.",ADMK,27541,27.77,24994,99181,153654,64.54827079
8,GEN,ANDIMADAM,RAJENDIRAN @ DEERAN,PMK,49853,47.48,SIVASUBRAMANIYAN,DMK,36451,34.72,13402,104995,143942,72.94257409
9,GEN,ANDIPATTI,"AASIYAN, P.",DMK,50736,44.9,"MUTHIAH, A.",ADMK,37035,32.77,13701,113000,175815,64.2721042
10,GEN,ANNA NAGAR,"ARCOT VEERASWAMI,N.",DMK,103819,67.05,"BALASUBRAMANIAN, R.",INC,34802,22.48,69017,154842,289232,53.53557006
11,GEN,ARANTANGI,"THIRUNAVUKKARASU, S.",ADMK,70260,50.1,"SHANMUGAM, S.",DMK,56028,39.95,14232,140242,205492,68.24693905
12,GEN,ARAVAKURICHI,"MOHAMMED ISMAIL, S.S.",DMK,41153,38.36,"DURAISAMY, V.K.",ADMK,32059,29.89,9094,107268,169837,63.15938223
13,GEN,ARCOT,"SUBRAMANI, P.N.",DMK,62974,58.74,"RAMADOSS, K.V.",ADMK,36567,34.11,26407,107214,153951,69.64163922
14,GEN,ARIYALUR,"AMARAMOORTHY, D.",TMC(M),62157,53.19,"ELAVARASAN, A.",ADMK,37263,31.89,24894,116854,159636,73.20028064
15,SC,ARKONAM,"THAMIZH CHELVAN, R.",DMK,70550,58.13,"ELUMALAI, R.",PMK,23730,19.55,46820,121374,182670,66.44440795
16,GEN,ARNI,R. SIVANANDAM,DMK,63014,51.29,"CHINNAKULAMDAI, M.",ADMK,44835,36.49,18179,122867,170847,71.91639303
17,GEN,ARUPPUKOTTAI,"THANGAPANDIAN, V.",DMK,45081,43.7,"SUNDARAPANDIAN, K.",ADMK,28716,27.84,16365,103165,159117,64.83593833
18,GEN,ATHOOR,"PERIASAMY, I.",DMK,82294,64.09,"CHINNAMUTHU, C.",ADMK,32002,24.92,50292,128403,193792,66.25815307
19,GEN,ATTUR,"RAMASAMY, A.M.",DMK,59353,57.17,"MURUGESAN, A.K.",ADMK,37057,35.69,22296,103824,158343,65.56904947
20,SC,AVANASHI,G. ELANGO,DMK,66006,56.53,M. THIAGARAJAN,ADMK,39549,33.87,26457,116757,176709,66.07303533
21,GEN,BARGUR,"SUGAVANAM, E.G.",DMK,59148,50.71,"JAYALALITHA, J.",ADMK,50782,43.54,8366,116643,180024,64.7930276
22,GEN,BHAVANI,"BALASUBRAMANIAN, S.N.",TMC(M),57256,51.23,"MANIVANNAN, K.S.",ADMK,28427,25.43,28829,111769,162004,68.99150638
23,GEN,BHAVANISAGAR,"ANDAMUTHU, V.A.",DMK,63483,54.89,"CHINNASAMY, V.K.",ADMK,40032,34.62,23451,115646,164250,70.40852359
24,GEN,BHUVANAGIRI,A.V. ABDUL NASER,DMK,49457,43.8,P.D. ELANGOVAN,PMK,30112,26.67,19345,112920,163025,69.26545008
25,GEN,BODINAYAKKANUR,"SUDALAIMUTHU, A.",DMK,54893,51.26,"JEYAKUMAR, S.P.",ADMK,28806,26.9,26087,107079,169113,63.31801813
26,GEN,CHENGALPATTU,"TAMILMANI, V.",DMK,66443,57.53,"KUMARASAMY, C.V.N.",ADMK,29638,25.66,36805,115493,174487,66.19003135
27,SC,CHENGAM,"NANNAN, K.V.",DMK,58958,59.11,"THAMIZHARASAN, C.K.",ADMK,32325,32.41,26633,99747,156671,63.66653688
28,GEN,CHEPAUK,M.KARUNA NIDHI,DMK,46097,77.05,N.S.S.NELLAI KANNAN,INC,10313,17.24,35784,59827,99303,60.24692104
29,GEN,CHERANMAHADEVI,"VELDURAI, P.",TMC(M),39004,39.41,"PANDIAN, P.H.",IND,26897,27.18,12107,98977,145196,68.16785586
30,GEN,CHEYYAR,V. ANBALAGAN,DMK,71416,61.24,P. CHANDRAN,ADMK,33930,29.09,37486,116620,161200,72.34491315
31,GEN,CHIDAMBARAM,S. AZHAGIRI,TMC(M),52066,50.52,A. RADHAKRISHNAN,INC,23050,22.37,29016,103050,151992,67.79962103
32,GEN,CHINNASALEM,R. MOOKKAPPAN,DMK,66981,59.83,P. MOHAN,ADMK,35336,31.56,31645,111956,168685,66.36986098
33,GEN,COIMBATORE EAST,V.K. LAKSHMANAN,TMC(M),61860,68.81,R.S. VELAN,INC,14174,15.77,47686,89906,153644,58.51578975
34,GEN,COIMBATORE WEST,"DHANDAPANI, C.T.",DMK,51652,62.47,RAJA THANGAVEL,INC,13353,16.15,38299,82686,134896,61.2961096
35,GEN,COLACHEL,"BERNARD, ERA",DMK,41217,42.85,S.P. KUTTY,BJP,33791,35.13,7426,96181,165972,57.95013617
36,SC,COONOOR,"THANGAVEL, N.",DMK,63919,64.27,"KARUPPUSAMY, S.",ADMK,28404,28.56,35515,99459,161044,61.75889819
37,GEN,CUDDALORE,E. PUGAZHENDHI,DMK,74480,62.27,K.V. RAJENDIRAN,INC,25853,21.62,48627,119606,185364,64.52493472
38,GEN,CUMBUM,"RAMACHANDRAN, O.R.",TMC(M),58628,54.66,"GOPALAN, R.T.",IND,22888,21.34,35740,107265,164465,65.22056365
39,SC,DHARAPURAM,R. SARASWATHY,DMK,62027,55.49,P. EASWARAMURTHI,ADMK,38989,34.88,23038,111772,164190,68.0747914
40,GEN,DHARMAPURI,"MANOKARAN, K.",DMK,63973,55.28,MASE HARUR,INC,26951,23.29,37022,115730,198433,58.3219525
41,GEN,DINDIGUL,"MANIMARAN, R.",DMK,94353,65.53,"MARUTHARAJ, V.",ADMK,29229,20.3,65124,143986,230348,62.50803133
42,GEN,DR. RADHAKRISHNAN NAGAR,"SARKUNAM, S.P.",DMK,75125,62.12,"RAVEENDRAN,R.M.D.",ADMK,32044,26.5,43081,120928,220586,54.82124886
43,GEN,EDAPADI,"GANESAN, I.",PMK,49465,37.68,"MURUGESAN, P.A.",DMK,40273,30.68,9192,131287,201142,65.27080371
44,SC,EGMORE,"ELLAM VAZHUTHI,I.",DMK,51061,72.57,"LAKSHMI,N.",INC,13876,19.72,37185,70359,123034,57.18663134
45,GEN,ERODE,N.K.K. PERIASAMY,DMK,104726,59.9,S. MUTHUSAMY,ADMK,56889,32.54,47837,174849,283064,61.77012972
46,GEN,GINGEE,T. NATARAJAN,DMK,51327,42.6,T.N. MURUGANANDAM,INC,25893,21.49,25434,120477,177082,68.03458285
47,GEN,GOBICHETTIPALAYAM,"VENKIDU, G.P.",DMK,59983,53.86,"SENGOTTAYAN, K.A.",ADMK,45254,40.63,14729,111375,153403,72.6028826
48,GEN,GUDALUR,"MUBARAK, B.M.",DMK,73565,59.43,"RAJU, K.R.",ADMK,27660,22.35,45905,123784,199758,61.96698005
49,GEN,GUDIYATHAM,"DHANAPAL, V.G.",DMK,48837,48.62,"RAMGOPAL, S.",INC,19701,19.61,29136,100453,160659,62.52559769
50,GEN,GUMMIDIPUNDI,"VENU, K.",DMK,61946,49.69,"MUNIRATHINAM, R.S.",ADMK,40321,32.34,21625,124675,183842,67.81638581
51,GEN,HARBOUR,"ANBAZHAGAN,K",DMK,39263,70.57,EARNEST PAUL,INC,9007,16.19,30256,55638,103285,53.86842233
52,SC,HARUR,VEDAMMAL,DMK,70561,55.59,J. NATESAN,INC,34158,26.91,36403,126930,206726,61.40011416
53,GEN,HOSUR,"VENKATASAMY, B.",JD,41456,34.89,"VENKATAREDDY, T.",TMC(M),39719,33.43,1737,118830,212268,55.98111821
54,GEN,ILAYANGUDI,"TAMILKUDIMAGAN, M.",DMK,43080,49.37,"NADARAJAN, V.D.",ADMK,28276,32.4,14804,87260,147929,58.98775764
55,GEN,JAYANKONDAM,GANESAN K.C.,DMK,52421,42.93,GURUNATHAN ALIAS GURU,PMK,39931,32.7,12490,122101,165927,73.5871799
56,GEN,KADALADI,S.P. THANGAVELAN,DMK,56031,53.23,V. SATHIYAMOORTHY,ADMK,36061,34.26,19970,105258,191186,55.05528647
57,GEN,KADAYANALLUR,"NAINA MOHAMED, K.",DMK,49641,46.58,"GANI, A.M.",ADMK,32949,30.92,16692,106563,159882,66.65103013
58,GEN,KALASAPAKKAM,"THIRUVENGADAM, P.S.",DMK,72177,59.12,"SUNDARASAMI, M.",INC,37647,30.83,34530,122092,169589,71.9928769
59,GEN,KANCHEEPURAM,P. MURUGESAN,DMK,77723,55.9,S.S. THIRUNAVUKARASU,ADMK,45094,32.43,32629,139031,198315,70.10614427
60,SC,KANDAMANGALAM,S. ALAGUVELU,DMK,64256,54.32,V. SUBRAMANIYAN,ADMK,34261,28.96,29995,118298,179154,66.03145897
61,GEN,KANGAYAM,"RAJKUMAR MANRAADIAR, N.S.",DMK,63801,56.67,"RAMASAMY, N.",ADMK,37792,33.57,26009,112575,167708,67.12559926
62,GEN,KANNIYAKUMARI,N. SURESH RAJAN,DMK,42755,43.63,S. THANU PILLAI,ADMK,20892,21.32,21863,97985,165258,59.29213714
63,GEN,KAPILAMALAI,"VEERAPPAN, K.K.",DMK,64605,56,"RAJALINGAM, R.",ADMK,34895,30.25,29710,115369,171394,67.31215795
64,GEN,KARAIKUDI,"SUNDARAM, N.",TMC(M),76888,62.98,RAJU M.,ADMK,26504,21.71,50384,122076,200521,60.87940914
65,GEN,KARUR,VASUKI MURUGESAN,DMK,79302,53.87,"CHINNASAMY, M.",ADMK,47294,32.13,32008,147217,218072,67.50843758
66,GEN,KATPADI,DURAIMURUGAN,DMK,75439,61.2,"PANDURANGAN, K.",ADMK,34432,27.93,41007,123266,181380,67.9600838
67,SC,KATTUMANNARKOIL,"RAMALINGAM, E.",DMK,46978,45.83,"ELAYAPERUMAL, L.",HRPI,37159,36.25,9819,102498,148333,69.09993056
