S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
14,GEN,Saidapet,D. Purushothaman,DMK,40403,47.95,Saithai Duraisamy. S,AIADMK,38706,45.94,1697,144121,85049,59.00%
15,GEN,Gummidipoondi,R. S. Munirathinam,AIADMK,41845,49.01,Venu. K,DMK,34019,39.84,7826,127863,86905,68.00%
16,SC,Ponneri,Chakarapani. R,AIADMK,42408,51.07,Nagalingam. P,DMK,27490,33.11,14918,135012,84245,62.40%
17,GEN,Thiruvottiyur,Kumari Ananthan,GKC,48451,47.36,Loganathan. T,INC,44993,43.98,3458,153890,103302,67.10%
18,GEN,Villivakkam,Prabakaran. J. C. D,AIADMK,57192,47.84,Suppu. K,DMK,56489,47.25,703,191966,120815,62.90%
19,GEN,Alandur,K. M. Abdul Razack,AIADMK,50345,50.18,Sampath. N. P. L,INC,44506,44.36,5839,166900,101383,60.70%
20,GEN,Tambaram,Pammal Nallathambi,DMK,59931,51.52,Munu Adhi,AIADMK,53746,46.2,6185,179404,117561,65.50%
21,SC,Thiruporur,G. Chockalingam,DMK,33287,50.63,Govindarasan. M,AIADMK,30990,47.13,2297,104235,66622,63.90%
22,GEN,Chengalpattu,P. G. Anoor Jegadeesan,AIADMK,40466,53.07,Natarajan. K,INC,35314,46.32,5152,124925,77315,61.90%
23,GEN,Maduranthakam,S. D. Ugamchand,AIADMK,46922,56.84,C. Arumugam,DMK,35113,42.54,11809,111475,84133,75.50%
24,SC,Acharapakkam,C. Ganesan,AIADMK,35233,50.08,Manavalan. C. M,DMK,35114,49.92,119,102790,71590,69.60%
25,GEN,Uthiramerur,S. Jagathrakshakan,AIADMK,43303,49.11,Ramadoss. S,INC,41717,47.31,1586,128261,89390,69.70%
26,GEN,Kancheepuram,P. Venkatasubramanian,AIADMK,46051,48.25,Sambandan. V,DMK,43859,45.95,2192,130410,96439,74.00%
27,SC,Sriperumbudur,D. Yasodha,INC,37370,52.97,Jaganathan. S,AIADMK,31341,44.42,6029,116937,71516,61.20%
28,GEN,Poonamallee,Rajarathinam. D.,DMK,38018,48.83,Sambandan,GKC,26930,34.59,11088,139060,78888,56.70%
29,GEN,Thiruvallur,Pattabiraman. S,AIADMK,30121,41.49,Purushothaman. R,INC,24585,33.87,5536,113728,73737,64.80%
30,GEN,Tiruttani,Shanmugam. R,AIADMK,35845,49.6,Namashivayam. T,INC,25754,35.64,10091,111514,73548,66.00%
31,GEN,Pallipet,Narasimhan. P. M,AIADMK,26377,35.03,Eakambara Reddy. A,INC,25967,34.48,410,113473,76589,67.50%
32,SC,Arakkonam,M. Vijayasarathy,AIADMK,36314,48.84,Jayaraj. G,INC,35393,47.6,921,124404,75248,60.50%
33,GEN,Sholingur,C. Gopal Mudaliyar,AIADMK,35783,49.4,Moorthy. K,DMK,35626,49.18,157,117710,73525,62.50%
34,GEN,Ranipet,Durai Murugan,DMK,44318,53.7,Renu. N,AIADMK,37064,44.91,7254,126741,83912,66.20%
35,GEN,Arcot,Sethuraman. A M,AIADMK,35998,48.85,Akber Pasha. B,INC,34058,46.21,1940,114631,75111,65.50%
36,GEN,Katpadi,Poongavanam. N. A,CPI,31918,46.48,Shanmugasundaram. A. K,INC,26639,38.79,5279,121387,69967,57.60%
37,GEN,Gudiyatham,Sundaram. K. R,CPI(M),30869,43.87,Wahab. K. A,IND,20929,29.74,9940,110942,71317,64.30%
38,SC,Pernambut,Moorthy. G,AIADMK,30048,45.31,Rajarathinam. C,INC,24713,37.26,5335,113142,67410,59.60%
39,GEN,Vaniyambadi,Kulasekara Pandiyan. N,AIADMK,38049,52.54,Abdul Latheef. M,IND,34375,47.46,3674,115231,73649,63.90%
40,GEN,Natrampalli,Anbazhagan. T,AIADMK,42786,49.82,Raja. N. K,DMK,36161,42.11,6625,127218,87220,68.60%
41,GEN,Tirupattur (Vellore),B. Sundaram,DMK,42786,54.74,Ramasamy. G,AIADMK,34682,44.37,8104,124811,79212,63.50%
42,SC,Chengam,T. Swamikannu,AIADMK,26823,48.06,Arumugam. A,INC,25987,46.56,836,102993,56773,55.10%
43,GEN,Thandarambattu,Venugopal. D,DMK,46326,63.86,Kasinathan. U,GKC,25257,34.82,21069,110889,73723,66.50%
44,GEN,Tiruvannamalai,Narayanasamy. K,INC,54437,58.78,Shunmugam. P. U,AIADMK,36052,38.93,18385,120155,93952,78.20%
45,GEN,Kalasapakkam,P. S. Thiruvengadam,DMK,44923,54.49,Visvanathan. C. N,AIADMK,32972,39.99,11951,114081,83961,73.60%
46,GEN,Polur,L. Balaraman,INC,35456,48.92,Selvan. A,AIADMK,33303,45.95,2153,111477,73891,66.30%
47,GEN,Anaikattu,G. Viswanathan,AIADMK,35242,53.37,Jeevarathinam. R,INC,29287,44.35,5955,112926,67386,59.70%
48,GEN,Vellore,V. M. Devaraj,DMK,43126,49.68,Ranganathan. A. K,AIADMK,38619,44.49,4507,136560,87595,64.10%
49,GEN,Arani,A. C. Shanmugam,AIADMK,42928,50.65,Selvarasu. E,DMK,37877,44.69,5051,117556,86392,73.50%
50,GEN,Cheyyar,Babu Janarthanan,DMK,43341,55.26,Vizhi Vendan. K. A.,AIADMK,35091,44.74,8250,114683,79877,69.70%
51,SC,Vandavasi,Kuppusami. C,AIADMK,38501,50.21,Kanniappan. C,DMK,36019,46.97,2482,124733,77852,62.40%
52,GEN,Peranamallur,Venkitesan. P. M,AIADMK,32645,44.09,Margabandu. R,INC,31767,42.9,878,121318,75491,62.20%
53,GEN,Melmalayanur,Chinnadurai. A,AIADMK,39572,48.84,Perumal Nainar. V,INC,39374,48.59,198,118992,82275,69.10%
54,GEN,Gingee,Ramchandran. N,DMK,41708,49.92,Krishnasamy. G,AIADMK,40075,47.96,1633,124732,84975,68.10%
55,GEN,Tindivanam,Thangamani Gounder. K. M,INC,29778,42.33,Erajaram Reddy,AIADMK,24302,34.55,5476,107921,71404,66.20%
56,SC,Vanur,N. Muthuvel,DMK,38883,52.89,Ramajayam. M. N,AIADMK,33635,45.75,5248,123245,74770,60.70%
57,SC,Kandamangalam,Kannan. M,AIADMK,34368,49.49,Madhavan. P,INC,32011,46.09,2357,134779,70444,52.30%
58,GEN,Villupuram,Palaniappan. K. P,DMK,45952,52.02,Rajarathinam. M,AIADMK,40792,46.18,5160,133842,89438,66.80%
59,GEN,Mugaiyur,Sundaramurthy. R,INC,39490,53.17,Ragothuman. G,AIADMK,31889,42.94,7601,120828,75703,62.70%
60,GEN,Thirunavalur,Subramanian. V,DMK,36517,48.29,Manoharan. T. N. G. A,AIADMK,36344,48.06,173,107743,77139,71.60%
61,SC,Ulundurpet,Rangasamy. K,DMK,40068,55.35,Natesan. Karu,AIADMK,30113,41.6,9955,131665,73967,56.20%
62,GEN,Nellikuppam,Krishnamoorthi. V,DMK,40526,55.17,Govindarajan. C,CPI(M),28415,38.68,12111,111615,74462,66.70%
63,GEN,Cuddalore,Babu Govindarajan,DMK,40539,49.05,Ragupathi. A,AIADMK,37398,45.25,3141,133227,83610,62.80%
64,GEN,Panruti,S. Ramachandaran,AIADMK,44557,51.88,K. Nandagopala Krishnan,DMK,40070,46.65,4487,112744,87102,77.30%
65,GEN,Kurinjipadi,A. Thangarasu,AIADMK,38349,49.65,M. Selvaraj,DMK,35390,45.82,2959,115509,78410,67.90%
66,GEN,Bhuvanagiri,V. V. Swaminathan,AIADMK,41207,49.1,Asanudeen. K. S,IND,34883,41.56,6324,118301,85123,72.00%
67,SC,Kattumannarkoil,E. Ramalingam,DMK,44012,59.46,Mahalingam. P. S,CPI(M),29350,39.65,14662,105613,74916,70.90%
68,GEN,Chidambaram,K. R. Ganapathi,AIADMK,41728,51.71,Kaliyamoorthy Durai,DMK,38461,47.66,3267,112269,81763,72.80%
69,GEN,Vriddhachalam,R. Thiyagarajan,INC,45382,51.86,C. Ramanathan,AIADMK,41234,47.12,4148,124287,88899,71.50%
70,SC,Mangalore,Kaliamoorthy. P,AIADMK,40678,48.9,Kamaraj. S,INC,39495,47.48,1183,130395,85086,65.30%
71,GEN,Rishivandiyam,Sundaram. M,INC,38238,51.11,Deiveekan. M,AIADMK,33317,44.54,4921,108377,76451,70.50%
72,GEN,Chinnasalem,S. Sivaraman,INC,39370,52.45,Ambayiram. A,AIADMK,34123,45.46,5247,115587,76384,66.10%
73,GEN,Sankarapuram,Kalitheerthan. S,AIADMK,36352,49.91,Muthusami. D,INC,32811,45.05,3541,113528,74274,65.40%
74,GEN,Hosur,T. Venkata Reddy,INC,25855,49.8,Kothandaramaiah. K. S,IND,21443,41.31,4412,106169,52921,49.80%
75,GEN,Thalli,D. R. Rajaram Naidu,INC,25558,41.53,Vijayendriah. D. R,JP,22601,36.72,2957,112047,62815,56.10%
76,GEN,Kaveripattinam,Samarasam. K,AIADMK,35434,51.13,Venkatesan. S,DMK,31911,46.05,3523,110686,70859,64.00%
77,GEN,Krishnagiri,Chinnarasu. K. R,AIADMK,28020,49.75,Kamalanathan. M,DMK,26223,46.55,1797,106266,57662,54.30%
78,GEN,Bargur,Doraisamy. Bn. S,AIADMK,39893,57.26,Murugesan. K,DMK,29045,41.69,10848,113106,70728,62.50%
79,SC,Harur,Sabapathy. C.,AIADMK,40009,57.66,Natesan. T. V.,INC,27401,39.49,12608,124169,70223,56.60%
80,GEN,Morappur,Kuppusamy. N.,AIADMK,43096,57.18,Balasubramanian. R.,INC,29967,39.76,13129,106081,76413,72.00%
81,GEN,Palacode,Munusamy. M. B.,AIADMK,38999,52.36,Balasubhrmaniam . R.,INC,34864,46.81,4135,113628,75709,66.60%
82,GEN,Dharmapuri,Aranganathan. S.,AIADMK,33977,46.12,Vadivel. D. N.,INC,32472,44.08,1505,114697,74964,65.40%
83,GEN,Pennagaram,Theertha Raman. P,GKC,34590,52.74,Marumuthu. K,DMK,27481,41.9,7109,112908,66802,59.20%
84,GEN,Mettur,Nachimuthu. K. P,AIADMK,48845,58.28,Kandappan. S,DMK,29977,35.77,18868,126625,84911,67.10%
85,GEN,Taramangalam,Semmalai. S,IND,49597,60.33,Narayanan. R,INC,27214,33.11,22383,119790,83584,69.80%
86,GEN,Omalur,Sivaperuman. M,AIADMK,42399,58.2,Marimuthu. C,DMK,30447,41.8,11952,115489,74250,64.30%
87,ST,Yercaud,Thiruman,AIADMK,28869,51.35,Natesan. R,DMK,27020,48.06,1849,99409,57141,57.50%
88,GEN,Salem-I,Krishnaraj. G,AIADMK,50976,52.55,Amanullah Khan,IND,31745,32.72,19231,138312,97777,70.70%
89,GEN,Salem-Ii,Arumugam. M,AIADMK,40975,51.57,Anbalagan. K,INC,36235,45.61,4740,123202,80162,65.10%
90,GEN,Veerapandi,P. Vijayalakshmi,AIADMK,51034,57.95,Srinivasan. K. P,DMK,35061,39.81,15973,125608,89183,71.00%
91,GEN,Panamarathupatty,Rajaram. K,AIADMK,44218,57.25,Santhanantham. P. M,INC,31614,40.93,12604,113432,78923,69.60%
92,GEN,Attur,C. Palanimuthu,INC,38416,53.44,Kandasami. P,AIADMK,31525,43.85,6891,113439,73095,64.40%
93,SC,Talavasal,Rajambal. T.,INC,38217,52.4,Devarajan. M.,AIADMK,34718,47.6,3499,131995,74433,56.40%
94,GEN,Rasipuram,Ramalingam. K. P,AIADMK,49779,58.25,Muthu. P. T.,DMK,34175,39.99,15604,126614,86692,68.50%
95,ST,Sendamangalam,Sivaprakasam. S.,AIADMK,37577,54.44,Vadama Gounder,INC,30543,44.25,7034,129835,70162,54.00%
96,SC,Namakkal,Arunachalam R.,AIADMK,42850,51.78,Veluswamy K.,DMK,38957,47.07,3893,134869,83743,62.10%
97,GEN,Kapilamalai,C. V. Velappan,AIADMK,39224,45.11,Sengottaiyan. P.,INC,33823,38.9,5401,131117,88345,67.40%
98,GEN,Tiruchengodu,Ponnaiyan. C.,AIADMK,69122,55.34,Kaliyannan. T. M.,INC,52046,41.67,17076,188698,126809,67.20%
99,SC,Sankari,P. Dhanapal,AIADMK,45664,56.61,Varadarajan. R.,DMK,33109,41.04,12555,148309,82243,55.50%
100,GEN,Edapadi,I. Ganesan,AIADMK,37978,38.93,Natarajan. T.,IND,32159,32.97,5819,143256,98875,69.00%
101,GEN,Mettupalayam,S. Palanisamy,AIADMK,48266,58.96,Vijayan. K.,INC,32311,39.47,15955,140096,83099,59.30%
102,SC,Avanashi,Arumugam. M.,CPI,33294,54.22,Palanisamy. S. N.,INC,23623,38.47,9671,130646,62625,47.90%
103,GEN,Thondamuthur,Chinnaraj.,AIADMK,57822,57.54,Manickkavachagam. R.,DMK,42673,42.46,15149,165819,102139,61.60%
104,GEN,Singanallur,Kulasekar. A. D.,DMK,44523,45.16,Venkidu Alias Venkatasamy. R.,CPI(M),41302,41.9,3221,148591,99859,67.20%
105,GEN,Coimbatore (West),C. Aranganayagam,AIADMK,38061,48.2,M. Ramanathan,DMK,35634,45.13,2427,134754,79658,59.10%
106,GEN,Coimbatore (East),Ramani. K.,CPI(M),33666,45.39,Ganga Nair,INC,33533,45.21,133,140417,74845,53.30%
107,GEN,Perur,Kovaithambi,AIADMK,47308,48.04,Natarasan. A.,DMK,46823,47.54,485,149766,99725,66.60%
108,GEN,Kinathukadavu,K. V. Kandaswamy,AIADMK,42822,53.58,Doraiswamy. S. T.,INC,37093,46.42,5729,118093,81786,69.30%
109,GEN,Pollachi,M. V. Rathinam,AIADMK,52833,56.61,M. Kannappan,DMK,39797,42.64,13036,134946,94943,70.40%
110,SC,Valparai,A. T. Karuppiah,CPI,46406,56.83,N. Kovaithangam,INC,33354,40.85,13052,116974,83022,71.00%
111,GEN,Udumalaipettai,P. Kolandaivelu,AIADMK,50570,52.34,R. T. Mariyappan,DMK,46049,47.66,4521,134138,98410,73.40%
112,SC,Dharapuram,Periasamy. A.,AIADMK,43319,56.05,Palaniammal. V. P.,DMK,32887,42.55,10432,122884,78720,64.10%
113,GEN,Vellakoil,Ramasami. D.,AIADMK,56975,62.63,M. Andi Ambalam,INC,36859,52.46,20116,126161,92510,73.30%
114,GEN,Pongalur,P. Kandaswamy,AIADMK,40116,58.67,S. R. Balasubramaniam,INC,26420,38.64,13696,109334,69918,63.90%
115,GEN,Palladam,P. N. Paramasiva Gounder,AIADMK,40305,48.36,K. N. Kumarasamy Gounder,INC,32345,38.81,7960,128604,84714,65.90%
116,GEN,Tiruppur,Manimaran. R.,AIADMK,63371,56.98,Mohan Kandasamy Alias P. Kandasamy Gounder,INC,39276,35.32,24095,159871,112580,70.40%
117,GEN,Kangayam,Krishnaswamy. K. G.,AIADMK,45950,56.1,Sivasabapathi. M.,DMK,34341,41.92,11609,126155,83177,65.90%
118,GEN,Modakkurichi,Balakrishnan. S.,AIADMK,56049,58.67,Ganesamoorthy. A.,DMK,38402,40.2,17647,145802,97347,66.80%
119,GEN,Perundurai,Nallapan. T. K.,CPI,44210,54.69,Jaganathan. N. K. P.,INC,32543,40.26,11667,129785,82006,63.20%
120,GEN,Erode,S. Muthusamy,AIADMK,62342,56.62,Sainathan. R.,INC,43839,39.82,18503,175563,111480,63.50%
121,GEN,Bhavani,P. G. Narayanan,AIADMK,44152,60.89,Madeswaran. M. P. V.,INC,22926,31.61,21226,119674,73679,61.60%
122,SC,Anthiyur,P. Guruswamy,AIADMK,34498,57.06,Vadivel. T. G.,DMK,20662,34.17,13836,108662,61565,56.70%
123,GEN,Gobichettipalayam,K. A. Sengottaiyan,AIADMK,44703,59.38,Subramaniam. K. M.,INC,29690,39.44,15013,114861,76368,66.50%
124,GEN,Bhavanisagar,Subramaniam. G. K.,AIADMK,38557,48.28,Sampoornam Swamynathan.,DMK,27852,34.88,10705,121236,81368,67.10%
125,GEN,Sathyamangalam,Rangasamy. R.,AIADMK,35096,50.04,Rasappa. C. R.,INC,35036,49.96,60,113957,72021,63.20%
126,SC,Coonoor,Ranganathan. M.,DMK,34424,56.85,Periasamy. C.,AIADMK,22756,37.58,11668,112613,61386,54.50%
127,GEN,Udhagamandalam,K. Kallan,INC,35528,51.82,B. Gopalan,AIADMK,25628,37.38,9900,111534,69347,62.20%
128,GEN,Gudalur,K. Hutchi Gowder,DMK,36780,58.39,Narayanan Nair. M. S.,CPI,23636,37.52,13144,114612,64054,55.90%
129,SC,Palani,N. Palanivel,CPI(M),41874,53.12,Mani. S. R. P.,INC,35646,45.22,6228,129839,79942,61.60%
130,GEN,Oddanchatram,K. Kuppuswamy,AIADMK,35269,45.26,Palaniswamy. S. K.,INC,23882,30.65,11387,131378,79193,60.30%
131,GEN,Periyakulam,Gopalakrishnan. K,AIADMK,43774,54.01,Sheik Abdul Kader. K.,INC,34938,43.11,8836,126755,82116,64.80%
132,GEN,Theni,V. R. Jayaraman,AIADMK,51534,55.44,Alagar Raja. N. R.,INC,41415,44.56,10119,132271,94327,71.30%
133,GEN,Bodinayakkanur,Subramanian. K. M. S.,AIADMK,50972,59.77,Ramachandran. K. S. M.,INC,34013,39.89,16959,131024,86259,65.80%
134,GEN,Cumbum,Gopalan. R. T.,AIADMK,47577,49.2,Cumbum Mahandiran. A. K.,DMK,35395,36.6,12182,131390,97743,74.40%
135,GEN,Andipatti,S. S. Rajendran,AIADMK,44490,59.79,Kandasamy. K.,INC,16508,22.18,27982,126984,75545,59.50%
136,GEN,Sedapatti,Muthiah. R.,AIADMK,42012,59.87,Thangarasan. R. S.,DMK,28157,40.13,13855,118078,71286,60.40%
137,GEN,Tirumangalam,N. S. V. Chitthan,INC,35181,46.43,Perumal. A. R.,AIFB,31679,41.81,3502,117383,76864,65.50%
138,GEN,Usilampatti,Andi Thevar. S.,AIFB,33857,47.67,Muthuramalingam. P. K. M.,IND,21534,30.32,12323,122773,72102,58.70%
139,SC,Nilakottai,A. S. Ponnammal,IND,48892,61.6,Manivasagam. A.,DMK,30480,38.4,18412,123442,80581,65.30%
140,GEN,Sholavandan,Chandrasekaran. A.,INC,41720,50.28,Manian. P. S.,AIADMK,41255,49.72,465,114795,84264,73.40%
141,GEN,Thiruparankundram,K. Kalimuthu,AIADMK,61247,60.53,Seeni Thevar. P.,DMK,38740,38.29,22507,161546,102199,63.30%
142,GEN,Madurai West,M. G. Ramachandran,AIADMK,57019,59.61,Pon. Muthuramalingam,DMK,35953,37.59,21066,152756,96495,63.20%
143,GEN,Madurai Central,Pazha Nedumara,IND,45700,58.13,P. T. R. Palanivel Rajan,DMK,31566,40.15,14134,133812,79199,59.20%
144,GEN,Madurai East,N. Sankaraiah,CPI(M),36862,49.35,Ramamoorthy. M. A.,INC,30923,41.4,5939,132153,75348,57.00%
145,SC,Samayanallur,Baluchamy. A.,AIADMK,50612,53.61,Subashchandra Bose. P.,DMK,42958,45.5,7654,152150,95389,62.70%
146,GEN,Melur,Veeranambalam. K. V.,INC,54003,54.6,Paramasivan. A. M.,AIADMK,41849,42.31,12154,137381,100156,72.90%
147,GEN,Natham,Alagarsamy. T.,IND,32471,46.21,Somasundaram. A.,IND,509,0.72,31962,117138,71405,61.00%
148,GEN,Dindigul,N. Varadarajan,IND,55195,54.89,Abdul Khader. N.,INC,43676,43.44,11519,158089,101523,64.20%
149,GEN,Athoor,A. Vellaisamy,AIADMK,55359,58.17,Rajambal,DMK,38990,40.97,16369,153445,96498,62.90%
150,GEN,Vedasandur,V. P. Balasubramanian,AIADMK,58128,63.89,Raju. G. P. V.,INC,32857,36.11,25271,156681,92832,59.20%
151,GEN,Aravakurichi,Sennimalai Alias. Kandahsamy P. S.,AIADMK,45145,51.6,Shanmugam. K.,INC,40233,45.99,4912,135591,88452,65.20%
152,GEN,Karur,M. Chinnasamy,AIADMK,54331,50.79,S. Nallasamy,DMK,46025,43.02,8306,151461,107841,71.20%
153,SC,Krishnarayapuram,P. M. Thangavelraj,INC,43623,55.33,Rengaraju. O.,AIADMK,34584,43.86,9039,125588,79827,63.60%
154,GEN,Marungapuri,Raj Kumar. M. A.,AIADMK,32021,41.98,Ramanathan. V.,INC,28444,37.29,3577,116714,77143,66.10%
155,GEN,Kulithalai,Karuppaiah. R.,CPI,44525,52.96,Srinivasa Reddiar. P. E.,INC,36336,43.22,8189,120320,85017,70.70%
156,GEN,Thottiam,Periasami. R.,INC,37426,42.89,Jayaraj. T. P. K.,IND,37119,42.53,307,121278,88181,72.70%
157,ST,Uppiliapuram,Arengarajan. V.,AIADMK,43263,49.46,Palanimuthu. R.,INC,40997,46.87,2266,128076,88643,69.20%
158,GEN,Musiri,Rajamanickam. M. K.,AIADMK,53697,52.2,Natarajan. R.,DMK,49171,47.8,4526,135272,104678,77.40%
159,GEN,Lalgudi,Anbil P. Dharmalingam,DMK,40899,40.9,Swamickan. A.,IND,38099,38.1,2800,130260,100892,77.50%
160,SC,Perambalur,J. S. Raju,DMK,28680,40.98,Angamuthu. M.,AIADMK,24224,34.62,4456,121376,70968,58.50%
161,SC,Varahur,Perumal. N.,AIADMK,39476,53.27,Chinnaian. P.,INC,33277,44.9,6199,117112,75094,64.10%
162,GEN,Ariyalur,T. Arumugam,DMK,45980,52.53,Asokan.,AIADMK,36776,42.01,9204,116590,88716,76.10%
163,GEN,Andimadam,S. Krishnamoorthy,AIADMK,36120,50.49,Sivasubramanian. S.,DMK,35412,49.51,708,101568,72601,71.50%
164,GEN,Jayankondam,Thangavelu. P.,INC,39862,45.76,Selvarajan. T.,AIADMK,34955,40.13,4907,118164,88026,74.50%
165,GEN,Srirangam,R. Soudararajan,AIADMK,49160,53.48,Swaminathan. V.,INC,42761,46.52,6399,129664,93051,71.80%
166,GEN,Tiruchirappalli I,Musiri Putthan. P.,AIADMK,35361,49.68,Krishnamurthi. A. V.,DMK,33183,46.62,2178,105277,71693,68.10%
167,GEN,Tiruchirappalli Ii,K. Soundararajan,AIADMK,43029,55.52,Kader Mohideen. M. K.,IND,34467,44.48,8562,125957,78400,62.20%
168,GEN,Thiruverumbur,Gurusamy Alias Annadasan. N.,AIADMK,51012,56.24,Murugesan. K. S.,DMK,39047,43.05,11965,133342,91442,68.60%
169,SC,Sirkazhi,K. Balasubramanian,AIADMK,49334,57.78,K. Subravelu,DMK,36054,42.22,13280,116654,86875,74.50%
170,GEN,Poompuhar,Vijayabalan. N.,AIADMK,45292,53.36,Ganesan. S.,DMK,39587,46.64,5705,109786,86389,78.70%
171,GEN,Mayiladuthurai,N. Kittappa,DMK,37671,48.89,Bala Velayutham,AIADMK,37001,48.03,670,109869,78001,71.00%
172,GEN,Kuttalam,Rajamanickam. R.,DMK,44254,53.39,Veeraiyan. G.,CPI(M),33364,40.25,10890,112552,83980,74.60%
173,SC,Nannilam,Kalaiarasan. A.,AIADMK,44829,52.73,M. Manimaran,DMK,39689,46.69,5140,115349,85897,74.50%
174,SC,Thiruvarur,M. Sellamuthu,CPI(M),45557,50.18,Kuppusamy. Kovi,DMK,43959,48.42,1598,121907,91547,75.10%
175,GEN,Nagapattinam,R. Umanath,CPI(M),44105,51.38,Ramanatha Thevar. S. S. R.,INC,41738,48.62,2367,112499,86729,77.10%
176,GEN,Vedaranyam,M. S. Manickam,AIADMK,52311,60.86,M. Meenakshi Sundaram,DMK,32656,37.99,19655,107177,86593,80.80%
177,SC,Thiruthuraipoondi,P. Uthirapathy,CPI(M),62051,61.2,V. Vedaiyan,INC,39345,38.8,22706,127669,102254,80.10%
178,GEN,Mannargudi,M. Ambigapathi,CPI,51818,56.33,Gopalasamy Thenkondar M.,INC,33496,36.41,18322,121083,92778,76.60%
179,GEN,Pattukkottai,Somasundaram. S. D.,AIADMK,52900,54.96,Marimuthu. A. R.,INC,42302,43.95,10598,119533,97072,81.20%
180,GEN,Peravurani,Govendan. M. R.,AIADMK,56010,58.56,Palanivel. A.,INC,39633,41.44,16377,115008,96904,84.30%
181,GEN,Orathanadu,T. Veeraswamy,INC,47021,50.53,T.M. Thailappan,AIADMK,45402,48.79,1619,121363,93769,77.30%
182,GEN,Thiruvonam,Sivagnanam. N.,INC,44748,49.36,Durai Govindarajan,AIADMK,44686,49.29,62,118707,91518,77.10%
183,GEN,Thanjavur,S. Natarajan,DMK,40880,50.61,Ramamurthy. A.,IND,39901,49.39,979,128484,81691,63.60%
184,GEN,Thiruvaiyaru,Subramanian. M.,AIADMK,42636,55.14,Elangovan. G.,DMK,32967,42.64,9669,110334,78156,70.80%
185,GEN,Papanasam,S. Rajaraman,INC,36101,50.3,Narayanaswamy. Govi,AIADMK,33152,46.19,2949,106374,72529,68.20%
186,SC,Valangiman,Gomathy,AIADMK,40667,56.11,Chellappa. A.,DMK,29502,40.7,11165,100415,73087,72.80%
187,GEN,Kumbakonam,Pakeer Mohamed. E. S. M.,INC,45038,55.98,Eradha. S. R.,AIADMK,35415,44.02,9623,118130,81577,69.10%
188,GEN,Thiruvidaimarudur,Ramalingam. S.,DMK,46943,53.31,Rajamaniekam. K.,AIADMK,41111,46.69,5832,118003,89468,75.80%
189,GEN,Thirumayam,Sundararaj. N.,INC,39479,45.72,Pulavar Ponnambalam,AIADMK,39256,45.46,223,123324,87342,70.80%
190,SC,Kolathur,Marimuthu. T.,AIADMK,50810,57.25,Thamizhselvan. A. Keerai.,DMK,37200,41.91,13610,127362,89868,70.60%
191,GEN,Pudukkottai,Rajakumar Vijaya Raghunatha Thondaiman,INC,47660,49.71,Subbiah. K. R.,CPI,46387,48.38,1273,130814,96889,74.10%
192,GEN,Alangudi,P. Thirumaran,AIADMK,59206,55.33,T. Pushparaju,INC,44605,41.68,14601,132592,108046,81.50%
193,GEN,Aranthangi,Su. Thirunavukkarasar,AIADMK,50792,49.5,Mohamed Mashood. M.,IND,36519,35.59,14273,136966,103790,75.80%
194,GEN,Tiruppattur (Sivaganga),Valmigi. V.,INC,34342,42,Madhavan. S.,IND,20116,24.6,14226,116068,82778,71.30%
