S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,GEN,Royapuram,Ponnurangam. P,DMK,37390,50.31,Pandian. D,CPI,36455,49.05,935,116630,74988,64.30%
2,GEN,Harbour,Selvarasan. A,DMK,32716,54.14,Habibulla Baig. Dr.,AIADMK,21701,35.91,11015,112040,61069,54.50%
3,GEN,Radhakrishnan Nagar,Rajasekaran. V,INC,44076,48.62,Isari Velan,AIADMK,36888,40.69,7188,146769,91527,62.40%
4,GEN,Park Town,N. V. N. Somu,DMK,38095,55.94,Lalchand Daga. S.,GKC,23197,34.06,14898,120797,68990,57.10%
5,SC,Perambur,Balan. S,DMK,49269,54.59,Murugaian. V,CPI(M),40989,45.41,8280,148248,91400,61.70%
6,GEN,Purasawalkam,Anbazhagan. K,DMK,52729,52.35,Valampuri John,AIADMK,47021,46.68,5708,169938,101569,59.80%
7,SC,Egmore,Ellayaperumal. L,INC,38200,61.19,Sivanesan. D. R,INC(U),23444,37.55,14756,117282,63041,53.80%
8,GEN,Anna Nagar,M. Karunanidhi,DMK,51290,48.97,H. V. Hande,AIADMK,50591,48.31,699,169720,105653,62.30%
9,GEN,Thiyagaraya Nagar,K. Sourirajan,GKC,42566,50.58,Chandran Jeyapal. R. E,DMK,36100,42.89,6466,153113,84892,55.40%
10,GEN,Thousand Lights,Krishnasamy. K. A,AIADMK,40499,50.19,Sadiq Pasha. S. J,DMK,40192,49.81,307,141773,81628,57.60%
11,GEN,Chepauk,A. Rahman Khan,DMK,32627,55.64,Abdul Khader. M. S,AIADMK,23401,39.91,9226,100569,59148,58.80%
12,GEN,Triplicane,K. S. G. Haja Shareef,INC,33664,52.77,Sridharan. V. K,INC(U),26786,41.99,6878,113394,64415,56.80%
13,GEN,Mylapore,T. K. Kapali,AIADMK,41260,49.66,Manoharan. K,DMK,37944,45.67,3316,143818,83831,58.30%
