S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,SC,ACHARAPAKKAM,"RAMAKRISHNAN, E.",DMK,40609,51.62,"SINGARAM, P.",ADK(JR),12716,16.16,27893,78664,124447,63.21084478
2,GEN,ALANDUR,C. SHANMUGAM,DMK,67985,42.88,K. ADAIKALAM,ADK(JL),41976,26.48,26009,158532,249164,63.62556389
3,GEN,ALANGUDI,CHANDRASEKARAN K.B. V.SC.,DMK,37361,29.18,PURHPARAJU T.,INC,33141,25.88,4220,128050,158817,80.62738876
4,GEN,ALANGULAM,RAMASUBBBU S.S.,INC,31314,28.57,MURUGIAH M.P.,DMK,30832,28.13,482,109598,140927,77.76934157
5,GEN,AMBASAMUDRAM,"RAVI ARUNAN, K.",INC,31337,34.17,"MURUGIAH, PANDIAN, R.",ADK(JL),27234,29.69,4103,91721,125960,72.81756113
6,GEN,ANAICUT,S.P. KANNAN,DMK,25709,35.64,VISVANATHAN,ADK(JL),22886,31.73,2823,72136,140696,51.27082504
7,SC,ANDHIYUR,"PERISAMY, V.",ADK(JL),26702,37.31,"RAMASAMY, K.",DMK,24740,34.57,1962,71574,132166,54.15462373
8,GEN,ANDIMADAM,SIVASUBRAMANIAN S.,DMK,28500,48.01,ELAVARASAN A.,ADK(JL),14669,24.71,13831,59357,118892,49.92514215
9,GEN,ANDIPATTI,"ASAYAN, P.",DMK,31218,29.5,"PANNEERSELVAM, V.",ADK(JL),26997,25.51,4221,105835,152247,69.51532707
10,GEN,ANNA NAGAR,"ANBAZHAGAN, K.",DMK,71401,49.94,"SUKUMAR BABU, V.",ADK(JL),38994,27.28,32407,142965,223765,63.89068889
11,GEN,ARANTANGI,"THIRUNAVUKKARASU, S.",ADK(JL),61730,47.58,SHANMUGASUNDARAM M.,DMK,40027,30.85,21703,129746,170036,76.30501776
12,GEN,ARAVAKURICHI,RAMASAMY MONJANOR,DMK,48463,42.4,S. JAGADEESAN,ADK(JL),30309,26.52,18154,114296,157264,72.67779021
13,GEN,ARCOT,"GAJAPATHY, T.R.",DMK,34775,36.5,"RAMDOSS, K.V.",ADK(JL),20470,21.49,14305,95262,129768,73.40946921
14,GEN,ARIYALUR,ARUMUGAM T.,DMK,47353,43.6,ELAVAZHAGAN P.,ADK(JL),29242,26.92,18111,108607,136145,79.7730361
15,SC,ARKONAM,V.K. RAJU,DMK,42511,46.78,P. RAJAKUMAR,INC,20538,22.6,21973,90869,154062,58.98209812
16,GEN,ARNI,"DAYALAN, A.C.",DMK,38558,36.21,"KARUNAKARAN, D.",ADK(JL),30891,29.01,7667,106498,142709,74.62598715
17,GEN,ARUPPUKOTTAI,"THANGAPANDIAN, V.",DMK,44990,45.59,"PANCHAVARNAM, V.S.",ADK(JL),29467,29.86,15523,98688,141982,69.50740235
18,GEN,ATHOOR,"PERIASAMY., I.",DMK,37469,32.22,"ABDUL KADHAR, N.",INC,33733,29.01,3736,116289,168597,68.97453691
19,GEN,ATTUR,"RAMASAMY, A.M.",DMK,33620,38.22,"SUBRAMANIAM, M.P.",ADK(JL),27795,31.6,5825,87971,135294,65.02210002
20,SC,AVANASHI,"ANNANAMBI, R.",ADK(JL),33964,32.6,"DHANDAPANI, C.T.",DMK,31806,30.53,2158,104196,144291,72.2124041
21,GEN,BARGUR,"RAJENDRAN, K.R.",ADK(JL),30551,30.27,"SUGAVANAM, E.G.",DMK,29522,29.25,1029,100921,143564,70.29687108
22,GEN,BHAVANI,G.G. GURUMOORTHY,IND,36371,42.18,P.S. KIRUTTINASAMY,DMK,19518,22.64,16853,86226,140948,61.17575276
23,GEN,BHAVANISAGAR,"CHINNASAMY, V.K.",ADK(JL),39716,37.44,"SWAMYNATHAN, P.A.",DMK,32296,30.44,7420,106088,140475,75.52091119
24,GEN,BHUVANAGIRI,"SIVALOGAM, S.",DMK,39430,46.5,"RATHAKRISHNAN, R.",IND,17553,20.7,21877,84795,134779,62.91410383
25,GEN,BODINAYAKKANUR,"JAYALALITHA, J.",ADK(JL),57603,54.41,MUTHU MANOHARAN,DMK,28872,27.27,28731,105871,150663,70.27007294
26,GEN,CHENGALPATTU,V. TAMILMANI,DMK,38948,45.73,C.D. VARADARAJAN,ADK(JL),22607,26.54,16341,85167,141410,60.2269995
27,SC,CHENGAM,"SETTU, M.",JNP,26256,34.74,"VEERAPANDIYAN, P.",ADK(JL),22344,29.56,3912,75584,128945,58.61723991
28,GEN,CHEPAUK,"LATHEEF, M.A.",DMK,33104,50.21,"HIDAYATHULLA, S.M.",INC,14751,22.38,18353,65925,98546,66.89769245
29,GEN,CHERANMAHADEVI,"PANDIAN, P.N.",ADK(JR),26113,27.06,"AVUDAIAPPAN, R.",DMK,25413,26.34,700,96494,124735,77.35920151
30,GEN,CHEYYAR,V. ANBALAGAN,DMK,46376,46.75,M. KRISNHASWAMY,INC,22993,23.18,23383,99190,139998,70.85101216
