S.no,Type,Constituency,Winner,Winner Party,Winner Vote,Winner %,Runner ,Runner Party,Runner Votes,Runner %,Margi,Total Electors,Total Votes,Poll%
129,SC,Palani,A. S. Ponnammal,INC,62344,66.27,N. Palanivel,CPI(M),30794,32.73,31550,133723,98445,73.60%
130,GEN,Oddanchatram,K. Kuppuswamy,AIADMK,46466,49.86,Chellamuthu K.,Independent,43985,47.19,2481,132723,99703,75.10%
131,GEN,Periyakulam,Mohammed Saleem T.,AIADMK,58021,63.04,Maya Thevar Alias Mayan P. N.,DMK,31554,34.28,26467,133765,95050,71.10%
132,GEN,Theni,V. R. Jayaraman,AIADMK,56970,57.36,K. T. K. Thangamani,CPI,40611,40.89,16359,141714,103058,72.70%
133,GEN,Bodinayakkanur,K. S. M. Ramachandran,INC,54231,61,Muthu Manoharan,DMK,34359,38.65,19872,134056,92731,69.20%
134,GEN,Cumbum,S. Subburayar,AIADMK,52228,52.17,N. Eramakrishnan,DMK,47005,46.95,5223,136730,102513,75.00%
135,GEN,Andipatti,M. G. Ramachandran,AIADMK,60510,67.4,Thangaraj Alias Vallarasu,DMK,28026,31.22,32484,133117,93155,70.00%
136,GEN,Sedapatti,Sedapatti Muthiah,AIADMK,38808,47.29,N. S. Selvaraj,INC,33810,41.2,4998,122094,86348,70.70%
137,GEN,Tirumangalam,N. S. V. Chitthan,INC,46146,55.23,A. Athiyanan,DMK,35304,42.26,10842,123317,88092,71.40%
138,GEN,Usilampatti,Muthuramalingam. P. K. M.,Independent,50876,60.9,Andi Thever S.,Independent,30135,36.07,20741,125879,87662,69.60%
139,SC,Nilakottai,A. Baluchamy,AIADMK,55162,62.88,M. Arivazhagan,DMK,25313,28.86,29849,130589,92007,70.50%
140,GEN,Sholavandan,Chandrasekaran A.,INC,44464,53.35,Rajagopal. P. N.,Independent,26692,34.42,17772,120399,88830,73.80%
141,GEN,Thiruparankundram,M. Marimuthu,AIADMK,58559,53.47,Ayyanan Ambalam,DMK,45886,41.9,12673,165581,113690,68.70%
142,GEN,Madurai West,Pon. Muthuramalingam,DMK,48247,51.24,Pandian S.,AIADMK,45131,47.93,3116,142850,97896,68.50%
143,GEN,Madurai Central,Deivanyagam A.,INC,41272,50.76,Nedumaran P.,TNC(K),39012,47.98,2260,121962,83985,68.90%
144,GEN,Madurai East,K. Kalimuthu,AIADMK,43210,51.08,P. M. Kumar,CPI(M),36972,43.71,6238,120711,87222,72.30%
145,SC,Samayanallur,Sivakumar. A.,AIADMK,65883,58.44,Selvaraj. S.,DMK,45746,40.58,20137,166057,118926,71.60%
146,GEN,Melur,Veeranambalam. D. V.,INC,60794,60.11,Thiyagarajan. K.,AIADMK,33748,33.37,27046,139154,106213,76.30%
147,GEN,Natham,M. Andi Ambalam,INC,57214,68.48,Alagirisamy. T.,TNC(K),18004,21.55,39210,121608,88993,73.20%
148,GEN,Dindigul,A. Premkumar,AIADMK,67718,62.68,N. Varadarajan,CPI,34952,32.35,32766,160905,111963,69.60%
149,GEN,Athoor,V.R. Nedunchezhiyan,AIADMK,67178,63.16,Rajambal K.,DMK,37605,35.35,29573,152731,110714,72.50%
150,GEN,Vedasandur,V. P. Balasubramanian,AIADMK,60583,55.48,P. Muthusamy,Independent,32714,29.96,27869,162490,115422,71.00%
151,GEN,Aravakurichi,S. Jegatheesan,AIADMK,57887,55.72,P. Ramasamy,DMK,44273,42.62,13614,141938,107930,76.00%
152,GEN,Karur,K. Vadivel,AIADMK,65363,54.35,K. V. Ramasamy,DMK,53160,44.2,12203,156620,124619,79.60%
153,SC,Krishnarayapuram,P. M. Thangavelraj,INC,65928,70.4,Krishnan. K.,DMK,25613,27.35,40315,133860,98774,73.80%
154,GEN,Marungapuri,K. Sholairaj,AIADMK,62656,69.36,P. Ramasamy,Independent,24135,26.72,38521,126822,95850,75.60%
155,GEN,Kulithalai,P. Musiri Puppnan,AIADMK,62165,64.05,B. Karuppaiah,CPI,32317,33.3,29848,130379,103377,79.30%
156,GEN,Thottiam,Periyasamy,INC,66131,68.39,Vadivel S. R.,DMK,26615,27.52,39516,127712,101386,79.40%
157,ST,Uppiliapuram,R. Saroja,AIADMK,59347,60.61,R. Mookkayee,DMK,37249,38.04,22098,134178,100890,75.20%
158,GEN,Musiri,Rathinavelu. S.,AIADMK,65759,59.75,Natarajan. R.,DMK,42086,38.24,23673,143107,115730,80.90%
159,GEN,Lalgudi,K. Venkatachalam,INC,61590,60.09,A. Swaminkan,TNC(K),36468,35.58,25122,132489,106721,80.60%
160,SC,Perambalur,K. Nallamuthu,INC,57021,63.88,T. Sarojini,DMK,27751,31.09,29270,130635,94981,72.70%
161,SC,Varahur,A. Arunachalam,AIADMK,50012,56.92,K. Kanaga Sabai,DMK,37302,42.45,12710,123134,90648,73.60%
162,GEN,Ariyalur,S. Purushothaman,AIADMK,56815,58.36,T. Arumugam,DMK,39045,40.11,17770,122373,101042,82.60%
163,GEN,Andimadam,Adhimoolam Alias Gandhi,AIADMK,43911,52.92,S. Sivasubramanian,DMK,37895,45.67,6016,107898,86351,80.00%
164,GEN,Jayankondam,Masilamani. N.,INC,57468,62.94,J. Pannirselvam,JP,22778,24.95,34690,123972,97731,78.80%
165,GEN,Srirangam,R. Soudararajan,AIADMK,58861,56.52,C. Ramasamy Udayar,JP,38399,36.87,20462,139831,109421,78.30%
166,GEN,Tiruchirappalli I,A. Malarmannan,DMK,37802,50.84,Perumal. R.,INC,34909,46.95,2893,103264,76505,74.10%
167,GEN,Tiruchirappalli Ii,N. Nallusamy,AIADMK,46589,51.63,Anbil P. Dharmalingam,DMK,41908,46.44,4681,131240,92781,70.70%
168,GEN,Thiruverumbur,M. Guruswamy Alias Annadasan,AIADMK,47900,47.84,Pappa Umanath,CPI(M),43421,43.36,4479,145622,104072,71.50%
169,SC,Sirkazhi,K. Balasubramanian,AIADMK,51438,55.65,M. Panneerselvam,DMK,40152,43.44,11286,120444,96563,80.20%
170,GEN,Poompuhar,Vijayabalan. N.,AIADMK,44860,50.22,Jama Imoideen Papa,DMK,41780,46.77,3080,115057,93425,81.20%
171,GEN,Mayiladuthurai,M. Thangamani,AIADMK,47119,51.87,K. Satiyaseelan,DMK,42948,47.28,4171,116888,93167,79.70%
172,GEN,Kuttalam,Pappa Subbramanian,AIADMK,53214,55.63,Rajamanickam. R.,DMK,41454,43.33,11760,120416,99321,82.50%
173,SC,Nannilam,M. Manimaran,DMK,50072,51.72,Anbarasan. S.,AIADMK,45564,47.06,4508,123430,100768,81.60%
174,SC,Thiruvarur,M. Sellamuthu,CPI(M),56273,55.99,P. Selvadurai,INC,44227,44.01,12046,131246,105452,80.30%
175,GEN,Nagapattinam,G. Veeraiyan,CPI(M),43684,48.24,S. Thenkovan,AIADMK,38698,42.74,4986,118310,93820,79.30%
176,GEN,Vedaranyam,M. Meenakshi Sundaram,DMK,49922,50.23,Rajendran. P. V.,INC,48646,48.94,1276,116682,103040,88.30%
