S.no,Type,Constituency,Winner,Winner Party,Winner Vote,Winner %,Runner ,Runner Party,Runner Votes,Runner %,Margi,Total Electors,Total Votes,Poll%
220,GEN,Cheranmahadevi,P. H. Pandian,AIADMK,55898,67.45,Pandian. P. S.,DMK,26225,31.64,29673,112131,87106,77.70%
221,GEN,Ambasamudram,Balasubramanian,AIADMK,44707,54.75,Nallasivan A.,CPI(M),36041,44.14,8666,113411,85922,75.80%
222,GEN,Nanguneri,M. John Vincent,AIADMK,45825,58,Namdi. E.,DMK,31807,40.25,14018,122639,83894,68.40%
223,GEN,Radhapuram,Kumari Ananthan,GKC,40213,53.99,Subramania Nadar. B.,Independent,25075,33.66,15138,124210,80714,65.00%
224,GEN,Sattangulam,S. N. Ramasamy,GKC,37892,53.69,Ganesapandian. M. A.,JP,29275,41.48,8617,125821,74689,59.40%
225,GEN,Tiruchendur,S. R. Subramania Adityan,AIADMK,45953,50.7,K. P. Kandasamy,DMK,43565,48.07,2388,142623,94617,66.30%
226,GEN,Srivaikuntam,S. Daniel Raj,INC,41513,53.76,S. P. Muthu,DMK,34140,44.21,7373,116124,80773,69.60%
227,GEN,Thoothukkudi,S. N. Rajendran,AIADMK,59622,56.54,A. Ayyasamy,DMK,37549,35.61,22073,152824,108473,71.00%
228,GEN,Kanniyakumari,K. Perumal Pillai,AIADMK,45353,54.05,Sankaraligom. M.,DMK,37696,44.92,7657,121584,87597,72.00%
229,GEN,Nagercoil,S. Retnaraj,DMK,41572,47.86,Jagatheeson. S.,AIADMK,40301,46.39,1271,135489,90591,66.90%
230,GEN,Colachel,F. M. Rajarathnam,AIADMK,33585,39.33,M. R. Gandhi,BJP,32996,38.64,589,123569,89138,72.10%
231,GEN,Padmanabhapuram,V. Balachandran,Independent,28465,37.77,M. Vincent,AIADMK,24148,32.05,4317,110266,79437,72.00%
232,GEN,Thiruvattar,J. Hemachandran,CPI(M),26851,36.97,M. Mohndahs,Independent,22762,31.34,4089,110731,77440,69.90%
233,GEN,Vilavancode,M. Sundardas,INC,47169,57.49,D. Moni,CPI(M),34876,42.51,12293,135185,85389,63.20%
234,GEN,Killiyoor,D. Kumaradas,JP,36944,58.24,Pauliah. A.,INC,25458,40.14,11486,105740,65586,62.00%
