S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,SC,ACHARAPAKKAM,RAMAKRISHANAN,ADK,52494,56.3,JAYAPAL M.,DMK,27769,29.78,24725,93241,138588,67.27927382
2,GEN,ALANDUR,ANNAMALAI S.,ADK,88432,58.45,PAMMAL NALLATHAMBI,DMK,53521,35.37,34911,151301,296098,51.09828503
3,GEN,ALANGUDI,SHANMUGANATHAN S.,ADK,88684,68.83,CHIRTRARASU S.,DMK,38983,30.26,49701,128837,177995,72.38237029
4,GEN,ALANGULAM,RAMASUBBU S.S.,INC,66637,62.69,GURUNATHAN S.,DMK,35487,33.39,31150,106288,157887,67.31903197
5,GEN,AMBASAMUDRAM,MURUKGAIAH PANDIAN R.,ADK,57433,65.33,CHELLAPPA S.,CPM,28219,32.1,29214,87907,132041,66.57553336
6,GEN,ANAICUT,DHARAMALINGAM K.,ADK,54413,57.59,KANNAN S.P.,DMK,18880,19.98,35533,94484,161182,58.61944882
7,SC,ANDHIYUR,PERIASAMY V.,ADK,52592,59.68,ERADHARUKMANI,DMK,21530,24.43,31062,88116,144480,60.98837209
8,GEN,ANDIMADAM,THANGARAJULK R.,INC,40816,42.19,GNANAMOORTHY M.,PMK,33144,34.26,7672,96751,132570,72.98106661
9,GEN,ANDIPATTI,THAVASI K.,ADK,66110,64.25,ASAIYAN P.,DMK,23843,23.17,42267,102897,172603,59.61483868
10,GEN,ANNA NAGAR,A. CHELLAKUMAR,INC,75512,57.29,S. M. RAMACHANDRAN,DMK,48214,36.58,27298,131814,262348,50.24395078
11,GEN,ARANTANGI,S. THIRUNAVUKKARASU,TMK,73571,56.46,CHELLIAH KUZHA,ADK,52150,40.02,21421,130301,191195,68.15084076
12,GEN,ARAVAKURICHI,MARIYAMUL ASIA,ADK,57957,57.05,MONJANUR RAMASAMY P.,DMK,37005,36.43,20952,101582,173736,58.46917162
13,GEN,ARCOT,VISWANATHAN G.,ADK,61712,61.16,GAJAPATHI T.R.,DMK,27439,27.2,34273,100896,143916,70.10756274
14,GEN,ARIYALUR,MANIMEGALAI S.,ADK,64680,57,CHINNAPPA K.,DMK,41551,36.62,23129,113474,154420,73.48400466
15,SC,ARKONAM,LATA PRIYAKUMAR,INC,61314,55.24,G. MANI,DMK,30332,27.33,30982,110992,170964,64.92126997
16,GEN,ARNI,JAISON JACOB I.R.,ADK,66355,58.51,SELVARASU E.,DMK,32043,28.26,34312,113405,161120,70.38542701
17,GEN,ARUPPUKOTTAI,MANIMEGHALAI V. G.,ADK,56985,58.91,SHANMUGA SUNDARAM R. M.,DMK,37066,38.32,19919,96730,157995,61.22345644
18,GEN,ATHOOR,DURAI S. M.,ADK,81394,68.74,PERIYASAMY I.,DMK,35297,29.81,46097,118415,189272,62.56340082
19,GEN,ATTUR,V. TAMILARASU,ADK,61060,64.49,A.M. RAMASAMY,DMK,24475,25.85,36585,94676,151368,62.54690555
20,SC,AVANASHI,M. SEENIAMMAL,ADK,69774,69.67,M. ARUMUGHAM,CPI,23625,23.59,46149,100149,160494,62.40046357
21,GEN,BARGUR,J. JAYALALITHA,ADK,67680,65.18,T. RAJHENDHER,TMK,30465,29.34,37215,103841,157980,65.73047221
22,GEN,BHAVANI,MUTHUSAMY S.,ADK,61337,61.24,DURAISAMY M.C.,DMK,20867,20.84,40470,100153,151501,66.10715441
23,GEN,BHAVANISAGAR,V.K. CHINNASAMY,ADK,63474,62.74,O. SUBRAMANIAM,DMK,20887,20.65,42587,101166,154848,65.33245505
24,GEN,BHUVANAGIRI,G. MALLIGA,ADK,48164,46.38,R.T. SABAPATHY MOHAN,DMK,27530,26.51,20634,103853,149984,69.24271922
25,GEN,BODINAYAKKANUR,PANNEER SELVAM V.,ADK,63297,62.98,PONNU PILLAI G.,DMK,26253,26.12,37044,100507,168572,59.6225945
26,GEN,CHENGALPATTU,VARDARAJAN C.D.,ADK,51694,48.65,TAMILMANI V.,DMK,34896,32.84,16798,106266,159450,66.64534337
27,SC,CHENGAM,P. VEERA PANDIYAN,ADK,54611,59.31,K. MUNUSAMY,JD,16994,18.46,37617,92081,144912,63.54270178
