S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
55,GEN,JAYANKONDAM,ANNADURAI.S.,ADMK,70948,56.6,GANESAN K.C.,DMK,45938,36.65,25010,125359,178379,70.27677025
56,GEN,KADALADI,BALAKRISHNAN.S,TMC(M),51142,48.1,THANGAVELAN S.P,DMK,45027,42.35,6115,106315,195964,54.25231165
57,GEN,KADAYANALLUR,SUBBIAH PANDIAN.M.,ADMK,48220,45.57,SHAHUL P.M.,DMK,46976,44.39,1244,105822,174540,60.62908216
58,GEN,KALASAPAKKAM,RAMACHANDRAN.S,ADMK,75880,58.05,THIRUVENGADAM P.S.,DMK,46990,35.95,28890,130721,189131,69.11664402
59,GEN,KANCHEEPURAM,THIRUNAVUKKARASU SS,ADMK,84246,55.81,SEKAR A,DMK,60643,40.17,23603,150953,251748,59.96194607
60,SC,KANDAMANGALAM,SUBRAMANIAN.V,ADMK,67574,56.29,VIJAYARAGAVAN.E.,DMK,44946,37.44,22628,120045,189255,63.43029246
61,GEN,KANGAYAM,SELVI.M.,ADMK,58700,51.06,RAJKUMAR MANRADIYAR.N,DMK,47426,41.25,11274,114962,175834,65.38098434
62,GEN,KANNIYAKUMARI,THALAVAISUNDARAM.N,ADMK,55650,51.32,SURESHRAJAN.N,DMK,46114,42.52,9536,108443,188205,57.61961691
63,GEN,KAPILAMALAI,MALAIYAPPASAMY A.R.,PMK,48447,41.75,GANDHISELVAN S,DMK,44135,38.03,4312,116042,183691,63.17239277
64,GEN,KARAIKUDI,RAJA. H,BJP,54093,48.4,UDAYAPPAN. SP,TMC(M),52442,46.93,1651,111753,189003,59.12763289
65,GEN,KARUR,SIVASUBRAMANIAN.T.N.,INC,82012,53.36,VASUKI MURUGESAN,DMK,58574,38.11,23438,153697,239674,64.12752322
66,GEN,KATPADI,DURAIMURUGAN,DMK,64187,49.47,NATARAJAN A.K.,PMK,56185,43.3,8002,129746,193925,66.90524687
67,SC,KATTUMANNARKOIL,VALLALPERUMAN. P.,DMK,55444,55.37,SACHITHANANDAM.R.,INC,38927,38.87,16517,100139,159810,62.66128528
68,GEN,KAVERIPATTINAM,MUNUSAMY. K.P.,ADMK,67241,54.75,GOVINDASAMI. V.C.,DMK,48724,39.67,18517,122811,187940,65.34585506
69,GEN,KILLIYOOR,KUMARADAS DR.,TMC(M),40075,49.16,SANTHAKUMAR C,BJP,26315,32.28,13760,81525,159720,51.04244929
70,GEN,KINATHUKKADAVU,DAMODARAN. S.,ADMK,55958,50.33,SHANMUGAM. M.,DMK,22178,19.95,33780,111180,168931,65.81385299
71,GEN,KOILPATTI,RAJENDRAN .S.,CPI,45796,40.27,RAJARAM .K,DMK,36757,32.32,9039,113726,193861,58.66368171
72,SC,KOLATHUR,KARUPPAYEE DR. A.,ADMK,80855,61.98,PALANIAPPAN ALIAS PURACHI KAVIDASAN M,PT,33956,26.03,46899,130460,209726,62.2049722
73,GEN,KRISHNAGIRI,GOVINDARASU V.,ADMK,65197,56.59,T.SENGUTTUVAN,DMK,43424,37.69,21773,115203,193656,59.48847441
74,SC,KRISHNARAYAPURAM,SASIKALA R.,ADMK,64046,55.09,PERIYASAMY S.,DMK,42497,36.56,21549,116247,176754,65.76767711
75,GEN,KULITHALAI,PAPPASUNDARAM.A,ADMK,66406,52.78,THIRUNAVUKKARASU.D,DMK,49640,39.46,16766,125810,179980,69.90221136
76,GEN,KUMBAKONAM,MANI KO.SI.,DMK,60515,51.18,ERAMANATHAN.RAMA,ADMK,54019,45.69,6496,118242,196625,60.13579148
77,GEN,KURINJIPADI,PANNEER SELVAM M.R.K,DMK,65425,55.78,SIVASUBRAMANIAN K,ADMK,41562,35.44,23863,117283,194949,60.16086258
78,GEN,KUTTALAM,NATARAJAN,ADMK,55921,48.64,KALYANAM.P.,DMK,53277,46.34,2644,114965,166639,68.99045242
79,GEN,LALGUDI,BALAN .S.M.,ADMK,58288,47.11,NEHRU .K.N,DMK,56678,45.81,1610,123719,184259,67.14407437
80,GEN,MADURAI CENTRAL,HAKEEM.M.A,TMC(M),34393,46.53,PAULRAJ.S,DMK,34246,46.33,147,73912,141907,52.08481611
81,GEN,MADURAI EAST,NANMARAN .N,CPM,32461,43.29,VELUSAMY .V,DMK,27157,36.22,5304,74980,136526,54.91994199
82,GEN,MADURAI WEST,VALARMATHIJEBARAJ.,ADMK,48465,48.06,PALANIVEL RAJAN P.T.R.,DMK,47757,47.36,708,100840,205790,49.0014092
83,GEN,MADURANTHAKAM,VASUDEVAN .P.,ADMK,57610,51.1,UGAMCHAND .S.D.,DMK,45916,40.73,11694,112730,181901,61.97327117
84,SC,MANAMADURAI,PARAMALAI.K,TMC(M),56508,57.06,KIRUBANIDHI..S.P,BJP,35651,36,20857,99036,176612,56.07546486
85,SC,MANGALORE,THIRUMAVALAVAN. E.R.A,DMK,64627,47.87,PURATCHIMANI. S,TMC(M),62772,46.49,1855,135016,194908,69.27165637
86,GEN,MANNARGUDI,SIVAPUNNIYAM .V,CPI,70644,56.4,GNANASEKARAN.S,BJP,50454,40.28,20190,125256,185994,67.34410787
87,GEN,MARUNGAPURI,CHELLIAH.V.A,ADMK,65619,53.92,SENGUTTUVAN.B.M.,DMK,40347,33.16,25272,121688,192283,63.28588591
88,GEN,MAYURAM,VEERAPANDIAN.JAGA,BJP,51303,49.51,SELVARAJ.R,ADMK,48851,47.14,2452,103626,171477,60.43142812
89,GEN,MELMALAYANUR,TAMILMOZHI .R.,ADMK,55309,51.02,GNANASEKARAN DR.A.,DMK,30722,28.34,24587,108413,169696,63.88659721
90,GEN,MELUR,SAMY.R,ADMK,58010,46.32,SAMAYANALLUR SELAVARASU.S,DMK,31172,24.89,26838,125241,188821,66.32789785
91,GEN,METTUPALAYAM,SELVARAJ A.K.,ADMK,85578,60.02,B.ARUN KUMAR,DMK,44500,31.21,41078,142577,219782,64.87200954
92,GEN,METTUR,SUNDARAMBAL .S,ADMK,49504,42.25,P.GOPAL,DMK,41369,35.31,8135,117169,210151,55.75467164
93,GEN,MODAKURICHI,RAMASAMI P.C.,ADMK,74296,55.24,SUBBULAKSHMI JEGADEESAN TMT.,DMK,40084,29.81,34212,134487,220433,61.01037503
94,GEN,MORAPPUR,PALANIAPPAN. P,ADMK,62266,56.31,RAJASEKARAN E.V.,DMK,38950,35.22,23316,110577,180856,61.14090768
95,GEN,MUDUKULATHUR,PATINETAMPATIAN. K,ADMK,49554,46.99,PANDIAN.S.,MTD,46885,44.46,2669,105458,177522,59.4055948
96,GEN,MUGAIYUR,GOTHANDARAMAN G.,ADMK,57484,51.3,A.GEE.SAMPATH,DMK,47143,42.07,10341,112063,179691,62.3642809
97,GEN,MUSIRI,MALLIGA C.,ADMK,47946,34.83,S.VIVEKANANDAN,DMK,45952,33.38,1994,137655,207941,66.19906608
98,GEN,MYLAPORE,LAKSHMANAN.K.N,BJP,60996,51.09,MAITREYAN.V,ADMK,54949,46.03,6047,119385,288708,41.3514693
99,GEN,NAGAPATTINAM,JEEVANANTHAM R,ADMK,59808,53.55,THANGAIYA S.P,DMK,43091,38.59,16717,111676,167176,66.80145475
100,GEN,NAGERCOIL,AUSTIN,MADMK,48583,44.11,MOSES.M.,TMC(M),44921,40.78,3662,110147,219583,50.16189778
101,SC,NAMAKKAL,JAYAKUMAR.K,INC,67215,58.14,AHILAN.S,PT,38223,33.06,28992,115601,215295,53.69423349
102,GEN,NANGUNERI,MANICKARAJ.S.,ADMK,46619,51.54,RAMACHANDRAN.V,MTD,37458,41.41,9161,90450,174269,51.90251852
103,SC,NANNILAM,TAMIZHARASAN C.K.,TMC(M),52450,46.11,SAKTHIVEL P,DMK,33238,29.22,19212,113751,171039,66.50588462
104,GEN,NATHAM,VISWANATHAN.R.,ADMK,55604,49.41,KRISHNAN. KU.PA.,TB,45002,39.99,10602,112540,181487,62.00995113
105,GEN,NATRAMPALLI,NATARAJAN S,PMK,67046,48.96,ANBAZHAGAN T,MGRK,54958,40.13,12088,136938,202275,67.69892473
106,GEN,NELLIKUPPAM,SAMPATH. M.C.,ADMK,56349,50.93,SHANMUGHAM.V.C.,DMK,48967,44.26,7382,110631,160479,68.93799189
107,SC,NILAKOTTAI,ANBAZHAGAN.G,ADMK,60972,57.36,AYYAR.K,PT,29478,27.73,31494,106303,175612,60.5328793
108,GEN,ODDANCHATRAM,CHAKKARAPANI. ARA.,DMK,52896,46.4,SELLASAMY . A..T.,ADMK,51527,45.2,1369,114010,176900,64.44884115
109,GEN,OMALUR,SEMMALAI S,ADMK,65861,59.39,RAJENDRAN.ERA.,DMK,34259,30.89,31602,110905,192661,57.56484187
110,GEN,OOTACAMUND,RAJU H.M,INC,59872,62.67,HUTCHI GOWDER.J,BJP,30782,32.22,29090,95538,184958,51.65388899
111,GEN,ORATHANAD,VAITHILINGAM. R,ADMK,63836,53.34,RAJAMANICKAM. P.,DMK,43992,36.76,19844,119676,175921,68.02826269
112,GEN,PADMANABHAPURAM,RAAJENDRAPRASAD.K.P,ADMK,36223,42.94,VELAYUTHAN.C,BJP,33449,39.66,2774,84349,163430,51.6116992
113,GEN,PALACODE,ANBALAGAN K.P,ADMK,75284,62.38,VENKATACHALAM G.L.,DMK,35052,29.04,40232,120685,202427,59.61902315
114,SC,PALANI,CHINNASAMY .M,ADMK,63611,55.65,POOVENDHAN .T,DMK,43124,37.73,20487,114311,187939,60.82345868
115,GEN,PALAYAMCOTTAI,MOHIDEEN KHAN.T.P.M,DMK,55934,53.13,MUTHU KARUPPAN.S,ADMK,41186,39.12,14748,105282,214114,49.17100236
116,GEN,PALLADAM,VELUSAMY.S.M,ADMK,82592,55.86,PONMUDI.S.S,DMK,50118,33.89,32474,147864,245455,60.24077733
117,GEN,PALLIPET,NARASIMHAN .P.M,ADMK,62289,49.42,CHAKRAVARTHY .M,BJP,34049,27.02,28240,126037,183742,68.59455106
118,GEN,PANAMARATHUPATTY,VIJAYALAKAHMI PALANISAMY .P,ADMK,78642,64.51,SIVALINGAM. S.R.,DMK,36292,29.77,42350,121910,195665,62.30547109
119,GEN,PANRUTI,VELMURUGAN .T.,PMK,45963,37.67,RAMASWAMY .V.,DMK,40915,33.54,5048,122003,168037,72.60484298
120,GEN,PAPANASAM,RAMKUMAR M,TMC(M),55830,50.37,KALYANASUNDARAM S,DMK,49198,44.38,6632,110844,164795,67.26174945
121,SC,PARAMAKUDI,RAMPRABHU R,TMC(M),53746,49.58,CHELLIAH S,PT,47939,44.22,5807,108410,181847,59.61605086
122,GEN,PARK TOWN,VINAYAKAMURTHI S.G,TMC(M),33031,51.4,T.RAJHENDHARR.,DMK,26654,41.47,6377,64268,140145,45.85821827
123,GEN,PATTUKKOTTAI,RENGARAJAN N.R.,TMC(M),55474,47.49,BALASUBRAMANIAN P,DMK,48524,41.54,6950,116819,192049,60.82770543
124,GEN,PENNAGARAM,MANI G.K.,PMK,49125,44.08,PERIANNAN K.N.,IND,34729,31.16,14396,111444,199848,55.76438093
125,SC,PERAMBALUR,RAJARETHINAM.P,ADMK,67074,53.45,VALLABAN.S,DMK,47070,37.51,20004,125499,202003,62.12729514
126,SC,PERAMBUR,MAHENDRAN K.,CPM,69613,52.42,CHENGAI SIVAM,DMK,52390,39.45,17223,132799,276886,47.96161597
127,GEN,PERANAMALLUR,ANBALAGAN.A.K.S,ADMK,52625,45.62,BOSE.B,MTD,44266,38.37,8359,115355,174454,66.12344801
128,GEN,PERAVURANI,THIRUGNANA SAMBANDHAM S.V.,TMC(M),64076,54.7,CHELLAIAH.KUZHA,DMK,35417,30.24,28659,117137,168212,69.63653009
129,GEN,PERIYAKULAM,PANNEER SELVAM O,ADMK,62125,54.28,ABUTHAHIR M,DMK,44205,38.62,17920,114463,203946,56.12417012
130,SC,PERNAMBUT,KANAGATHARA (SELVI). C,ADMK,65366,59.07,THONDRAL NAYAGAN .S,BJP,36511,32.99,28855,110658,181724,60.8934428
131,GEN,PERUNDURAI,PALANISAMY. K.S.,ADMK,72133,57.88,GOVINDASWAMY. N.,CNMK,40421,32.43,31712,124623,191912,64.93757556
132,GEN,PERUR,KRISHNAKUMAR M.A.P.A. ALIAS ROHINI,ADMK,94607,55.5,NAGESWARI THIRUMATHI.N.,DMK,59343,34.81,35264,170464,300569,56.71376622
133,GEN,POLLACHI,JAYARAMAN.V.,ADMK,64648,52.48,TAMIL MANI.R.,DMK,32244,26.18,32404,123179,203219,60.61391897
134,GEN,POLUR,NALINI MANOKARAN,ADMK,59678,51.31,ELUMALAI.C,DMK,48871,42.02,10807,116298,175601,66.22855223
135,GEN,PONGALUR,DAMODARAN P.V.,ADMK,57139,53.56,CHELLAMUTHU.K,IND,35324,33.11,21815,106683,157105,67.90554088
136,SC,PONNERI,KANNAN.A.S.,CPI,81408,54.58,SUNDARAM.K.,DMK,54018,36.22,27390,149143,243530,61.24214676
137,GEN,POOMPUHAR,RENGANATHAN.N,ADMK,53760,50.55,MOHAMMED SIDDIQ.M,DMK,46305,43.54,7455,106353,158741,66.99781405
138,GEN,POONAMALLEE,SHANMUGAM S,PMK,62220,37.51,CHEZHIYAN S,DMK,59904,36.12,2316,165860,306344,54.14174914
139,SC,POTTAPIDARAM,SIVAPERUMAL .A.,ADMK,39350,43.3,KRISHNASAMY DR. K.,PT,38699,42.59,651,90872,143277,63.42399687
140,GEN,PUDUKKOTTAI,DR. VIJAYABASKER.C,ADMK,77627,53.96,PERIYANNAN ARASU,DMK,49444,34.37,28183,143864,221966,64.81353
141,GEN,PURASAWALKAM,RANGANATHAN B,DMK,69681,48.53,VETRIIVEL P,TMC(M),65879,45.89,3802,143574,307376,46.70956744
142,GEN,RADHAPURAM,APPAVU .M,IND,44619,45.4,JOTHI .S,PMK,26338,26.8,18281,98284,181038,54.28915476
143,SC,RAJAPALAYAM,RAJASEKAR M.,ADMK,61740,47.63,RAJAN V.P.,DMK,52145,40.23,9595,129633,203123,63.81995146
144,GEN,RAMANATHAPURAM,ANWER RHAZZA A,ADMK,59824,50.21,RAHMAN KHAN A,DMK,50712,42.56,9112,119150,177797,67.01462904
145,GEN,RANIPET,CHANDRASEKARAN M.S.,ADMK,83250,56.37,GANDHI. R.,DMK,58287,39.47,24963,147686,227057,65.04357937
146,GEN,RASIPURAM,SUNDARAM P.R,ADMK,67332,57.48,RAMALINGAM. K. P. DR.,DMK,44303,37.82,23029,117144,188637,62.10022424
147,GEN,RISHIVANDIAM,SIVARAJ S.,TMC(M),57108,52.37,T.K.T MURALI,PNK,31576,28.96,25532,109045,174987,62.31605776
148,GEN,ROYAPURAM,JAYAKUMAR.D,ADMK,44465,56.76,NARGUNAN.K,DMK,30753,39.26,13712,78335,156528,50.0453593
149,GEN,SAIDAPET,PERUMAL.V,DMK,62118,48.13,BASKARAN.C.R,PMK,58237,45.12,3881,129076,279266,46.21973316
150,GEN,SALEM-I,VENKATAJALAM SE.,ADMK,66365,60.01,ELANGOVAN M.A.,DMK,41234,37.29,25131,110590,173264,63.82745406
151,GEN,SALEM-II,KARTHE M.,PMK,62306,54.25,THANGAVEL. A.L.,DMK,47221,41.11,15085,114855,190192,60.38897535
152,SC,SAMAYANALLUR,PONNAMPALAM P.,ADMK,97060,52.67,KASTHURI SIVASAMY . S. TMT.,DMK,77136,41.86,19924,184277,354936,51.91837402
153,SC,SANKARANAYANARKOIL,KARUPPASAMY C.,ADMK,52000,43.51,P.DURAISAMY,PT,42738,35.76,9262,119500,185591,64.38889817
154,GEN,SANKARAPURAM,KASAMPU.P.,PMK,56971,45.12,UDHAYASURIYAN.T.,DMK,55953,44.31,1018,126271,196533,64.24926094
155,SC,SANKARI,DHANABAL.P,ADMK,70312,56.41,SARAVANAN.T.R,DMK,47360,38,22952,124639,209155,59.59169037
156,GEN,SATHYAMANGALAM,KANDASAMY K.R.,ADMK,54252,52.21,RAJENDRAN S.K.,DMK,20818,20.04,33434,103903,174264,59.62390396
157,GEN,SATTANGULAM,MANINADAR .S.S,TMC(M),38308,49.42,RAJAKKANNAN. A.N.,BJP,32542,41.98,5766,77521,171481,45.2067576
158,GEN,SATTUR,RAMACHANDRAN K.K.S.S.R,DMK,57953,42.91,RAJENDRAN A,INC,53538,39.64,4415,135045,215350,62.70954261
159,GEN,SEDAPATTI,DURAIRAJ C.,ADMK,45393,47.51,BAKTHAVATCHALAM P.V.,PT,26958,28.21,18435,95548,148582,64.30657819
160,ST,SENDAMANGALAM,KALAVATHI.K,ADMK,61312,55.64,CHINUMATHI CHANDRASEKARAN,DMK,43497,39.48,17815,110186,188776,58.36864856
161,GEN,SHOLAVANDAN,RAJANGAM .V.R.,ADMK,54392,51.59,MOORTHY .P.,DMK,34551,32.77,19841,105430,155871,67.6392658
162,GEN,SHOLINGHUR,VILVANATHAN. R,ADMK,62576,50.12,PONNURANGAM. A.M.,PNK,52781,42.28,9795,124842,175100,71.29754426
163,GEN,SINGANALLUR,KARUNAKARAN. K.C.,CPM,82773,49.57,PALANISAMY. N.,DMK,62772,37.59,20001,166992,293950,56.80966151
164,SC,SIRKALI,CHANDRAMOHAN.N,ADMK,52759,49.31,IRAI EZHIL.J.TMT.,DMK,48329,45.17,4430,106988,165329,64.71217996
165,GEN,SIVAGANGA,CHANDRAN.V,ADMK,51708,48.68,KIRUTTINAN PASUMPON THA,DMK,47435,44.65,4273,106230,183912,57.76132063
166,GEN,SIVAKASI,RAJAGOPAL A,TMC(M),65954,42.45,THANGARAJ V,DMK,60233,38.77,5721,155367,256918,60.47338061
167,SC,SRIPERUMBUDUR,YASODHA D,INC,70663,49.93,RAGHAVAN M,DMK,53470,37.78,17193,141515,222968,63.46874888
168,GEN,SRIRANGAM,BALASUBRAMANIAN.K.K,ADMK,72993,53.07,SOUNDARAPANDIAN.M,BJP,60317,43.86,12676,137531,237683,57.86320435
169,GEN,SRIVAIKUNTAM,SHUNMUGANATHAN.S.P,ADMK,39739,46.58,DAVID SELWYN.S,DMK,36853,43.19,2886,85321,161095,52.96315838
170,GEN,SRIVILLIPUTHUR,ENBATHAMILAN. R.T.,ADMK,53095,43.88,MOHANRAJULU,BJP,43921,36.3,9174,120994,199642,60.60548382
171,SC,TALAVASAL,ALAGAMMAL.V.,ADMK,67682,58.24,PANDIYARAJAN.M.,DMK,39825,34.27,27857,116206,191351,60.7292358
172,GEN,TAMBARAM,VAIDIALINGAM M.A.,DMK,150961,46.86,CHAKKARAIPANI REDDIAR THIRU .K.,TMC(M),145530,45.18,5431,322120,776058,41.50720694
173,GEN,TARAMANGALAM,KAMARAJ M.P.,PMK,67012,56.09,AMMASI.S,DMK,41554,34.78,25458,119468,195838,61.00348247
174,GEN,TENKASI,ANNAMALAI.K.,ADMK,62454,51.41,KARUPPASAMI PANDIAN.V.,DMK,53662,44.18,8792,121473,190762,63.6777765
175,GEN,THALLI,MURALI DHARAN.K.V.,BJP,36738,38.33,RAJA REDDY .S.,CPI,30521,31.84,6217,95853,168962,56.73050745
176,GEN,THANDARAMBATTU,VELU,DMK,63599,48.86,MANIVARMA.K.,TMC(M),58762,45.14,4837,130179,189344,68.7526407
