S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,SC,ACHARAPAKKAM,SELVARAJ.A,PMK,54114,53.69,MURUGESAN. T.DR.,DMK,38636,38.33,15478,100793,167541,60.16019959
2,GEN,ALANDUR,VALARMATHI B.,ADMK,94554,47.59,ERAAMA VEERAPPAN,MGRK,81958,41.25,12596,198701,423174,46.95491689
3,GEN,ALANGUDI,VENKADACHALAM.A.,ADMK,59631,42.67,SOOSAIRAJ .S.A.,DMK,42900,30.7,16731,139735,203850,68.54795193
4,GEN,ALANGULAM,RAJENDRAN .P.G.,ADMK,58498,48.95,ALADI ARUNA,DMK,54387,45.51,4111,119509,182877,65.34938784
5,GEN,AMBASAMUDRAM,SAKTHIVEL MURUGAN.M.,ADMK,43021,48.04,AVUDAIAPPAN.R,DMK,39001,43.55,4020,89554,154974,57.78646741
6,GEN,ANAICUT,PANDURANGAN.K,ADMK,61333,56.24,MALARVIZHI.G,DMK,40282,36.93,21051,109064,179523,60.75210419
7,SC,ANDHIYUR,KRISHNAN.R,PMK,53436,54.38,SELVARASU.P,DMK,35374,36,18062,98269,173432,56.66140043
8,GEN,ANDIMADAM,GURU ALIAS GURUNATHAN J.,PMK,66576,59.41,GNANAMOORTHY M.,DMK,39574,35.31,27002,112066,157834,71.00244561
9,GEN,ANDIPATTI,THANGA TAMIL SELVAN,ADMK,60817,53.78,AASIYAN.P,DMK,35808,31.67,25009,113080,191451,59.06472152
10,GEN,ANNA NAGAR,ARCOT VEERASWAMI .N,DMK,77353,48.2,ARUMUGAM.C,PMK,71775,44.73,5578,160469,376745,42.59353143
11,GEN,ARANTANGI,ARASAN P.,MADMK,58499,45.99,CHANDRASEKARAN. A,INC,38481,30.25,20018,127204,221413,57.45100785
12,GEN,ARAVAKURICHI,LIYAUDEEN SAIT E.A,ADMK,51535,48.03,LAKSHMI DURAISAMY TMT.,DMK,33209,30.95,18326,107301,176820,60.68374618
13,GEN,ARCOT,NEELAKANDAN P,ADMK,61474,55.39,SUNDARAMOORTHY A.K.,DMK,43767,39.44,17707,110974,160346,69.20908535
14,GEN,ARIYALUR,ELAVAZHAGAN. P.,ADMK,52676,41.03,KATHIRAVAN. T.A.,DMK,42297,32.95,10379,128384,182450,70.3666758
15,SC,ARKONAM,BHAVANI KARUNAKARAN .K,ADMK,67034,55.09,RAVISHANKAR R.,DMK,46778,38.44,20256,121690,191523,63.5380607
16,GEN,ARNI,RAMACHANDRAN.K.,ADMK,66371,50.98,SHANMUGAM A.C.,PNK,52889,40.62,13482,130201,188770,68.97335382
17,GEN,ARUPPUKOTTAI,SIVASAMY K.K.,ADMK,49307,46.07,THANGAM THENNARASU,DMK,43155,40.32,6152,107026,171719,62.32624229
18,GEN,ATHOOR,NATARAJAAN. P.K.T.,ADMK,64053,49.13,PERIASAMY. I,DMK,60447,46.36,3606,130384,212758,61.28277198
19,GEN,ATTUR,MURUGESAN.A.K.,ADMK,64936,57.85,KARUNANIDHI .MU.RA.,DMK,40191,35.81,24745,112244,171024,65.63055478
20,SC,AVANASHI,MAHALINGAM.S.,ADMK,59571,48.2,M.MOHANKUMAR,IND,38559,31.2,21012,123579,187295,65.98093916
21,GEN,BARGUR,THAMBIDURAI.M,ADMK,82039,66.31,SUGAVANAM.E.G,DMK,32733,26.46,49306,123716,196078,63.09529881
22,GEN,BHAVANI,KARUPPANNAN. K.C.,ADMK,64405,58.2,SUDHANANDHEN.J.,PNK,31546,28.5,32859,110671,182155,60.75649859
23,GEN,BHAVANISAGAR,CHITHAMBARAM. P.,ADMK,53879,47.67,SUBRAMANIAM. O.,DMK,43604,38.58,10275,113036,180170,62.73852473
24,GEN,BHUVANAGIRI,ARUL .P.S,IND,49753,44.85,GOPALAKRISHANAN.M,MTD,45989,41.46,3764,110930,173785,63.83174612
25,GEN,BODINAYAKKANUR,RAMARAJ.S,ADMK,53410,49.94,SUDALAIMUTHU.A,DMK,42132,39.39,11278,106957,181022,59.08508358
26,GEN,CHENGALPATTU,ARUMUGAM K,PMK,52465,43.5,VISWANATHAN V,DMK,47316,39.23,5149,120607,204010,59.11818048
27,SC,CHENGAM,POLUR VARADHAN,INC,54145,48.43,SHAMALA.R,MTD,41868,37.45,12277,111797,173711,64.35804296
28,GEN,CHEPAUK,KARUNANIDHI M,DMK,29836,51.91,DAMODHARAN R,INC,25002,43.5,4834,57477,128399,44.76436732
29,GEN,CHERANMAHADEVI,PAUL MANOJ PANDIAN.P.H.,ADMK,49873,53.51,CHOCKALINGAM.N.,BJP,38898,41.74,10975,93200,154502,60.32284372
30,GEN,CHEYYAR,ULAGARAKSHAGAN. P.S,PMK,62615,50.9,RAJARAJAN. R.K.P,DMK,50530,41.07,12085,123026,171299,71.8194502
31,GEN,CHIDAMBARAM,SARAVANAN DURAI K.,DMK,54647,52.7,T.ARIVUSELVAN,PMK,42732,41.21,11915,103702,167006,62.09477504
32,GEN,CHINNASALEM,MOHAN .P,ADMK,60554,51.35,MOOKKAPPAN. .R,DMK,51442,43.63,9112,117916,183679,64.19677807
33,GEN,COIMBATORE EAST,LAKSHMANAN V.K.,TMC(M),41419,50.08,NANJAPPAN N.R.,BJP,38208,46.19,3211,82711,159063,51.99889352
34,GEN,COIMBATORE WEST,MAHESWARI.S.,INC,40372,51.44,DHANDAPANI. C.T.,DMK,30281,38.58,10091,78485,140963,55.67773104
35,GEN,COLACHEL,PACHAMAL T.,ADMK,42354,46.23,R. SAMBATH CHANDRA,MDMK,27265,29.76,15089,91623,183117,50.03522338
36,SC,COONOOR,KANDASAMY K,TMC(M),53156,55.86,MAHALIAPPAN E.M.,DMK,36512,38.37,16644,95155,179568,52.99106745
37,GEN,CUDDALORE,PUGAZHENDI .E,DMK,54671,45.61,VENKATESAN .P.R.S.,TMC(M),54637,45.58,34,119862,212016,56.5344125
38,GEN,CUMBUM,RAMACHANDRAN O.R,TMC(M),56823,50.73,KRISHNAKUMAR N.K.R,BJP,52437,46.82,4386,112001,182109,61.50217727
39,SC,DHARAPURAM,SIVAKAMI. V.,PMK,56835,50.49,SARESWATHI. R,DMK,34683,30.81,22152,112564,185498,60.68205587
40,GEN,DHARMAPURI,PARY MOHAN .K,PMK,56147,46.65,MANOHARAN.K,DMK,45173,37.54,10974,120346,225468,53.37608885
41,GEN,DINDIGUL,NAGALAKSHIMI .K.,CPM,71003,47.37,BASHEER AHMED . M.,DMK,68224,45.52,2779,149877,279805,53.56480406
42,GEN,DR. RADHAKRISHNAN NAGAR,SEKAR BABU.P.K,ADMK,74888,58.43,SARGUNA PANDIAN.S.P,DMK,47556,37.1,27332,128175,272666,47.00806114
43,GEN,EDAPADI,GANESAN. I,PMK,74375,55.4,KANDASAMY.A.,DMK,43564,32.45,30811,134243,216474,62.01345196
44,SC,EGMORE,PARITHI.ELLAMVAZHUTHI,DMK,33189,47.69,B.JOHN PANDIAN,ADMK,33103,47.57,86,69590,155310,44.80715987
45,GEN,ERODE,THENNARASU K.S.,ADMK,95450,52.4,PERIYASAMY N.K.K.,DMK,71010,38.98,24440,182154,321070,56.73342262
46,GEN,GINGEE,ELUMALAI. V,ADMK,58564,51.33,RAJENDRAN ALIAS DHEERAN. A.,DMK,29478,25.84,29086,114094,181823,62.75003712
47,GEN,GOBICHETTIPALAYAM,RAMANEEDHARAN. S.S.,ADMK,60826,57.05,SHANMUGASUNDRAM.V.P,DMK,31881,29.9,28945,106612,165548,64.3994491
48,GEN,GUDALUR,A. MILLER,ADMK,78809,57.43,PANDIARAJ M.,DMK,46116,33.61,32693,137215,229078,59.89881176
49,GEN,GUDIYATHAM,SURYAKALA C.M.,ADMK,61128,57.05,DURAISAMY .S,DMK,36804,34.35,24324,107152,164937,64.96541104
50,GEN,GUMMIDIPUNDI,SUDARSANAM.K.,ADMK,73467,56.07,VENU. K.,DMK,48509,37.02,24958,131019,209468,62.54845609
51,GEN,HARBOUR,ANBAZHAGAN.K,DMK,24225,46.98,PANDIAN.D,CPI,23889,46.33,336,51563,129157,39.9227297
52,SC,HARUR,KRISHNAMOORTHY V,CPI,70433,53.04,PERIYASAMY D,DMK,36954,27.83,33479,132781,225920,58.77345963
53,GEN,HOSUR,GOPINATH .K,INC,45865,35.24,VENKATASAMY B,BJP,39376,30.25,6489,130163,235967,55.16152682
54,GEN,ILAYANGUDI,NADARAJAN. V.D.,ADMK,45342,47.86,KANNAPPAN. S,MTD,40660,42.92,4682,94743,152529,62.11474539
