S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
46,GEN,Polur,K. J. Subramanian,AIADMK,24631,37.82,S. Murugaiyan,DMK,21902,33.63,2729,107103,66649,62.20%
47,GEN,Anaicut,R. Margabandhu,AIADMK,32731,48.78,P. M. Vasudeva Reddiar,JP,14146,21.08,18585,110756,68272,61.60%
48,GEN,Vellore,A. K. Ranganathan,AIADMK,26590,30.47,A. K. Lalalajapathy,JP,25758,29.52,832,130154,88017,67.60%
49,GEN,Arni,V. Arjunan,AIADMK,33925,41.47,E. Selvarasu,DMK,24703,30.2,9222,111994,83198,74.30%
50,GEN,Cheyyar,Pulavar Govindan,DMK,33338,43.34,K. Shanmughasundaram,AIADMK,21419,27.84,11919,109131,78148,71.60%
51,SC,Vandavasi (SC),P. Munuswamy,AIADMK,28306,41.11,C. Kanniappan,DMK,26476,38.45,1830,119981,69852,58.20%
52,GEN,Peranamallur,P. Chandran,AIADMK,27860,40.47,P. Ettappan,DMK,19822,28.79,8038,117644,69817,59.30%
53,GEN,Melmalayanur,P. Thangavelu Gounder,AIADMK,27673,38.93,S. Vijayaraghavan,DMK,14110,19.85,13563,112185,72340,64.50%
54,GEN,Gingee,Gingee N. Ramachandran,DMK,26971,36.13,G. Krishnaswamy,AIADMK,23381,31.32,3590,114821,75918,66.10%
55,GEN,Tindivanam,T. R. Erajaram Reddy,INC,18990,29.55,R. Radhakrishnan,JP,17150,26.69,1840,101610,65134,64.10%
56,SC,Vanur (SC),M. Paramasivam,DMK,21557,34.32,A. Boopalan,AIADMK,19584,31.18,1973,110777,63965,57.70%
57,SC,Kandamangalam (SC),M. Kannan,AIADMK,25403,38.71,S. Alagavelu,DMK,23349,35.58,2054,115036,66846,58.10%
58,GEN,Villupuram,P. Krishnan,AIADMK,27882,37.69,K. P. Palaniappan,DMK,25183,34.04,2699,117651,75029,63.80%
59,GEN,Mugaiyur,G. Rangothaman,AIADMK,31531,45.74,M. Shanmugam,DMK,18248,26.47,13283,108393,70314,64.90%
60,GEN,Tirunavalur,L. Arumugam,AIADMK,24087,34.96,V. Subramanaian,DMK,19132,27.77,4955,101702,70451,69.30%
61,SC,Ulundurpet (SC),V. Thulukkanam,DMK,26788,37.7,Sathyavani Muthu,AIADMK,19211,27.04,7577,125137,72768,58.20%
62,GEN,Nellikkuppam,C. Govindarajan,CPI(M),23077,32.75,V. Krishnamoorthy,DMK,18260,25.91,4817,106084,71711,67.60%
63,GEN,Cuddalore,K. Abdul Latheef,AIADMK,24107,31.61,R. Govindarajan,DMK,22280,29.21,1827,126391,77455,61.30%
64,GEN,Panruti,S. Ramachandaran,AIADMK,43330,59.24,K. Nandagopala Krishnan,JP,27673,37.83,15657,100977,74255,73.50%
65,GEN,Kurinjipadi,M. Selvaraj,DMK,19523,28.75,S. Natarajan,CPI(M),16997,25.03,2526,111845,69278,61.90%
66,GEN,Bhuvanagiri,V. Raghuraman,DMK,21638,28.33,T. M. D. Mahalingam,JP,17350,22.72,4288,114210,77698,68.00%
67,SC,Kattumannarkoil (SC),E. Ramalingam,DMK,26038,37.54,R. Rajan,AIADMK,19991,28.82,6047,104851,70200,67.00%
68,GEN,Chidambaram,Durai Kaliyamoorthy,DMK,22917,31.3,Muthu Govindarajan,AIADMK,19586,26.75,3331,109561,74156,67.70%
69,GEN,Virudhachalam,C. Ramanathan,AIADMK,30178,39.59,K. Ramalingam,DMK,18071,23.71,12107,124327,77427,62.30%
70,SC,Mangalur,M. Periyasamy,AIADMK,30616,40.32,V. Ponnuswamy,DMK,17361,22.86,13255,125283,77212,61.60%
71,GEN,Rishivandiyam,M. Sundaram,INC,25530,38.42,M. Deivigam,AIADMK,21478,32.32,4052,101448,68308,67.30%
72,GEN,Chinnasalem,M. Subdramaniam,AIADMK,24304,35.57,S. P. Pachayappan,DMK,21081,30.86,3223,111367,69581,62.50%
73,GEN,Sankarapuram,Durai Muthusamy,INC,21593,31.45,M. Mohammad Haneed,AIADMK,18885,27.5,2708,106711,70017,65.60%
74,GEN,Hosur,N. Ramachandra Reddy,INC,30818,58.12,K. S. Kothandaramiah,JP,13653,25.75,17615,92284,54411,59.00%
75,GEN,Thalli,D. R. Rajaram Naidu,INC,18559,30.53,B. venkataswamy,JP,13388,22.02,5171,99012,62100,62.70%
76,GEN,Kaveripattinam,K. Samarasam,AIADMK,25770,39.97,E. Pattabi Naidu,JP,19312,29.95,6458,100732,65622,65.10%
77,GEN,Krishnagiri,K. R. Chinnarassu,AIADMK,17178,32.66,T. M. Thiruppathy,JP,12466,23.7,4712,93875,54146,57.70%
78,GEN,Bargur,H. G. Arumugam,AIADMK,28812,48.94,V. C. Thimmarayan,DMK,15420,26.19,13392,98061,59862,61.00%
79,SC,Harur (SC),M. Annamalai,CPI(M),20042,34.69,K. Surattaiyan,JP,12470,21.59,7572,112102,58432,52.10%
80,GEN,Morappur,N. Kuppusamy,AIADMK,22886,34.42,R. P. Murugan,DMK,21270,31.99,1616,95843,67225,70.10%
81,GEN,Palacode,B. M. Krishnan,AIADMK,21959,32.87,K. T. Govindan,JP,17701,26.5,4258,102568,67865,66.20%
82,GEN,Dharmapuri,P. K. C. Muthusamy,JP,26742,42.3,D. S. Shanmugam,AIADMK,21556,34.1,5186,102768,64098,62.40%
83,GEN,Pennagaram,K. Appunu Gounder,JP,17591,32.13,Krishnan,AIADMK,16932,30.92,659,100327,55524,55.30%
84,GEN,Mettur,K. P. Nachimuthu Gounder,AIADMK,30762,43.67,P. Natesan,INC,13976,19.84,16786,123548,71403,57.80%
85,GEN,Taramangalam,R. Narayanan,INC,23882,34.59,S. Semmalai,AIADMK,23863,34.56,19,113229,70477,62.20%
86,GEN,Omalur,M. Sivaperumal,AIADMK,26342,42.69,M. Govindan,JP,13824,22.41,12518,102047,62697,61.40%
87,ST,Yercaud (ST),R. Kaliyappan,AIADMK,20219,42.29,V. Chinnaswamy,DMK,13444,28.12,6775,91099,48615,53.40%
88,GEN,Salem – I,S. V. Varadarajan,AIADMK,34708,38.21,S. S. Mahadeva Mudaliar,JP,26046,28.67,8662,146078,91423,62.60%
89,GEN,Salem – II,M. Arumugam,JP,22636,31.41,K. A. Thangavelu,DMK,20523,28.48,2113,137557,72774,52.90%
90,GEN,Veerapandi,P. Venga Gounder,AIADMK,31920,44.87,M. Muthuswamy,DMK,18144,25.5,13776,117964,72163,61.20%
91,GEN,Panamarathupatti,N. Subbarayan,AIADMK,27676,45.04,S. C. Kanjamalai,DMK,14478,23.56,13198,105129,62325,59.30%
92,GEN,Attur,C. Palanimuthu,INC,19040,29.8,P. Kandasamy,AIADMK,18693,29.25,347,110029,64930,59.00%
93,SC,Talavasal (SC),S. M. Raju,AIADMK,24681,36.33,K. Kaliyaperumal,INC,19004,27.97,5677,133495,69261,51.90%
94,GEN,Rasipuram,P. Duraisamy,AIADMK,33762,43.61,K. C. Periasamy,DMK,19374,25.02,14388,126007,78261,62.10%
95,ST,Senthamangalam,V. Chinnasamy,AIADMK,28731,45.1,Vadama Gounder,INC,13881,21.79,14850,126719,64802,51.10%
96,SC,Namakkal (SC),R. Arunachalam,AIADMK,31952,40.59,K. Veluchamy,DMK,17215,21.87,14737,129817,79770,61.40%
97,GEN,Kapilamalai,K. Sengodan,AIADMK,30194,36.54,S. Paramasivam,JP,18798,22.75,11396,126322,83621,66.20%
98,GEN,Tiruchengode,C. Ponnaiyan,AIADMK,44501,46.11,V. Kumaraswamy,JP,17764,18.41,26737,164330,98030,59.70%
99,SC,Sankari (SC),P. Dhanapal,AIADMK,32780,53.27,M. Paramanandam,DMK,11751,19.1,21029,142856,62686,43.90%
100,GEN,Edappadi,I. Ganesan,AIADMK,31063,38.56,T. Natarajan,INC,24256,30.11,6807,134924,81729,60.60%
101,GEN,Mettupalayam,S. Palanisamy,AIADMK,26029,32.37,T. T. S. Thippaiah,JP,20717,25.76,5312,135224,81757,60.50%
102,SC,Avanashi (SC),S. N. Palaniswamy,INC,22550,32.26,R. Annanambi,AIADMK,20803,29.76,1747,122608,71384,58.20%
103,GEN,Thondamuthur,K. Maruthachalam,AIADMK,31690,33.29,R. Manickavachagam,DMK,24195,25.41,7495,164344,96645,58.80%
104,GEN,Singanallur,R. Venkedusamy alias Venkedu,CPI(M),25820,27.96,R. Senkaliappan,JP,24024,26.02,1796,134190,93552,69.70%
105,GEN,Coimbatore (West),C. Aranganayagam,AIADMK,27742,36.8,B. S. Mohammad Ali,DMK,20393,27.05,7349,124577,76119,61.10%
106,GEN,Coimbatore (East),K. Ramani,CPI(M),20803,30.54,K. Aranganathan,DMK,18784,27.58,2019,121664,68770,56.50%
107,GEN,Perur,A. Natarajan,DMK,29158,33.74,M. Nanjappan,CPI(M),26328,30.46,2830,137887,87630,63.60%
108,GEN,Kinathukadavu,K. V. Kandasamy,AIADMK,25909,36.32,M. Kannappan,DMK,20589,28.86,5320,109290,72972,66.80%
109,GEN,Pollachi,O. P. Somasundaram,AIADMK,34896,45.11,S. Raju,DMK,17952,23.2,16944,127400,78721,61.80%
110,SC,Valparai (SC),R. S. Thangavelu,AIADMK,20926,34.18,A. T. Karuppiah,CPI,16241,26.53,4685,107590,62160,57.80%
111,GEN,Udumalaipettai,P. Kolandaivelu,AIADMK,28737,34.3,U. K. P. Natarajan,JP,24619,29.39,4118,122735,85157,69.40%
112,SC,Dharapuram (SC),R. Ayyachamy,AIADMK,18884,31.67,A. K. Shivalingam,INC,16202,27.17,2682,119032,60840,51.10%
113,GEN,Vellakoil,D. Ramaswamy,INC,30996,37.69,M. Palanisamy,DMK,20676,25.14,10320,126181,83308,66.00%
114,GEN,Pongalur,K. Nachimuthu,AIADMK,20324,32.56,S. R. Balasubramaniam,INC,18769,30.07,1555,105180,63930,60.80%
115,GEN,Palladam,P. G. Kittu,AIADMK,27172,33.11,K. N. Kumarasamy,INC,20175,24.58,6997,125740,83411,66.30%
116,GEN,Tiruppur,R. Manimaran,AIADMK,38984,41.13,A. Ganapathy,CPI,24569,25.92,14415,140401,95743,68.20%
117,GEN,Kangayam,R. K. S. Dhanapandi,AIADMK,31665,42.09,M. Sivasabapathy,DMK,18498,24.59,13167,125068,76343,61.00%
118,GEN,Modakkurichi,Subbulakshmi,AIADMK,38072,44.75,A. Ganeshamurthy,DMK,15200,17.86,22872,134149,86359,64.40%
119,GEN,Perundurai,A. Ponnusamy,AIADMK,30574,39.91,N. K. Palanisamy,CPI,24532,32.02,6042,127223,77660,61.00%
120,GEN,Erode,S. Muthusamy,AIADMK,37968,43.09,M. Subramanian,DMK,20389,23.14,17579,152823,89078,58.30%
121,GEN,Bhavani,M. R. Soundarrajan,AIADMK,22989,31.41,G. Gurumoorthy,JP,19013,25.98,3976,111262,74210,66.70%
122,SC,Anthiyur (SC),P. Guruswamy,AIADMK,23950,42.46,A. Palani,JP,11423,20.25,12527,101515,57454,56.60%
123,GEN,Gobichettipalayam,N. K. K. Ramasamy,AIADMK,25660,34.99,N. R. Thiruvenkadam,INC,19248,26.25,6412,115661,74317,64.30%
124,GEN,Bhavanisagar,V. K. Chinnaswamy,AIADMK,23078,32.48,Sampoornam Swaminathan,DMK,21631,30.44,1447,116879,72269,61.80%
125,GEN,Sathyamangalam,K. A. Sengottaian,AIADMK,21145,35.81,C. R. Rajappa,INC,19639,33.26,1506,105350,60149,57.10%
126,SC,Coonoor (SC),K. Rangasamy,DMK,22649,42.33,C. Periasamy,AIADMK,13150,24.58,9499,105169,54344,51.70%
127,GEN,Ootacamund,B. Gopalan,AIADMK,18134,28.94,K. Karuppasamy,DMK,18005,28.74,129,104067,63431,61.00%
128,GEN,Gudalur,K. Hutchi Gowder,DMK,15323,26.29,C. I. Allapitchai,Independent,14963,25.68,360,93409,59346,63.50%
129,SC,Palani (SC),N. Palanivel,CPI(M),23810,34.53,S. R. P. Mani,INC,19966,28.96,3844,125061,69939,55.90%
130,GEN,Oddanchatram,A. P. Palaniappan,INC,27000,37.09,K. Kuppuswamy,AIADMK,22419,30.79,4581,123168,73850,60.00%
131,GEN,Periyakulam,K. Pannai Sethuram,AIADMK,31271,45.5,R. Ramaiah,INC,16948,24.66,14323,113238,69649,61.50%
132,GEN,Theni,V. R. Jayaraman,AIADMK,35152,45.71,S. Veluchamy,DMK,18579,24.16,16573,119801,77761,64.90%
133,GEN,Bodinayakkanur,P. Ramadass,AIADMK,29022,41.12,K. S. M. Ramachandran,INC,20030,28.38,8992,121366,71325,58.80%
134,GEN,Cumbum,R. Chandrasekharan,AIADMK,34902,41.5,N. Natarajan,DMK,34080,40.52,822,125579,85080,67.80%
135,GEN,Andipatti,K. Kandasamy,AIADMK,24311,34.41,N. V. Gurusamy,JP,16269,23.03,8042,115363,71743,62.20%
136,GEN,Sedapatti,R. Muthiah,AIADMK,28040,43.52,A. R. P. Alagarsamy,INC,17018,26.41,11022,111328,65408,58.80%
137,GEN,Thirumangalam,P. T. Saraswathy,AIADMK,29493,44.3,N. S. V. Chithan,INC,27720,41.63,1773,110967,67253,60.60%
138,GEN,Usilampatti,P. K. Mookiah Thevar,AIFB,35361,61.95,N. S. Ponniah,INC,11422,20.01,23939,111961,57625,51.50%
139,SC,Nilakottai (SC),A. Baluchamy,AIADMK,28296,51.19,M. Muthuperiasamy,INC,9799,17.73,18497,113541,56044,49.40%
140,GEN,Sholavandan,V. Balaguruva Reddiar,AIADMK,29968,40.02,A. Chandrasekaran,INC,23455,31.32,6513,107271,75732,70.60%
141,GEN,Thiruparankundram,K. Kalimuthu,AIADMK,33850,41.39,V. Palani Andi Ambalam,INC,15760,19.27,18090,139240,82533,59.30%
142,GEN,Madurai West,T. P. M. Periyaswamy,AIADMK,32342,43.06,Pon. Muthuramalingam,DMK,16211,21.59,16131,140580,75808,53.90%
143,GEN,Madurai Central,N. Lakshminarayanan,AIADMK,29399,39.9,A. Rathinam,INC,16420,22.28,12979,137125,74334,54.20%
144,GEN,Madurai East,N. Sankaraiah,CPI(M),24263,33.45,A. G. Subbraman,INC,22278,30.71,1985,123951,73183,59.00%
145,SC,Samayanallur (SC),S. Selvaraj,AIADMK,34019,44.5,C. Karuthanan,INC,19658,25.71,14361,130768,77501,59.30%
146,GEN,Melur,A. M. Paramasivan,AIADMK,33111,36.07,K. V. Veeranambalam,INC,32955,35.9,156,130502,92858,71.20%
147,GEN,Natham,M. Andi Ambalam,INC,29055,44.97,R. Murugan,AIADMK,21093,32.65,7962,113284,65500,57.80%
148,GEN,Dindigul,N. Varadharajan,CPI(M),33614,45.19,V. S. Lakshmanan,DMK,13732,18.46,19882,141172,75085,53.20%
149,GEN,Athoor,A. Vellaisamy,AIADMK,31590,45.4,A. M. T. Nachiappan,DMK,13938,20.03,17652,143340,70418,49.10%
150,GEN,Vedasandur,S. M. Vasan,AIADMK,26995,37.21,S. Nanjunda Rao,INC,25141,34.66,1854,146304,73371,50.10%
151,GEN,Aravakurichi,S. Sadasivam,INC,32581,39.51,P. Ramasamy,DMK,21547,26.13,11034,133806,83571,62.50%
152,GEN,Karur,K. Vadivel,AIADMK,33856,35.11,S. Nallasamy,DMK,22264,23.09,11592,145681,97345,66.80%
