S.no,Type,Constituency,Winner,Winner Party,Winner Votes,Winner %,Runner,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
191,GEN,Pudukkottai,Rajkumar Vijaya Raghunatha Thondaiman,INC,36406,42.74,C. Anbarasan,AIADMK,19352,22.72,17054,125055,86061,68.80%
192,GEN,Alangudi,T. Pushparaju,INC,37634,38.94,P. Thirumaran,AIADMK,27059,28,10575,123846,97613,78.80%
193,GEN,Arantangi,S. Thirunavukkarasu,AIADMK,35468,37.45,P. Appukutty,CPI,24528,25.9,10940,125574,95833,76.30%
194,GEN,Tiruppattur,S. Shanmugham Koothagudi,CPI,21579,27.45,C. T. Raja Chidambaram,AIADMK,21238,27.02,341,118036,79737,67.60%
195,GEN,Karaikudi,P. Kaliyappan,AIADMK,27403,32.03,P. Chidambaram,INC,27163,31.75,240,130184,86657,66.60%
196,GEN,Tiruvadanai,KR. RM. Kariya Manickam Ambalam,INC,32386,36.75,S. Anguchamy,AIADMK,28650,32.51,3736,131813,89100,67.60%
197,GEN,Ilaiyangudi,R. Sivasamy,CPI,17677,24.22,V. Malaikannan,DMK,16887,23.14,790,105262,73987,70.30%
198,GEN,Sivaganga,O. Subramanian,INC,23495,30.59,K. R. Muruganandam,AIADMK,21066,27.43,2429,118391,78004,65.90%
199,SC,Manamadurai (SC),V. M. Subramanian,AIADMK,28849,40.23,K. Paramalai,INC,26794,37.36,2055,116220,72587,62.50%
200,SC,Paramakudi (SC),K. Ugrapandian,AIADMK,27303,36.31,K. Krishnan,INC,23357,31.06,3946,120599,76096,63.10%
201,GEN,Ramanathapuram,T. Ramasamy,AIADMK,33048,46.86,S. K. Ganesan,JP,15520,22.01,17528,109710,71673,65.30%
202,GEN,Kadaladi,R. C. Subramanian,AIADMK,25690,36.56,A. Piravanathan,DMK,12299,17.5,13391,125625,71233,56.70%
203,GEN,Mudukulathur,S. Balakrishnan,INC,17709,24.13,V. Munisamy,Independent,14844,20.23,2865,124054,74381,60.00%
204,GEN,Aruppukottai,M. G. Ramachandran,AIADMK,43065,56.23,M. Muthuvel Servai,JP,13687,17.87,29378,112763,77701,68.90%
205,GEN,Sattur,K. K. S. S. R. Ramachandran,AIADMK,38772,43.24,M. Veerasamy,INC,21830,24.35,16942,128786,90653,70.40%
206,GEN,Virudhunagar,M. Sundararajan,AIADMK,33077,44.52,A. S. A. Arumugam,JP,22820,30.71,10257,124439,75201,60.40%
207,GEN,Sivakasi,K. Ramasamy,JP,24518,31.11,Dharmar,INC,22746,28.87,1772,123965,79760,64.30%
208,GEN,Srivilliputhur,R. Tamaraikani,AIADMK,25990,31.91,V. Vaikundam,DMK,18974,23.3,7016,122386,82454,67.40%
209,SC,Rajapalayam (SC),K. Dhanuskodi,AIADMK,28028,37.55,K. Pottu Poattan,INC,24181,32.39,3847,126020,75384,59.80%
210,GEN,Vilathikulam,R. K. Perumal,AIADMK,25384,38.39,K. Subba Reddiar,INC,22001,33.27,3383,114745,67060,58.40%
211,SC,Ottapidaram (SC),O. S. Veluchami,INC,22629,41.51,O. Thangaraj,AIADMK,16801,30.82,5828,105342,55355,52.50%
212,GEN,Kovilpatti,S. Alagarsamy,CPI,21985,32.75,P. Seeniraj,AIADMK,21588,32.15,397,107794,67973,63.10%
213,SC,Sankarankoil (SC),S. Subbiah,DMK,13778,20.52,C. Ayyadorai,AIADMK,21232,33.72,337,121097,63902,52.80%
214,SC,Vasudevanallur (SC),R. Krishnan,CPI(M),20092,33.25,I. muthuraj,CPI,16048,26.56,4044,121099,61509,50.80%
215,GEN,Kadayanallur,M. M. A. Razak,AIADMK,29347,38.78,S. K. T. Ramachandran,INC,23686,31.3,5661,108473,76660,70.70%
216,GEN,Tenkasi,S. Muthusamy Karayalar,INC,30273,41.36,J. Abdul Jabbar,Independent,18489,25.26,11784,102800,74171,72.20%
217,GEN,Alangulam,V. Karuppasamy Pandian,AIADMK,20183,28.43,R. Navaneethakrishnapandian,JP,18342,25.84,1841,114602,72074,62.90%
218,GEN,Tirunelveli,G. R. Edmund,AIADMK,26419,38.5,Krishnan alias Nellai Kannan,INC,19125,27.87,7294,116395,69248,59.50%
219,GEN,Palayamkottai,K. Manoharan,AIADMK,29146,44.1,N. Shanmugan,Independent,15192,22.99,13954,110603,66763,60.40%
220,GEN,Cheranmadevi,P. H. Pandian,AIADMK,24256,35.34,V. Ratnasabapathi,INC,21964,32,2292,102377,69360,67.70%
221,GEN,Ambasamudram,Easwaramurthy alias Sornam,CPI(M),23356,35.33,R. Nallakannu,CPI,21569,32.63,1787,99927,66953,67.00%
222,GEN,Nanguneri,M. John Vincent,JP,18668,27.71,D. Veliah,AIADMK,18464,27.41,204,120256,67988,56.50%
223,GEN,Radhapuram,Y. S. M. Yusuf,AIADMK,26404,38.68,P. Paul Pandian,JP,22810,33.41,3594,119868,69147,57.70%
224,GEN,Sathankulam,R. Jebamani,JP,18362,27.36,S. P. Adithanar,Independent,17507,26.09,855,136771,68009,49.70%
225,GEN,Tiruchendur,R. Amirtharaj,AIADMK,20871,29.13,Subramanya Adithan,JP,19736,27.55,1135,139451,72302,51.80%
226,GEN,Srivaikuntam,K. Sathu Selvaraj,AIADMK,20459,31.29,S. Muthu,DMK,16919,25.87,3540,112893,66189,58.60%
227,GEN,Thoothukudi,N. Dhanasekaran,AIADMK,23598,29.29,R. Naoroji,INC,22379,27.78,1219,124642,81195,65.10%
228,GEN,Kanyakumari,C. Krishnan,AIADMK,23222,33.32,T. C. Subramaniya Pillai,INC,16010,22.97,7212,104698,70082,66.90%
229,GEN,Nagercoil,M. Vincent,AIADMK,26973,36.45,P. Mohammad Ismail,JP,26780,36.19,193,132870,74404,56.00%
230,GEN,Colachel,R. Athiswami,JP,21131,30.4,S. Retnaraj,DMK,19949,28.7,1182,111755,69948,62.60%
231,GEN,Padmanabhapuram,A. Swamidhas,JP,22910,47.81,N. V. Kanniyappan,AIADMK,14757,30.8,8153,97615,48222,49.40%
232,GEN,Thiruvattar,J. James,JP,27812,48.82,J. Hemachandran,CPI(M),26192,45.98,1620,96167,57300,59.60%
233,GEN,Vilavancode,D. Gnanasigamony,CPI(M),32628,48.85,S. Sathiadas,JP,30695,45.96,1933,117831,67279,57.10%
234,,Killiyur,Pon. Vijayaraghavan,JP,34237,79.2,K. Thankaraj,INC,8309,19.22,25928,95659,43455,45.40%
