S.no,Consisteuncy,Type,Winning ,Party,Winner Votes,Runner,Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
61,Chalakudi,GEN,K. J. George,JNP,33492,,KC,28789,4703,86881,65128,75.00%
62,Mala,GEN,K. Karunakaran,INC,35138,,CPI,31728,3410,91159,69419,76.20%
63,Irinjalakuda,GEN,Lonappan Nambadan,IND,36164,,IND,29398,6766,94194,69075,73.30%
64,Manalur,GEN,V. M. Sudheeran,IND,31889,,CPI(M),29351,2538,84472,63583,75.30%
65,Guruvayoor,GEN,P. K. K. Bava,IUML,31106,,IND,20743,10363,90275,61230,67.80%
66,Nattika,GEN,Sidharthan Kattungal,IND,28704,,CPI,28223,481,86897,61368,70.60%
67,Kodungallur,GEN,V. K. Raja,CPI,36404,,IND,32970,3434,92918,70593,76.00%
68,Ankamali,GEN,M. V. Mani,KC,40056,,CPI(M),37679,2377,98020,82653,84.30%
69,Vadakkekara,GEN,T. K. Abdu,CPI(M),33108,,IND,31024,2084,88443,68822,77.80%
70,Parur,GEN,Sivan Pillai,CPI,30450,,IND,30327,123,80431,63486,78.90%
71,Narakal,SC,P. K. Velayudhan,IND,36604,,CPI(M),32621,3983,87418,70777,81.00%
72,Ernakulam,GEN,A. L. Jacob,INC,38051,,ICS,30869,7182,103949,72461,69.70%
73,Mattancherry,GEN,K. M. Hamsa,IUML,25589,,AIML,24031,1558,83670,54953,65.70%
74,Palluruthy,GEN,T. P. Peethambaran Master,ICS,37369,,KC,37353,16,99682,77800,78.00%
75,Thrippunithura,GEN,K. G. R. Kartha,IND,39151,,CPI(M),38390,761,101860,79124,77.70%
76,Alwaye,GEN,K. Mohammedali,IND,40336,,CPI(M),36969,3367,109756,83485,76.10%
77,Perumbavoor,GEN,P. P. Thankachan,INC,40131,,CPI(M),33879,6252,94777,78454,82.80%
78,Kunnathunad,GEN,T. H. Mustaffa,INC,39155,,CPI(M),33700,5455,92542,76824,83.00%
79,Piravom,GEN,Benny Behanan,IND,35451,,JNP,33655,1796,93374,70550,75.60%
80,Muvattupuzha,GEN,Joseph Varkey,KC,36389,,IND,33332,3057,94613,71921,76.00%
81,Kothamangalam,GEN,T. M. Jacob,KC,39529,,CPI(M),35467,4062,95255,77283,81.10%
82,Thodupuzha,GEN,P. J. Joseph,KC,41020,,RSP,25282,15738,100447,71333,71.00%
83,Devicolam,SC,G. Varadan,CPI(M),31365,,KC,31219,146,97318,64591,66.40%
84,Idukki,GEN,Jose Kuttiyani,INC,31472,,ICS,27104,4368,99291,60804,61.20%
85,Udumbanchola,GEN,M. Jinadevan,CPI(M),34964,,KC,33771,1193,118416,69931,59.10%
86,Peermade,GEN,K.K. Thomas,IND,35065,,CPI,26036,9029,90672,62149,68.50%
87,Kanjirappally,GEN,Thomas Killampally,KC,35840,,CPI(M),27403,8437,93710,68634,73.20%
88,Vazhoor,GEN,Kanam Rajendran,CPI,28890,,KC,26647,2243,82244,60141,73.10%
89,Changanacherry,GEN,C. F. Thomas,KC,37589,,IND,27527,10062,90674,68443,75.50%
90,Kottayam,GEN,N. Srinivasan,IND,38886,,CPI(M),33548,5338,99365,73707,74.20%
91,Ettumanoor,GEN,E. J. Lukose,KC,37444,,CPI(M),31201,6243,91439,71186,77.90%
92,Puthuppally,GEN,Oommen Chandy,IND,42066,,ICS,26083,15983,95766,73015,76.20%
93,Poonjar,GEN,P. C. George,KC,33844,,JNP,23814,10030,82508,58347,70.70%
94,Palai,GEN,K. M. Mani,KC,39323,,IND,26713,12610,90615,67583,74.60%
95,Kaduthuruthy,GEN,P. C. Thomas,IND,35711,,KC,29761,5950,89080,67910,76.20%
96,Vaikom,SC,M. K. Kesavan,CPI,36582,,KC,35951,631,92244,74396,80.70%
97,Aroor,GEN,K. R. Gouri,CPI(M),41694,,KC,35753,5941,93584,79821,85.30%
98,Sherthalai,GEN,Vayalar Ravi,IND,36940,,CPI,35067,1873,84974,72928,85.80%
99,Mararikulam,GEN,A. V. Thamarakshan,RSP,44567,,IND,41168,3399,105365,87738,83.30%
100,Alleppey,GEN,K. P. Ramachandran Naird,NDP,35014,,CPI,33424,1590,90772,69573,76.60%
101,Ambalapuzha,GEN,V. Dinakaran,IND,35821,,CPI(M),33937,1884,85833,70818,82.50%
102,Kuttanad,GEN,K. C. Joseph,KC,37172,,CPI(M),34184,2988,88924,71749,80.70%
103,Haripad,GEN,Ramesh Chennithala,INC,42651,,CPI(M),38074,4577,98439,81251,82.50%
104,Kayamkulam,GEN,Thachady Prabhakaran,IND,33996,,ICS,33830,166,90762,70661,77.90%
105,Thiruvalla,GEN,P. C. Thomas,IND,29565,,JNP,24197,5368,80600,57076,70.80%
106,Kallooppara,GEN,T. S. John,KC,30025,,IND,24123,5902,81510,55396,68.00%
107,Aranmula,GEN,K. K. Sreenivasan,INC,27864,,ICS,22573,5291,80914,58270,72.00%
108,Chengannur,GEN,S. Ramachandran Pillai,IND,31156,,CPI(M),27865,3291,87242,65209,74.70%
109,Mavelikara,GEN,S. Govinda Kurup,CPI(M),34743,,NDP,33576,1167,92124,69989,76.00%
110,Pandalam,SC,V. Kesavan,CPI(M),38465,,IND,36501,1964,98689,77140,78.20%
111,Ranni,GEN,Sunny Panavelil,ICS,34490,,IND,25245,9245,83482,63773,76.40%
112,Pathanamthitta,GEN,K. K. Nair,IND,36676,,IND,27217,9459,91231,67277,73.70%
113,Konni,GEN,V. S Chandrasekharan Pillai,CPI(M),32744,,INC,31430,1314,87317,67714,77.50%
114,Pathanapuram,GEN,A. George,KC,37088,,CPI,33160,3928,92006,70975,77.10%
115,Punaloor,GEN,Sam Oommen,KC,36091,,CPI,34684,1407,99136,72455,73.10%
116,Chadayamangalam,GEN,K. R. Chandramohan,CPI,33060,,IND,25229,7831,82042,58726,71.60%
117,Kottarakara,GEN,R. Balakrishna Pillai,KC,37515,,CPI,29371,8144,83107,68053,81.90%
118,Neduvathur,SC,C. K. Thankappan,CPI(M),34973,,KC,30898,4075,87300,67024,76.80%
119,Adoor,GEN,Thennala Balakrishna Pillai,INC,30911,,CPI(M),29173,1738,78760,61903,78.60%
120,Kunnathur,SC,Kottakuzhi Sukumaran,IND,39992,,RSP,36602,3390,97866,77943,79.60%
121,Karunagapally,GEN,T. V. Vijayarajan,IND,38047,,CPI,34406,3641,90058,73073,81.10%
122,Chavara,GEN,Baby John,RSP,35907,,INC,35286,621,87925,72484,82.40%
123,Kundara,GEN,Thoppil Ravi,IND,35130,,CPI(M),30931,4199,86099,66967,77.80%
124,Quilon,GEN,Kadavoor Sivadasan,IND,35387,,RSP,28310,7077,93754,67517,72.00%
125,Eravipuram,GEN,R. S. Unni,RSP,37862,,IUML,37073,789,103081,78327,76.00%
126,Chathanoor,GEN,C. V. Padmarajan,INC,37811,,CPI,32009,5802,95013,71169,74.90%
127,Varkala,GEN,Varkala Radhakrishnan,CPI(M),27315,,IND,25511,1804,88741,54965,61.90%
128,Attingal,GEN,Vakkom Purushothaman,IND,31791,,ICS,24432,7359,89839,60070,66.90%
129,Kilimanoor,SC,Bhargavi Thankappan,CPI,33258,,IND,27113,6145,103101,63007,61.10%
130,Vamanapuram,GEN,Koliyakodu N. Krishnan Nair,CPI(M),36303,,IND,34349,1954,99227,71289,71.80%
131,Ariyanad,GEN,K. Pankajakshan,RSP,30966,,IND,28555,2411,89806,60798,67.70%
132,Nedumangad,GEN,K. V. Surendranath,CPI,37350,,IND,34009,3341,102484,72912,71.10%
133,Kazhakuttam,GEN,M. N. Hassan,IND,35028,,CPI(M),33835,1193,98546,70810,71.90%
134,Trivandrum North,GEN,G. Karthikeyan,INC,38260,,CPI(M),29414,8846,106347,71065,66.80%
135,Trivandrum West,GEN,P. A. Mohammed Kannu,IUML,29795,,RSP,24373,5422,104996,61363,58.40%
136,Trivandrum East,GEN,K. Sankaranarayana Pillai,ICS,31517,,NDP,30865,652,102310,64635,63.20%
137,Nemom,GEN,K. Karunakaran,INC,36007,,CPI(M),32659,3348,97114,71754,73.90%
138,Kovalam,GEN,N. Sakthan Nadar,IND,37705,,INC,34348,3357,103789,73573,70.90%
139,Neyyattinkara,GEN,S. R. Thankaraj,JNP,43159,,NDP,28179,14980,97391,71832,73.80%
140,Parassala,GEN,N. Sundaran Nadar,INC,34503,,CPI(M),31782,2721,95560,66790,69.90%
