S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner ,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
54,Mannarkkad,GEN,N. Shamsudheen,IUML,71657,K. P. Suresh Raj,CPI,65787,5870,171960,137046,79.70%
55,Malampuzha,GEN,A. Prabhakaran,CPI(M),75934,C. Krishnakumar,BJP,50200,25734,149439,118451,79.30%
56,Palakkad,GEN,Shafi Parambil,INC,54079,E. Sreedharan,BJP,50220,3859,149439,118451,79.30%
57,Tarur (SC),GEN,P. P. Sumod,CPI(M),67744,K. A. Sheeba,INC,43213,24531,194583,164589,84.60%
58,Chittur,GEN,K. Krishnankutty,JD(S),84672,Sumesh Achuthan,INC,50794,33878,194583,164589,84.60%
59,Nenmara,GEN,K. Babu,CPI(M),80145,C. N. Vijayakrishnan,CMP,51441,28704,219151,192958,88.00%
60,Alathur,GEN,K. D. Prasenan,CPI(M),74653,Palayam Pradeep,INC,40535,34118,219151,192958,88.00%
61,Chelakkara (SC),GEN,K. Radhakrishnan,CPI(M),83415,C. C. Sreekumar,INC,44015,39400,172959,150885,87.20%
62,Kunnamkulam,GEN,A. C. Moideen,CPI(M),75532,K. Jayasankar,INC,48901,26631,172959,150885,87.20%
63,Guruvayur,GEN,N. K. Akbar,CPI(M),77072,K. N. A. Khader,IUML,58804,18268,170541,142590,83.60%
64,Manalur,GEN,Murali Perunelly,CPI(M),78337,Vijay Hari,INC,48461,29876,170541,142590,83.60%
65,Wadakkanchery,GEN,Xavier Chittilappilly,CPI(M),81026,Anil Akkara,INC,65858,15168,196633,163591,83.20%
66,Ollur,GEN,K. Rajan,CPI,76657,Jose Valloor,INC,55151,21506,196633,163591,83.20%
67,Thrissur,GEN,P. Balachandran,CPI,44263,Padmaja Venugopal,INC,43317,946,171167,142636,83.30%
68,Nattika (SC),GEN,C. C. Mukundan,CPI,72930,Sunil Lalur,INC,44499,28431,171167,142636,83.30%
69,Kaipamangalam,GEN,E. T. Taison,CPI,73161,Sobha Subin,INC,50463,22698,208082,172698,83.00%
70,Irinjalakuda,GEN,R. Bindu,CPI(M),62493,Thomas Unniyadan,KC,56544,5949,208082,172698,83.00%
71,Puthukkad,SC,K. K. Ramachandran,CPI(M),73365,Sunil Anthikad,INC,46012,27353,214741,169267,78.80%
72,Chalakudy,SC,T. J. Saneesh Kumar Joseph,INC,61888,Dennis Antony,KC(M),60831,1057,214741,169267,78.80%
73,Kodungallur,GEN,V. R. Sunil Kumar,CPI,71457,M. P. Jackson,INC,47564,23893,197781,155790,78.80%
74,Perumbavoor,GEN,Eldhose Kunnappilly,INC,53484,Babu Joseph,KC(M),50585,2899,197781,155790,78.80%
75,Angamaly,GEN,Roji M. John,INC,71562,Jose Thettayil,JD(S),55633,15929,203783,164749,80.80%
76,Aluva,GEN,Anwar Sadath,INC,73703,Shelna Nishad,CPI(M),54817,18886,203783,164749,80.80%
77,Kalamassery,GEN,P. Rajeev,CPI(M),77141,V. E. Gafoor,IUML,61805,15336,203235,167669,82.50%
78,Paravur,GEN,V. D. Satheesan,INC,82264,M. T. Nixon,CPI,60963,21301,203235,167669,82.50%
79,Vypin,GEN,K. N. Unnikrishnan,CPI(M),53858,Deepak Joy,INC,45657,8201,204136,160831,78.80%
80,Kochi,GEN,K. J. Maxi,CPI(M),54632,Tony Chammany,INC,40553,14079,204136,160831,78.80%
81,Thrippunithura,GEN,K. Babu,INC,65875,M. Swaraj,CPI(M),64883,992,176389,130764,74.10%
82,Ernakulam,GEN,T. J. Vinod,INC,45930,Shaji George,Ind.,34960,10970,176389,130764,74.10%
83,Thrikkakara,GEN,P. T. Thomas,INC,59839,J. Jacob,Ind.,45510,14329,188584,150264,79.70%
84,Kunnathunad (SC),GEN,P. V. Sreenijin,CPI(M),52351,V. P. Sajeendran,INC,49636,2715,188584,150264,79.70%
85,Piravom,GEN,Anoop Jacob,KC(J),85056,Sindhumol Jacob,KC(M),59692,25364,189097,147050,77.80%
86,Muvattupuzha,GEN,Mathew Kuzhalnadan,INC,64425,Eldo Abraham,CPI,58264,6161,189097,147050,77.80%
87,Kothamangalam,GEN,Antony John,CPI(M),64234,Shibu Thekkumpuram,KC,57629,6605,181753,152234,83.80%
88,Devikulam (SC),GEN,A. Raja,CPI(M),59049,D. Kumar,INC,51201,7848,181753,152234,83.80%
89,Udumbanchola,GEN,M. M. Mani,CPI(M),77381,E. M. Augusthy,INC,39076,38305,213715,170325,79.70%
90,Thodupuzha,GEN,P. J. Joseph,KC,67495,K. I. Antony,KC(M),47236,20259,213715,170325,79.70%
91,Idukki,GEN,Roshy Augustine,KC(M),62368,Francis George,KC,56795,5573,205405,159265,77.50%
92,Peerumade,GEN,Vazhoor Soman,CPI,60141,Syriac Thomas,INC,58306,1835,205405,159265,77.50%
93,Pala,GEN,Mani C. Kappan,NCK,69804,Jose K. Mani,KC(M),54426,15378,189489,150948,79.70%
94,Kaduthuruthy,GEN,Monce Joseph,KC,59666,Stephen George,KC(M),55410,4256,189489,150948,79.70%
95,Vaikom (SC),GEN,C. K. Asha,CPI,71388,P. R. Sona,INC,42266,29122,193772,144955,74.80%
96,Ettumanoor,GEN,V. N. Vasavan,CPI(M),58289,Prince Lukose,KC,43986,14303,193772,144955,74.80%
97,Kottayam,GEN,Thiruvanchoor Radhakrishnan,INC,65401,K. Anilkumar,CPI(M),46658,18743,183566,151884,82.70%
98,Puthuppally,GEN,Oommen Chandy,INC,63372,Jaick C. Thomas,CPI(M),54328,9044,183566,151884,82.70%
99,Changanassery,GEN,Job Michael,KC(M),55425,V. J. Laly,KC,49366,6059,185002,151519,81.90%
100,Kanjirappally,GEN,N. Jayaraj,KC(M),60299,Joseph Vazhackan,INC,46596,13703,185002,151519,81.90%
101,Poonjar,GEN,Sebastian Kulathunkal,KC(M),58668,P. C. George,KJ(S),41851,16817,187255,151233,80.80%
102,Aroor,GEN,Daleema Jojo,CPI(M),75617,Shanimol Usman,INC,68604,7013,187255,151233,80.80%
103,Cherthala,GEN,P. Prasad,CPI,83702,S. Sarath,INC,77554,6148,200302,160294,80.00%
104,Alappuzha,GEN,P. P. Chitharanjan,CPI(M),73412,K. S. Manoj,INC,61768,11644,200302,160294,80.00%
105,Ambalappuzha,SC,H. Salam,CPI(M),61365,M. Liju,INC,50240,11125,174578,137555,78.80%
106,Kuttanad,SC,Thomas K. Thomas,NCP,57379,Jacob Abraham,KC,51863,5516,174578,137555,78.80%
107,Haripad,GEN,Ramesh Chennithala,INC,72768,R. Sajilal,CPI,59102,13666,190489,151342,79.40%
108,Kayamkulam,GEN,U. Prathibha,CPI(M),77348,Aritha Babu,INC,71050,6298,190489,151342,79.40%
109,Mavelikara (SC),GEN,M. S. Arun Kumar,CPI(M),71743,K. K. Shaju,INC,47026,24717,205694,162551,79.00%
110,Chengannur,GEN,Saji Cherian,CPI(M),71502,M. Murali,INC,39409,32093,205694,162551,79.00%
111,Thiruvalla,GEN,Mathew T. Thomas,JD(S),62178,Kunju Koshy Paul,KC,50757,11421,179685,141576,78.80%
112,Ranni,GEN,Pramod Narayan,KC(M),52669,Rinku Cheriyan,INC,51384,1285,179685,141576,78.80%
113,Aranmula,SC,Veena George,CPI(M),74950,K. Sivadasan Nair,INC,55947,19003,164354,130407,79.30%
114,Konni,SC,K. U. Jenish Kumar,CPI(M),62318,Robin Peter,INC,53810,8508,164354,130407,79.30%
115,Adoor (SC),GEN,Chittayam Gopakumar,CPI,66569,M G Kannan,INC,63650,2919,181124,151620,83.70%
116,Karunagappally,GEN,C. R. Mahesh,INC,94225,R. Ramachandran,CPI(M),65017,29208,181124,151620,83.70%
117,Chavara,GEN,Sujith Vijayanpillai,Ind.,63282,Shibu Baby John,RSP,62186,1096,184892,150465,81.40%
