S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
41,Mankada,GEN,Manjalamkuzhi Ali,IND,79613,Dr. M.K. Muneer,IUML,74540,5073,193087,162030,83.90%
42,Perinthalmanna,GEN,V. Sasikumar,CPI(M),76059,Hameed Master,IUML,62056,14003,187416,145206,77.50%
43,Thrithala,SC,T.P. Kunjunni,CPI(M),59093,P. Balan,INC,52144,6949,160629,122391,76.20%
44,Pattambi,GEN,C.P. Mohammed,INC,57752,K.E. Esmail,CPI,57186,566,166031,125963,75.90%
45,Ottapalam,GEN,M. Hamsa,CPI(M),63447,V.C. Kabeer Master,INC,39104,24343,159447,113950,71.50%
46,Sreekrishnapuram,GEN,K.S. Saleeka,CPI(M),67872,Adv. K.P. Anilkumar,INC,63524,4348,184636,141960,76.90%
47,Mannarkkad,GEN,Jose Baby,CPI,70172,Kalathil Abdulla,IUML,62959,7213,189065,141396,74.80%
48,Malampuzha,GEN,V.S. Achuthanandan,CPI(M),64775,Satheesan Pacheni,INC,44758,20017,152322,116847,76.70%
49,Palghat,GEN,K.K Divakaran,CPI(M),41166,A.V. Gopinathan,INC,39822,1344,155550,111373,71.60%
50,Chittur,GEN,K Achuthan,INC,55352,Ezhuthani K. Krishnankutty,JD(S),53340,2012,147882,119051,80.50%
51,Kollengode,GEN,V. Chenthamarakshan,CPI(M),55934,K.A. Chandran,INC,50808,5126,151147,114781,75.90%
52,Coyalmannam,SC,A.K. Balan,CPI(M),59239,C. Prakash,INC,45369,13870,157508,113913,72.30%
53,Alathur,GEN,M. Chandhran,CPI(M),73231,A. Raghavan,IND,25560,47671,157847,111629,70.70%
54,Chelakara,SC,K Radhakrishnan,CPI(M),62695,P.C.Manikandan,INC,48066,14629,157690,117023,74.20%
55,Wadakkanchery,GEN,A.C.Moideen,CPI(M),66928,T.V.Chandra Mohan,DIC,46107,20821,166588,121790,73.10%
56,Kunnamkulam,GEN,Babu M Palissery,CPI(M),61865,Adv.V .Balaram,DIC,40080,21785,165142,116014,70.30%
57,Cherpu,GEN,Adv.V.S.Sunilkumar,CPI,56380,M.K.Kannan,CMPKSC,41776,14604,145868,104436,71.60%
58,Trichur,GEN,Adv.Therambil Ramakrishnan,INC,45655,M.M.Varghese,CPI(M),43059,2596,141489,95517,67.50%
59,Ollur,GEN,Rajaji Mathew Thomas,CPI,61467,Leelamma Teacher,INC,53498,7969,173657,122960,70.80%
60,Kodakara,GEN,Prof.C.Raveendranath,CPI(M),61499,K. P.Viswanathan,INC,41616,19883,152159,114614,75.30%
61,Chalakudi,GEN,B D Devassy,CPI(M),51378,Prof. Savithri Lakshmanan,INC,36823,14555,136449,95630,70.10%
62,Mala,GEN,A. K. Chandran,CPI,46004,T U Radhakrishnan,INC,38976,7028,143976,102552,71.20%
63,Irinjalakuda,GEN,Adv. Thomas Unniyadan,KEC(M),58825,C.K.Chandran,CPI(M),50830,7995,154002,116116,75.40%
64,Manalur,GEN,Murali Perunelli,CPI(M),49598,M.K.Paulson Master,INC,41878,7720,136457,98682,72.30%
65,Guruvayoor,GEN,K V Abdul Khader,CPI(M),51740,C H Rasheed,MUL,39431,12309,147416,102347,69.40%
66,Nattika,GEN,T N Prathapan,INC,52511,. Fathima Abdul Khadar Pambinezhath,CPI,42825,9686,135865,101399,74.60%
67,Kodungallur,GEN,Adv.K.P.Rajendran,CPI,53197,Umesh Challiyil,JPSS,50675,2522,150578,114980,76.40%
68,Ankamali,GEN,Jose Thettayil,JD(S),58703,P.J.Joy,INC,52609,6094,159574,118553,74.30%
69,Vadakkekara,GEN,S Sharma,CPI(M),51590,M A Chandrasekharan,DIC,48516,3074,141413,110328,78.00%
70,Parur,GEN,Adv. V D Satheesan,INC,51099,K M Dinakaran,CPI,43307,7792,133426,100082,75.00%
71,Narakkal,SC,M K Purushothaman,CPI(M),46681,Adv P V Sreenijan,INC,44050,2631,135335,96396,71.20%
72,Ernakulam,GEN,Prof. K V Thomas,INC,43148,M M Lowranace,CPI(M),37348,5800,141852,86829,61.20%
73,Mattancherry,GEN,V K Ibrahim Kunju,IUML,36119,M C Josephine,CPI(M),20587,15532,92926,60208,64.80%
74,Palluruthy,GEN,C M Dinesh Mani,CPI(M),60959,Domanic Prasentation,INC,54701,6258,172602,122141,70.80%
75,Thrippunithura,GEN,K Babu,INC,70935,K N Raveendranath,CPI(M),63593,7342,202066,140000,69.30%
76,Alwaye,GEN,A M Yousuf,CPI(M),60548,K Muhammad Ali,INC,56182,4366,181995,127057,69.80%
77,Perumbavoor,GEN,Saju Paul,CPI(M),63307,Adv.Shanimol Usman,INC,50846,12461,151391,119320,78.80%
78,Kunnathunad,GEN,Adv M M Monayi,CPI(M),57584,P P Thankachan,INC,55527,2057,150915,118099,78.30%
79,Piravom,GEN,M J Jacob,CPI(M),52903,T M Jacob,DIC,47753,5150,144261,107904,74.80%
80,Muvattupuzha,GEN,Babu Paul,CPI,48338,Adv. Johny Nelloor,DIC,35113,13225,143555,95706,66.70%
81,Kothamangalam,GEN,Chev. T. U Kuruvila,KEC,51498,V J Paulose,INC,49684,1814,156066,107661,69.00%
82,Thodupuzha,GEN,P J Joseph,KEC,68641,Adv P T Thomas,INC,54860,13781,164884,127801,77.50%
83,Devicolam,SC,S Rajendran,CPI(M),52795,A K Moni,INC,46908,5887,152351,104649,68.70%
84,Idukki,GEN,Roshy Augustine,KEC(M),61883,C V Varghese,CPI(M),45543,16340,159615,111846,70.10%
85,Udumbanchola,GEN,KK Jayachandran,CPI(M),69617,Ebrahimkutty Kallar,DIC,49969,19648,183919,131167,71.30%
86,Peermade,GEN,E S Bijimol,CPI,45465,Adv. E M Augasthy,INC,40161,5304,132794,90496,68.10%
87,Kanjirappally,GEN,Alphons Kannanthanam,IND,42413,Joseph Vazhacken,INC,31676,10737,141268,101496,71.80%
88,Vazhoor,GEN,Jayarajan,KEC(M),42290,Rajendran Parameswaran Nair,CPI,35624,6666,121233,82196,67.80%
89,Changanacherry,GEN,C F Thomas,KEC(M),50435,A V Russel,CPI(M),40782,9653,142800,96795,67.80%
90,Kottayam,GEN,V N Vasavan,CPI(M),47731,Ajay Tharayil,INC,47249,482,144841,100423,69.30%
91,Ettumanoor,GEN,Thomas Chazhikkadan,KEC(M),48789,Adv. K.S.Krishnankutty Nair,CPI(M),43809,4980,138564,96977,70.00%
92,Puthuppally,GEN,Oommen Chandy,INC,64910,Sindhu Joy,CPI(M),45047,19863,153117,115358,75.30%
93,Poonjar,GEN,P C George (Plathottam),KCS,48795,Adv. T V Abraham Kaipanplackal,KEC(M),41158,7637,124825,93750,75.10%
94,Palai,GEN,K M Mani,KEC(M),46608,Mani C Kappan,NCP,38849,7759,128184,90453,70.60%
95,Kaduthuruthy,GEN,Adv. Mons Joseph,KEC,44958,Stephen George,KEC(M),42957,2001,131824,93063,70.60%
96,Vaikom,SC,K Ajith,CPI,52617,Adv. V P Sajeendran,INC,43836,8781,138949,101066,72.70%
97,Aroor,GEN,Adv. A.M.Ariff,CPI(M),58218,K.R.Gowriamma,JPSS,53465,4753,150164,117514,78.30%
98,Sherthalai,GEN,P.Thilothaman,CPI,55626,C.K.Shajimohan,INC,47092,8534,135676,107900,79.50%
99,Mararikulam,GEN,Dr.Thomas Issac,CPI(M),75994,Simmi Rose Bell John,INC,58315,17679,178438,141456,79.30%
100,Alleppey,GEN,K.C.Venugopal,INC,49721,T.J.Anjalose,CPI,32788,16933,114192,84871,74.30%
101,Ambalapuzha,GEN,G.Sudhakaran,CPI(M),50040,Adv. D.Sugathan,DIC,38111,11929,128577,93953,73.10%
102,Kuttanad,GEN,Thomas Chandy,DIC,42109,Dr. K.C.Joseph,KEC,36728,5381,111058,83476,75.20%
103,Haripad,GEN,Adv.B.Babuprasad,INC,53787,T.K.Devakumar,CPI(M),51901,1886,144188,110075,76.30%
104,Kayamkulam,GEN,C K Sadasivan,CPI(M),49697,Adv.C.R.Jayaprakash,INC,43865,5832,129524,99833,77.10%
105,Thiruvalla,GEN,Mathew T Thomas,JD(S),28874,Victor Thomas,KEC(M),19952,8922,110867,71137,64.20%
106,Kallooppara,GEN,Joseph M Puthusseri,KEC(M),36088,Cherian Philip,IND,28600,7488,112932,71871,63.60%
107,Aranmula,GEN,K.C Rajagopalan,CPI(M),34007,K R Rajappan,IND,19387,14620,112086,69794,62.30%
108,Chengannur,GEN,P.C.Vishnunath,INC,44010,Saji Cherian,CPI(M),38878,5132,121105,87139,72.00%
109,Mavelikara,GEN,M.Murali,INC,47449,G.Rajamma,CPI(M),44777,2672,131267,97505,74.30%
110,Pandalam,SC,K.K.Shaju,JPSS,51196,K.Raghavan,CPI(M),49891,1305,144463,111413,77.10%
111,Ranni,GEN,Raju Abraham,CPI(M),49367,Adv. Peelipose Thomas,INC,34396,14971,119189,89091,74.70%
112,Pathanamthitta,GEN,Adv. K Sivadasan Nair,INC,33043,V K Purushothaman Pillai,CPI(M),31818,1225,121979,81238,66.60%
113,Konni,GEN,Adoor Prakash,INC,51445,V R Sivarajan,CPI(M),36550,14895,128760,93985,73.00%
114,Pathanapuram,GEN,K.B.Ganesh Kumar,KEC(B),55554,K.R.Chandramohanan,CPI,43740,11814,144025,103883,72.10%
115,Punalur,GEN,Adv. K.Raju,CPI,58895,M.V.Raghavan,CMPKSC,50970,7925,158123,113437,71.70%
116,Chadayamangalam,GEN,Mullakkara Rathnakaran,CPI,47284,Prayar Gopalakrishnan,INC,42631,4653,134953,94773,70.20%
117,Kottarakkara,GEN,Adv. Aisha Potti,CPI(M),52243,R. Balakrishna Pillai,KEC(B),40156,12087,135841,98156,72.30%
118,Neduvathur,SC,Bikram Raghavan,CPI(M),48023,Ezhukone Narayanan,INC,46868,1155,138696,98879,71.30%
119,Adoor,GEN,Thiruvanchoor Radhakrishnan,INC,53416,Prof. D K John,KEC,34952,18464,128472,94107,73.30%
120,Kunnathur,SC,Kovoor Kunjumon,RSP,65011,P Ramabhadran,INC,42438,22573,162149,114875,70.80%
121,Karunagappally,GEN,C. Divakaran,CPI,53287,Adv. A N Rajan Babu,JPSS,40791,12496,139839,102259,73.10%
122,Chavara,GEN,N K Premachandran,RSP,54026,Shibu Baby John,IND,52240,1786,142401,110501,77.60%
123,Kundara,GEN,M.A. Baby,CPI(M),50320,Kadavoor Sivadasan,INC,35451,14869,129453,91501,70.70%
124,Kollam,GEN,P.K.Gurudasan,CPI(M),44662,Babu Divakaran,IND,33223,11439,125888,81725,64.90%
125,Eravipuram,GEN,A.A. Azeez,RSP,64234,K.M. Shaji,MUL,40185,24049,177809,115358,64.90%
126,Chathanoor,GEN,N Anirudhan,CPI,59379,Dr. G. Prathapavarma Thampan,INC,36199,23180,160650,104547,65.10%
127,Varkala,GEN,Varkala Kahar,INC,44883,Adv S Sundaresan,CPI(M),43258,1625,127337,92023,72.30%
128,Attingal,GEN,Anathalavattom Anandan,CPI(M),42912,Adv. C Mohanachandran,INC,31704,11208,118939,79842,67.10%
129,Kilimanoor,SC,N Rajan,CPI,52042,Kavalloor Madhu,DIC,30545,21497,156986,90436,57.60%
130,Vamanapuram,GEN,J. Arundhathi,CPI(M),45743,Adv. S. Shine,JPSS,39234,6509,145921,96803,66.30%
131,Ariyanad,GEN,G Karthikeyan Aryanad,INC,43056,T J Chandrachoodan,RSP,40858,2198,132567,89027,67.20%
132,Nedumangad,GEN,Mankode Radhakrishnan,CPI,58674,Palode Ravi,INC,58589,85,171173,122766,71.70%
133,Kazhakuttam,GEN,Adv. M.A. Vaheed,INC,51296,Kadakampally Surendran,CPI(M),51081,215,163999,109450,66.70%
134,Trivandrum North,GEN,M Vijayakumar,CPI(M),60145,Adv K Mohankumar,INC,50421,9724,194130,118889,61.20%
135,Trivandrum West,GEN,V Surendran Pillai,KEC,35077,Shobhana George,DIC,21844,13233,139835,71814,51.40%
136,Trivandrum East,GEN,V Sivankutty,CPI(M),34875,B Vijayakumar,INC,32599,2276,135171,80517,59.60%
137,Nemom,GEN,N Sakthan,INC,60884,Venganoor P Bhaskaran,CPI(M),50135,10749,180034,120017,66.70%
138,Kovalam,GEN,Adv George Mercier,INC,38764,Dr. A Neelalohithadasan Nadar,IND,27939,10825,168386,106369,63.20%
139,Neyyattinkara,GEN,V J Thankappan,CPI(M),50351,Thampanoor Ravi,INC,49605,746,161090,106438,66.10%
140,Parassala,GEN,R Selvaraj,CPI(M),49297,N Sundaran Nadar,INC,44890,4407,158092,97860,61.90%
