S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,C H Kunhambu,CPI(M),39242,Adv. M Narayana Bhat,BJP,34413,4829,154227,110731,71.80%
2,Kasaragod,GEN,C.T.Ahammed Ali,IUML,38774,V Ravindran,BJP,28432,10342,154904,100981,65.20%
3,Udma,GEN,K V Kunhiraman,CPI(M),69221,P Gangadharan Nair,INC,41927,27294,173879,124495,71.60%
4,Hosdurg,SC,Pallipram Balan,CPI,71751,P Ramachandran,DIC,36812,34939,183771,128318,69.80%
5,Trikaripur,GEN,Kunhiraman K,CPI(M),81050,Adv. Vamana Kumar A V,INC,57222,23828,185121,144994,78.30%
6,Irikkur,GEN,Advocate K C Joseph,INC,63649,James Mathew,CPI(M),61818,1831,165884,131616,79.30%
7,Payyannur,GEN,PK Sreemathi Teacher,CPI(M),76974,K Surendran,INC,40852,36122,162770,124733,76.60%
8,Taliparamba,GEN,C.K.P Padmanabhan,CPI(M),82994,Chandran Thillankeri,INC,53456,29538,185539,145253,78.30%
9,Azhikode,GEN,M Prakasan Master,CPI(M),62768,K K Nanu,CMPKSC,33300,29468,133825,101723,76.00%
10,Kannur,GEN,K Sudhakaran,INC,49745,K P Sahadevan,CPI(M),41132,8613,130348,97372,74.70%
11,Edakkad,GEN,Ramachandran Kadannapal,C(S),72579,K C Kadambooran,DIC,41907,30672,160984,125022,77.70%
12,Thalassery,GEN,Kodiyeri Balakrishnan,CPI(M),53907,Raj Mohan Unnithan,INC,43852,10055,131410,101520,77.30%
13,Peringalam,GEN,K P Mohanan,JD(S),57840,Abdul Khader,IUML,38604,19236,148842,111382,74.80%
14,Kuthuparamba,GEN,P Jayarajan,CPI(M),78246,Adv.Sajeev Joseph,INC,39919,38327,157631,125028,79.30%
15,Peravoor,GEN,K K Shylaja Teacher,CPI(M),72065,Professor A.D Mustafa,INC,62966,9099,179145,143654,80.20%
16,North Wynad,ST,KC Kunhiraman,CPI(M),61970,P.Balan,IUML,46855,15115,179901,126735,70.40%
17,Badagara,GEN,Advocate M K Premnath,JD(S),64932,Ponnarath Balakrishnan,INC,43663,21269,158018,118963,75.30%
18,Nadapuram,GEN,Binoy Viswam,CPI,67138,Advocate M Veerankutty,INC,49689,17449,166365,125912,75.70%
19,Meppayur,GEN,K K Lathika,CPI(M),70369,T T Ismail,IUML,54482,15887,161852,133702,82.60%
20,Quilandy,GEN,P Viswan,CPI(M),65514,Advocate P Sankaran,DIC,47030,18484,173818,128230,73.80%
21,Perambra,GEN,K Kunhammed Master,CPI(M),69004,James Thekkanadan,KEC(M),58364,10640,168021,135503,80.60%
22,Balusseri,GEN,A K Saseendran,NCP,60340,K Balakrishnan Kadavu,INC,46180,14160,154915,115921,74.80%
23,Koduvally,GEN,Advocate P T A Rahim,IND,65302,K Muraleedharan,DIC,57796,7506,172424,135869,78.80%
24,Kozhikode I,GEN,A Pradeep Kumar,CPI(M),45693,Advocate A Sujanapal,INC,37988,7705,134380,91360,68.00%
25,Kozhikode II,GEN,Advocate PM A Salam,INL,51130,TP M Zahir,IUML,37037,14093,144934,98517,68.00%
26,Beypore,GEN,Elamaram Kareem,CPI(M),69798,Ummer Pandikasala,IUML,50180,19618,188861,135315,71.60%
27,Kunnamangalam,SC,U C Raman,IND,60027,C P Balan Vaidyar,CPI(M),59730,297,165951,129760,78.20%
28,Thiruvambady,GEN,Mathayi Chacko,CPI(M),61104,M C Mayin Hajee,MUL,55625,5479,161002,123043,76.40%
29,Kalpetta,GEN,M V Sreyams Kumar,JD(S),50023,K K Ramachandran Master,INC,48182,1841,157684,114072,72.30%
30,Sultanbathery,GEN,P Krishna Prasad,CPI(M),63092,N D Appachan,DIC,37552,25540,182483,125238,68.60%
31,Wandoor,SC,A.P. Anilkumar,INC,85118,Sankaran Korambayil,CPI(M),67957,17161,201112,157997,78.60%
32,Nilambur,GEN,Aryadan Muhammed,INC,87522,Sreeramakrishnan,CPI(M),69452,18070,203352,162804,80.10%
33,Manjeri,GEN,P.K Abdu Rabb,IUML,76646,A.P Abdul Wahab,INL,61274,15372,191141,147031,76.90%
34,Malappuram,GEN,Advocate M. Ummer,IUML,70056,Advocate P.M. Safarulla,JD(S),39399,30657,186292,119956,64.40%
35,Kondotty,GEN,K. Muhammadunni Haji,IUML,74950,Mohammedkutty T.P,CPI(M),59978,14972,189580,143648,75.80%
36,Tirurangadi,GEN,Kutty Ahammed Kutty,IUML,60359,K. Moideenkoya,CPI,44236,16123,181774,115826,63.70%
37,Tanur,GEN,Abdurahiman Randathani,IUML,64038,P.K. Mohammedkutty Koyakutty,IND,52868,11170,185327,127564,68.80%
38,Tirur,GEN,P.P Abdullakkutty,CPI(M),71270,E.T Mohammed Basheer,IUML,62590,8680,186852,146121,78.20%
39,Ponnani,GEN,Paloli Mohamedkutty,CPI(M),63018,M.P. Gangadharan,INC,34671,28347,157795,114368,72.50%
40,Kuttippuram,GEN,K.T Jaleel,IND,64207,P.K. Kunhalikutty,IUML,55426,8781,158951,128621,80.90%
