Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party.1,Runner Vote,Margin,Total electors,Total Votes,Poll%
122,Chavara,GEN,Baby John,RSP,51249,Prathapa Varma Thampan,INC,46925,4324,130805,102050,78.00%
123,Kundara,GEN,Alphonsa John,INC,46447,J. Mercykutty Amma,CPM,45075,1372,124255,95522,76.90%
124,Quilon,GEN,Kadavoor Sivadasan,INC,48307,Babu Divakaran,RSP,43831,4476,133653,97574,73.00%
125,Eravipuram,GEN,P.K.K. Bava,MUL,55972,V.P. Ramakrishna Pillai,IND,55350,422,160647,117886,73.40%
126,Chathanoor,GEN,C.V. Padmarajan,INC,53755,P. Ravindran,CPI,49244,4511,147686,108023,73.10%
127,Varkala,GEN,Varkala Radhakrishnan,CPM,42977,Varkala Kahar,INC,39680,3297,133048,86192,64.80%
128,Attingal,GEN,T. Saratchandra Prasad,INC,41964,Anathalavattom Anadan,CPM,41527,437,130610,87942,67.30%
129,Kilimanoor,(SC),N. Rajan,CPI,51937,Thankappan,INC,47882,4055,155461,104377,67.10%
130,Vamanapuram,GEN,Kolaikode N. Krishna Nair,CPM,52248,R.M. Parameswaran,INC,50882,1366,147842,107513,72.70%
131,Ariyanad,GEN,G. Karihikeyan,INC,44302,K. Pankajakshan,RSP,40822,3480,126307,91436,72.40%
132,Nedumangad,GEN,Palode Ravi,INC,54678,K. Govinda Pillai,CPI,53739,939,154929,114100,73.60%
133,Kazhakuttam,GEN,M.V. Raghavan,CPM(K),51243,A. Nabeesaummal,CPM,50554,689,155360,107932,69.50%
134,Trivandrum North,GEN,M. Vijaya Kumar,CPM,52865,T. Raveendtan Thampi,NDP,52525,340,173461,118035,68.00%
135,Trivandrum West,GEN,M.M. Hassan,INC,43620,Antony Raju,KEC,35121,8499,143299,89961,62.80%
136,Trivandrum East,GEN,B. Vijaya Kumar,INC,41230,K. Sankaranaraya Pillai,ICS(SCS),33302,8018,137221,89487,65.20%
137,Nemom,GEN,V.J. Thankappan,CPM,47063,Stanly Sathyanesan,CPM(K),40201,6862,151817,110105,72.50%
138,Kovalam,GEN,A. Neela Lohitha Dajan Kadar,JD,49515,George Maserine,INC,49494,21,152486,107705,70.60%
139,Neyyattinkara,GEN,Thampanoor Ravi,INC,49016,S.R. Thanka Raj,JD,47042,1974,147046,106253,72.30%
140,Parassala,GEN,M.R. Raghu Chandra Bal,INC,48423,Sathyanesan,CPM,40788,7635,141743,99818,70.40%
