Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
51,Kollengode,GEN,K.A.Chandran,INC,48530,M.Chandran,CPI(M),47393,1137,147523,103398,70.10%
52,Coyalmannam,(SC),M.Narayanan,CPI(M),50349,M.V.Suresh,INC,39853,10496,146834,97018,66.10%
53,Alathur,GEN,C.K.Rajendran,CPI(M),53763,R.Chellamma,INC,41597,12166,146976,102802,69.90%
54,Chelakara,(SC),K.Radhakrishnan,CPI(M),44260,T.A.Radhakrishnan,INC,41937,2323,147586,96366,65.30%
55,Wadakkanchery,GEN,V.Balaram,INC,51050,K.Mohandas,KEC,41372,9678,152032,104161,68.50%
56,Kunnamkulam,GEN,N.R.Balan,CPI(M),49289,T.V. Chandramohan,INC,48405,884,154719,109718,70.90%
57,Cherpu,GEN,K.P.Rajendran,CPI,49506,M.K.Abdul Salam,INC,44314,5192,145090,103824,71.60%
58,Trichur,GEN,Therambil Ramakrishnan,INC,49597,M.R.Govindan,IND,39388,10209,144669,99711,68.90%
59,Ollur,GEN,C.N.Jayadevan,CPI,52757,P.P.George,INC,48389,4368,165355,115937,70.10%
60,Kodakara,GEN,K. P.Viswanathan,INC,48366,P.R.Rajan,CPI(M),46220,2146,146096,108277,74.10%
61,Chalakudi,GEN,Savithri Lakshmanan,INC,48810,N.M.Joseph,JD,37644,11166,135008,97147,72.00%
62,Mala,GEN,V.K.Rajan,CPI,49993,Mercy Ravi,INC,46752,3241,139927,104785,74.90%
63,Irinjalakuda,GEN,Lonappan Nambadan,IND,49421,Thomas Unniyadan,KEC(M),43295,6126,145073,104480,72.00%
64,Manalur,GEN,Rosamma Chacko,INC,39700,C.G.Santhakumar,IND,38568,1132,126762,91121,71.90%
65,Guruvayoor,GEN,P.T. Kunju Muhammed,IND,39870,R.P.Moidutty,IUML,37034,2836,137968,93813,68.00%
66,Nattika,GEN,Krishnan Kaniyamparambil,CPI,47826,K.K.Rahulan,INC,38135,9691,129289,95632,74.00%
67,Kodungallur,GEN,Meenakshy Thamban,CPI,51343,K.Venu,IND,37234,14109,143077,105173,73.50%
68,Ankamali,GEN,P.J.Joy,INC,56252,M.V.Many,KEC,55708,544,157871,121319,76.80%
69,Vadakkekara,GEN,S.Sarma,CPI(M),50200,V.P.Marakkar,INC,49831,369,137773,108329,78.60%
70,Parur,GEN,P.Raju,CPI,39723,V.D.Satheesan,INC,38607,1116,125924,92109,73.10%
71,Narakkal,(SC),M.A. Kuttappan,INC,42920,V.K.Babu,ICS,41933,987,134596,95815,71.20%
72,Ernakulam,GEN,George Eden,INC,49908,V.B.Cheriyan,CPI(M),39168,10740,159550,98354,61.60%
73,Mattancherry,GEN,M.A.Thomas,IND,24003,T.A.Ahamed Kabeer,IUML,23578,425,101888,61723,60.60%
74,Palluruthy,GEN,Dominic Presentation,INC,52900,T.P. Peethambaran,ICS,51790,1110,167654,117764,70.20%
