S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
18,Sulthan Bathery (ST),ST,I. C. Balakrishnan,INC,71509,E. A. Sankaran,CPI(M),63926,7583,198645,145512,73.30%
19,Kalpetta,GEN,M. V. Shreyams Kumar,SJ(D),67018,P. A. Muhammed,CPI(M),48849,18169,170245,126584,74.40%
20,Vadakara,GEN,C. K. Nanu,JD(S),46912,M. K. Premnath,SJ(D),46065,847,141576,114267,80.70%
21,Kuttiady,GEN,K. K. Lathika,CPI(M),70258,Soopi Nirakkatteri,IUML,63286,6972,162389,142453,87.70%
22,Nadapuram,GEN,E. K. Vijayan,CPI,72078,V. M. Chandran,INC,64532,7546,179451,146430,81.60%
23,Quilandy,GEN,K. Dasan,CPI(M),64374,K. P. Anil Kumar,INC,60235,4139,166654,136394,81.80%
24,Perambra,GEN,K. Kunhammad Master,CPI(M),70248,Mohammad Ikbal,KC(M),54979,15269,159699,135334,84.70%
25,Balussery (SC),SC,Purushan Kadalundi,CPI(M),74259,A. Balaram,INC,65377,8882,185134,151004,81.60%
26,Elathur,GEN,A. K. Saseendran,NCP,67143,Shaikh P. Harriz,SJ(D),52489,14654,162835,133906,82.20%
27,Kozhikode North,GEN,A. Pradeep Kumar,CPI(M),57123,P. V. Gangadharan,INC,48125,8998,150415,116300,77.30%
28,Kozhikode South,GEN,M. K. Muneer,IUML,47771,C. P. Musafer Ahamed,CPI(M),46395,1376,132780,103671,78.10%
29,Beypore,GEN,Elamaram Kareem,CPI(M),60550,Adam Mulsi M.P.,INC,55234,5316,164045,129390,78.90%
30,Kunnamangalam,GEN,P. T. A. Rahim,IND,66169,U. C. Raman,IND,62900,3269,178089,150187,84.30%
31,Koduvally,GEN,V. M. Ummer Master,IUML,60365,M. Mehboob,CPI(M),43813,16652,142384,113824,79.90%
32,Thiruvambady,GEN,C. Moyinkutty,IUML,56388,George M. Thomas,CPI(M),52553,3833,145763,115754,79.40%
33,Kondotty,GEN,K. Muhammedunni,IUML,67998,P. C. Naushad,CPI(M),39849,28149,158057,119675,75.70%
34,Eranad,GEN,P. K. Basheer,IUML,58698,P. V. Anvar,IND,47452,11246,141833,114435,80.70%
35,Nilambur,GEN,Aryadan Mohammed,INC,66339,M. Thomas Mathew,CPI(M),60733,5598,174945,136358,77.90%
36,Wandoor (SC),SC,A. P. Anil Kumar,INC,77580,V. Ramesan,CPI(M),48661,28919,180715,132610,73.40%
37,Manjeri,GEN,M. Ummer,IUML,67594,P. Gouri,CPI,38515,29079,164144,116553,71.00%
38,Perinthalmanna,GEN,Manjalmkuzhi Ali,IUML,69730,P. C. Naushad,CPI(M),60141,9589,165043,133735,81.00%
39,Mankada,GEN,T. A. Ahmed Kabeer,IUML,67756,Kadeeja Sathar,CPI(M),44163,23593,164067,121247,73.90%
40,Malappuram,GEN,P. Ubaidulla,IUML,77928,Madathil Saidkali,JD(S),33420,44508,167739,122245,72.90%
41,Vengara,GEN,P. K. Kunhalikutty,IUML,63198,K. P. Ismayil,INL,24901,38297,144317,99530,69.00%
42,Valikunnu,GEN,K. N. A. Khader,IUML,57250,K. V. Sankaranarayanan,INL,39128,18122,156309,113304,72.50%
43,Tirurangadi,GEN,P. K. Abdu Rabb,IUML,58666,K. K. Abdu Samad,CPI,28458,30208,152896,100323,65.60%
44,Tanur,GEN,Abdurahiman Randathani,IUML,51549,E. Jayan,CPI(M),42116,9433,138095,104106,75.40%
45,Tirur,GEN,C. Mammootty,IUML,69305,P. P. Abdullakutty,CPI(M),45739,23566,166314,126353,76.00%
46,Kottakkal,GEN,M. P. Abdussamad Samadani,IUML,69717,C. P. K. Gurukkal,NCP,33815,35902,167498,118343,70.70%
47,Thavanur,GEN,K. T. Jaleel,IND,57229,V. V. Prakash,INC,50875,6347,156317,122297,78.20%
48,Ponnani,GEN,P. Sreeramakrishnan,CPI(M),57615,P. T. Ajay Mohan,INC,53514,4101,158680,121158,76.40%
49,Thrithala,GEN,V. T. Balram,INC,57848,Mammikutty P.,CPI(M),54651,3197,155638,122120,78.50%
50,Pattambi,GEN,C. P. Mohammed,INC,57728,K. P. Suresh Raj,CPI,45253,12475,153714,117818,76.60%
51,Shornur,GEN,K. S. Saleekha,CPI(M),59616,Santha Jayaram,INC,46123,13493,163885,120260,73.40%
52,Ottapalam,GEN,M. Hamza,CPI(M),65020,V. K. Sreekandan,INC,51820,13200,175065,131434,75.10%
53,Kongad (SC),SC,K. V. Vijayadas,CPI(M),52920,P. Swaminathan,INC,49355,3565,155792,113483,72.80%
54,Mannarkkad,GEN,N. Samsudheen,IUML,60191,V. Chamunni,CPI,51921,8270,166275,121195,72.90%
55,Malampuzha,GEN,V. S. Achuthanandan,CPI(M),77752,Lathika Subhash,INC,54312,23440,180662,136316,75.50%
56,Palakkad,GEN,Shafi Parambil,INC,47631,Mammikutty P.,CPI(M),40238,7393,154391,112347,72.80%
57,Tarur (SC),SC,A. K. Balan,CPI(M),64175,N. Vinesh,KC(J),38419,25756,149389,112288,75.20%
58,Chittur,GEN,K. Achuthan,INC,69916,S. Subhash Chandrabose,CPI(M),57586,12330,167800,136199,81.20%
59,Nenmara,GEN,V. Chentharamakrishnan,CPI(M),64169,M. V. Raghavan,CMP(J),55475,8694,172069,134074,77.90%
60,Alathur,GEN,M. Chandran,CPI(M),66977,K. Kusala Kumar,KC(M),42236,24741,152827,116045,75.90%
61,Chelakkara (SC),SC,K. Radhakrishnan,CPI(M),73683,Mammikutty P.,INC,49007,24676,173746,132942,76.50%
62,Kunnamkulam,GEN,Babu M. Palissery,CPI(M),58244,C. P. John,CMP(J),57763,481,174161,131344,75.40%
63,Guruvayur,GEN,K. V. Abdul Khader,CPI(M),62246,Ashraf Kokkur,IUML,52278,9968,178144,128276,72.00%
64,Manalur,GEN,P. A. Madhavan,INC,63077,Baby John,CPI(M),62596,481,189976,139491,73.40%
65,Wadakkanchery,GEN,C. N. Balakrishnan,INC,67911,N. R. Balan,CPI(M),61226,6685,178019,139184,78.20%
66,Ollur,GEN,M. P. Vincent,INC,64823,Rajaji Mathew Thomas,CPI,58576,6247,176875,131718,74.50%
67,Thrissur,GEN,Therambil Ramakrishnan,INC,59991,P. Balachandran,CPI,62596,16169,161896,112794,69.70%
68,Nattika (SC),SC,Geetha Gopi,CPI,64555,Vikas Chakrapani,IND,48501,16054,179535,128582,71.60%
69,Kaipamangalam,GEN,V. S. Sunil Kumar,CPI,64555,Umesh Challiyil,JPSS,45259,13570,151356,117110,77.40%
70,Irinjalakuda,GEN,Thomas Unniyadan,KC(M),68441,K. R. Vijaya,CPI(M),56045,12396,174216,132379,76.00%
71,Puthukkad,GEN,C. Raveendranath,CPI(M),73047,Mammikutty P.,INC,46565,26482,176055,138251,78.50%
72,Chalakudy,GEN,B. D. Devassy,CPI(M),63610,K. T. Benny,INC,61061,2549,172679,132037,76.50%
73,Kodungallur,GEN,T. N. Prathapan,INC,64495,K. G. Sivanandhan,CPI,55063,9432,169056,128714,76.10%
74,Perumbavoor,GEN,Saju Paul,CPI(M),59628,Mammikutty P.,INC,56246,3382,154432,125739,81.40%
75,Angamaly,GEN,Jose Thettayil,JD(S),61500,Johnny Nelloor,KC(J),54330,7170,152370,124086,81.40%
76,Aluva,GEN,Anwar Sadath,INC,64244,N. R. Balan,CPI(M),51030,13214,158919,127870,80.50%
77,Kalamassery,GEN,V. K. Ebrahim Kunju,IUML,62843,K. Chandran Pillai,CPI(M),55054,7792,165105,131676,79.80%
78,Paravur,GEN,V. D. Satheesan,INC,74632,Pannyan Raveendran,CPI,63283,11349,171172,144124,84.20%
79,Vypen,GEN,S. Sharma,CPI(M),60814,Ajay Tharayil,INC,55572,5242,152029,120726,79.40%
80,Kochi,GEN,Dominic Presentation,INC,56352,M. C. Josephine,CPI(M),39849,16503,157727,105592,66.90%
81,Thrippunithura,GEN,K. Babu,INC,69886,C. M. Dinesh Mani,CPI(M),54108,15778,171624,130979,76.30%
82,Ernakulam,GEN,Hibi Eden,INC,59919,Sebastian Paul,IND,27482,32487,135675,97297,71.70%
83,Thrikkakara,GEN,Benny Behanan,INC,65854,M. E. Hassainar,CPI(M),43448,22406,159877,117853,73.70%
84,Kunnathunad (SC),SC,V. P. Sajeendran,INC,63624,M. A. Surendran,CPI(M),54892,8732,153097,127972,83.60%
85,Piravom,GEN,T. M. Jacob,KC(J),66503,M. J. Jacob,CPI(M),66346,157,176352,139928,79.30%
86,Muvattupuzha,GEN,Joseph Vazhackkan,INC,58012,Babu Paul,CPI,52849,5163,154469,116261,75.30%
87,Kothamangalam,GEN,T. U. Kuruvilla,KC(M),52924,Skariah Thomas,IND,40702,12222,144251,107437,74.50%
88,Devikulam (SC),SC,S. Rajendran,CPI(M),51849,A. K. Moni,INC,47771,4078,147855,107059,72.40%
89,Udumbanchola,GEN,K. K. Jayachandran,CPI(M),56923,Jossy Sebastian,INC,47090,9833,153563,110563,72.00%
90,Thodupuzha,GEN,P. J. Joseph,KC(M),66325,Skariah Thomas,IND,43457,22867,177529,127738,72.00%
91,Idukki,GEN,Roshy Augustine,KC(M),65734,C. V. Varghese,CPI(M),49928,15806,169984,119773,70.50%
92,Peerumade,GEN,E. S. Bijimol,CPI,56748,E. M. Augusthy,INC,51971,4777,165380,115204,69.70%
93,Pala,GEN,K. M. Mani,KC(M),61239,Mani C. Kappan,NCP,55980,5259,169192,124619,73.70%
94,Kaduthurthy,GEN,Mons Joseph,KC(M),68787,Stephen George,KC(AMG),45730,23057,171486,122026,71.20%
95,Vaikom (SC),SC,K. Ajith,CPI,62603,A. Saneeshkumar,INC,52035,10568,153672,121265,78.90%
96,Ettumanoor,GEN,K. Suresh Kurup,CPI(M),57381,Thomas Chazikadan,KC(M),55580,1801,150807,118257,78.40%
97,Kottayam,GEN,Thiruvanchoor Radhakrishnan,INC,53825,V. N. Vasavan,CPI(M),53114,711,148225,114901,77.50%
98,Puthuppally,GEN,Oommen Chandy,INC,69922,Suja Susan George,CPI(M),36667,33255,157222,117035,74.40%
99,Changanassery,GEN,C. F. Thomas,KC(M),51019,B. Ekbal,CPI(M),48465,2554,149193,108257,72.60%
100,Kanjirappally,GEN,N. Jayaraj,KC(M),57021,Suresh T. Nair,CPI(M),44815,12206,161648,113141,70.00%
101,Poonjar,GEN,P. C. George,KC(M),59809,Mohan Thomas,IND,44105,15704,167928,117809,70.20%
102,Aroor,GEN,A. M. Ariff,CPI(M),76675,A. A. Shukoor,INC,59823,16852,174130,146676,84.20%
103,Cherthala,GEN,P. Thilothaman,CPI,86193,K. R. Gouriamma,JPSS,67878,18315,190806,162283,85.10%
104,Alappuzha,GEN,T. M. Thomas Issac,CPI(M),75857,J. P. Mathew,INC,59515,16342,173942,141243,81.20%
105,Ambalappuzha,GEN,G. Sudhakaran,CPI(M),63728,M. Liju,INC,47148,16580,146890,116966,79.60%
106,Kuttanad,GEN,Thomas Chandy,NCP,60010,K. C. Joseph,KC(M),52039,7971,150213,118110,78.60%
107,Haripad,GEN,Ramesh Chennithala,INC,67378,G. Krishnaprasad,CPI,61858,5520,171834,134680,78.40%
108,Kayamkulam,GEN,C. K. Sadasivan,CPI(M),67409,M. Murali,INC,66094,1315,182036,139626,76.70%
109,Mavelikara (SC),SC,R. Rajesh,CPI(M),65903,K. R. Gouriamma,JPSS,60754,5149,177797,133686,75.20%
110,Chengannur,GEN,P. C. Vishnunath,INC,65156,C. S. Sujatha,CPI(M),52656,12500,176873,125345,70.90%
111,Thiruvalla,GEN,Mathew T. Thomas,JD(S),63289,Victor T. Thomas,KC(M),52522,10767,193874,126642,65.30%
112,Ranni,GEN,Raju Abrham,CPI(M),58391,Peelipose Thomas,INC,51777,6614,175669,120361,68.50%
113,Aranmula,GEN,K. Sivadasan Nair,INC,64845,K. Rajagopalan,CPI(M),58334,6511,207256,135975,65.60%
114,Konni,GEN,Adoor Prakash,INC,65724,M. S. Rajendran,CPI(M),57950,7774,182423,131053,71.80%
115,Adoor (SC),SC,Chittayam Gopakumar,CPI,63501,Pandalam Sudhakaran,INC,62894,607,194044,135057,69.60%
116,Karunagappally,GEN,C. Divakaran,CPI,69086,A. N. Rajanbabu,JPSS,54565,14521,182552,137807,75.50%
117,Chavara,GEN,Shibu Baby John,KRSP,65002,N. K. Premachandran,RSP,58941,6061,159664,127068,79.60%
118,Kunnathur (SC),SC,Kovoor Kunjomon,RSP,71923,P. K. Ravi,JPSS,59835,12088,194417,143918,74.00%
119,Kottarakkara,GEN,P. Aisha Potty,CPI(M),74069,N. Murali,KC(B),53477,20592,184917,137437,74.30%
120,Pathanapuram,GEN,K. B. Ganesh Kumar,KC(B),71421,K. Rajagopal,CPI(M),51019,20402,172960,128367,74.20%
121,Punalur,GEN,K. Raju,CPI,72648,Johnson Abraham,INC,54643,18005,187071,133245,71.20%
122,Chadayamangalam,GEN,Mullakkara Ratnakaran,CPI,71231,Shahida Kamal,INC,47607,23624,177610,127429,71.70%
123,Kundara,GEN,M. A. Baby,CPI(M),67135,P. Jermias,INC,52342,14793,178766,127924,71.60%
124,Kollam,GEN,P. K. Gurudasan,CPI(M),57986,K. C. Rajan,INC,49446,8540,160475,114018,71.10%
125,Eravipuram,GEN,A. A. Azeez,RSP,51271,P.K.K. Bawa,IUML,43259,8012,153565,104645,68.10%
126,Chathanoor,GEN,G. S. Jayalal,CPI,60187,Bindu Krishna,INC,47598,12589,160775,114298,71.10%
127,Varkala,GEN,Varkala Kahar,INC,57755,A. A. Rahim,CPI(M),47045,10710,151930,110227,72.60%
128,Attingal (SC),SC,B. Satyan,CPI,63558,Thankamony Diwakaran,INC,33493,30065,171684,114638,66.80%
129,Chirayinkeezhu (SC),SC,V. Sasi,CPI,59601,K. Vidyadharan,INC,47376,12225,169988,112603,66.20%
130,Nedumangad,GEN,Palode Ravi,INC,59789,P. Ramachandran Nair,CPI,54759,5030,175795,124907,71.10%
131,Vamanapuram,GEN,Koliakode N. Krishnan Nair,CPI(M),57381,C. Mohanchandran,INC,55145,2236,174411,123376,70.70%
132,Kazhakootam,GEN,M. A. Vaheed,INC,50787,K. Rajagopalan,CPI(M),48591,2196,163199,109498,67.10%
133,Vattiyoorkavu,GEN,K. Muraleedharan,INC,56531,Philip Cheriyan,IND,40364,16167,175398,112637,64.20%
134,Thiruvananthapuram,GEN,V. S. Sivakumar,INC,49122,V. Surendran Pillai,KC(AMG),43770,5352,177442,107092,60.40%
135,Nemom,GEN,V. Sivankutty,CPI(M),50076,O. Rajagopal,BJP,43861,6215,172493,116474,67.50%
136,Aruvikkara,GEN,G. Karthikeyan,INC,56797,A. Sreedharan Nair,RSP,46123,10674,165638,116418,70.30%
137,Parassala,GEN,A. T. George,INC,60578,Anavoor Nagappan,CPI(M),60073,505,188442,135211,71.80%
138,Kattakada,GEN,N. Sakthan,INC,52368,M. V. Jayadali,IND,39452,12916,166306,117347,70.60%
139,Kovalam,GEN,Jameela Prakasam,JD(S),59510,George Mercier,INC,52305,7305,183615,125008,68.10%
140,Neyyatinkara,GEN,R. Selvaraj,CPI(M),54711,Thampanoor Ravi,INC,48009,6702,157851,111698,70.80%
