S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
1,Manjeshwar,GEN,P. B. Abdul Razak,IUML,49817,K. Surendran,BJP,43989,5828,176817,132973,75.20%
2,Kasaragod,GEN,N. A. Nellikkunnu,IUML,53068,Jayalakshmi N. Bhatt,BJP,43330,9738,159289,117031,73.50%
3,Udma,GEN,K. Kunhiraman,CPI(M),61646,C.K. Sreedharan,INC,50266,11380,173529,128626,74.10%
4,Kanhangad,GEN,E. Chandrasekharan,CPI(M),66640,M.C. Jose,INC,54462,12178,178186,139841,78.50%
5,Thrikaripur,GEN,K. Kunhiraman,CPI(M),67871,E. Gangadharan,INC,59106,8765,169761,135988,80.10%
6,Payyanur,GEN,C. Krishnan,CPI(M),78116,K. Brijesh Kumar,INC,45992,32124,158613,130666,82.40%
7,Kalliasseri,GEN,T. V. Rajesh,CPI(M),73190,P. Indira,INC,43244,29966,157384,124854,79.30%
8,Taliparamba,GEN,James Mathew,CPI(M),81031,Job Michel,KC(M),53170,27861,174788,144363,82.60%
9,Irikkur,GEN,K. C. Joseph,INC,68503,P. Santhosh Kumar,CPI,56746,11757,169262,130703,77.20%
10,Azhikode,GEN,K. M. Shaji,IUML,55077,M. Prakashan Master,CPI(M),54584,493,147782,121832,82.40%
11,Kannur,GEN,A. P. Abdullakutty,INC,55427,Ramchandran Kaddanappalli,IND,48984,6443,143828,113360,78.80%
12,Dharmadam,GEN,K. K. Narayanan,CPI(M),72354,Mambaram Divakaran,INC,57192,15162,163674,136177,83.20%
13,Thalassery,GEN,Kodiyeri Balakrishnan,CPI(M),66870,Rijil Makkutty,INC,40361,26509,149689,117763,78.70%
14,Kuthuparamba,GEN,K. P. Mohanan,SJ(D),57164,S. A. Puthiya Valappil,IND,53861,3303,160335,127929,79.80%
15,Mattanur,GEN,E. P. Jayarajan,CPI(M),75177,Joseph Chaavara,SJ(D),44665,30512,160711,132947,82.70%
16,Peravoor,GEN,Sunny Joseph,INC,56151,K. K. Shailaja,CPI(M),52711,3440,145983,116813,80.00%
17,Mananthavady (ST),ST,P. K. Jayalakshmi,INC,62996,K. C. Kunhiraman,CPI(M),50262,12734,167097,124052,74.20%
