Sl No.,Constituency Name,Type,Winner Candidates Name,Party,Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
48,Malampuzha,GEN,E. K. Nayanar,CPM,35333,K. Rajan,JNP,19776,304,97784,62399,63.80%
49,Palghat,GEN,C. M. Sundaram,IND,35902,K. A. Chandran,INC(U),25695,2532,102658,73265,71.40%
50,Chittur,GEN,K. Krishnankutty,JNP,23882,P. Sankar,CPI,23578,6320,100428,64317,64.00%
51,Kollengode,GEN,C. Vasudeva Menon,CPM,36688,A. Sunna Sahib,INC(I),34156,5982,104295,67274,64.50%
52,Coyalmannam,SC,T. K. Arumughan,CPM,34530,V. Mani,INC(I),28210,1125,92321,63876,69.20%
53,Alathur,GEN,C. T. Krishnan,CPM,36244,K. P. Kaladharan,IND,30262,2267,96961,68765,70.90%
54,Chelakara,SC,K. K. Balakrishnan,INC(I),32024,K. S. Sankaran,CPM,30899,16706,95195,59678,62.70%
55,Wadakkanchery,GEN,K. S. Narayanan Namboodri,INC(I),34658,A. Padmanabhan,CPM,32391,6720,88139,66412,75.30%
56,Kunnamkulam,GEN,K. P. Viswanathan,INC(U),33127,N. Madhava,IND,16421,3424,93417,63291,67.80%
57,Cherpu,GEN,K. P. Prabhakaran,CPI,35973,Therambil Ramakrishnan,IND,29253,25,90478,65863,72.80%
58,Trichur,GEN,M. K. Kannan,CPM,32296,K. J. George,JNP,28872,4520,91986,65886,71.60%
59,Ollur,GEN,Raghavan Poshakadavil,INC(I),32302,Francis P. R.,INC(U),32277,129,84682,64416,76.10%
60,Kodakara,GEN,Lonappan Nambadan,KEC,29023,V. L. Lonappan,INC(I),24503,3402,87250,69805,80.00%
61,Chalakudi,GEN,P. K. Ittoop,KEC,30786,P. A. Thomas,INC(I),30657,7690,92029,65842,71.50%
62,Mala,GEN,K. Karunakaran,INC(I),35964,Paul Kokkat,CPM,32562,7932,82737,63454,76.70%
63,Irinjalakuda,GEN,Joes Thanickal,INC(U),36086,A. P. George,JNP,28396,1752,89669,59623,66.50%
64,Manalur,GEN,V. M. Sudheeran,INC(U),35551,N. I. Devassikutty,INC(I),27619,4563,86496,59785,69.10%
65,Guruvayoor,GEN,B. V. Seethi Thangal,MUL,30176,C. K. Kumaran,CPM,28424,2520,90449,69203,76.50%
66,Nattika,GEN,P. K. Gopalakrishnan,CPI,31463,K. Moidu,JNP,26900,1806,97744,81707,83.60%
67,Kodungallur,GEN,V. K. Rajan,CPI,35567,Kollickatharan Ravi,IND,33047,11747,87732,65494,74.70%
68,Ankamali,GEN,A. P. Kurrian,CPM,40565,P. J. Joy,JNP,38759,4485,79528,61147,76.90%
69,Vadakkekara,GEN,T. K. Abdu,CPM,38387,P. N. Sukumaran Nair,JNP,26640,2973,86230,67844,78.70%
70,Parur,GEN,A. C. Jose,INC(U),31246,K. P. George,IND,26761,577,105573,73954,70.10%
70 2,Parur,GEN,A.C.Jose,IND,32781,S.Pillai,CPI,31335,1786,85706,53044,61.90%
71,Narakkal,SC,M. K. Krishnan,CPM,34932,T. K. C. Vaduthala,IND,31959,7216,102639,77400,75.40%
72,Ernakulam,GEN,A. L. Jacob,INC(I),36668,K. N. Ravindranath,CPM,36091,10093,105929,80505,76.00%
73,Mattancherry,GEN,M. J. Zakaria,IML,26543,A. S. Abdulrahiman,JNP,24757,6329,110234,88749,80.50%
74,Palluruthy,GEN,T. P. Peethambaran Master,INC(U),40879,T. T. Mathew,KCJ,33663,7070,94147,76000,80.70%
75,Thrippunithura,GEN,T. K. Ramakrishnan,CPM,44813,H. N. Velayudhan Nair,IND,34720,433,90515,74131,81.90%
76,Alwaye,GEN,K. Mohammed Ali,INC(U),46291,T. H. Mustaffa,INC(I),39962,3251,92214,74424,80.70%
77,Perumbavoor,GEN,P. R. Sivan,CPM,40525,Kochunny Master A. A.,INC(I),33455,3521,93794,72010,76.80%
78,Kunnathunad,GEN,P. P. Esthose,CPM,36460,P. P. Thankachan,INC(I),36027,7513,93401,74043,79.30%
79,Piravom,GEN,P. C. Chaeko,INC(U),38659,C. Paulose,IND,35408,10317,100291,78100,77.90%
80,Muvattupuzha,GEN,V. Joseph,KCJ,37044,Johny Nelloor Varkey,KEC,33523,16395,107644,58641,54.50%
81,Kothamangalam,GEN,T. M. Jacob,KCJ,40356,M. V. Mani,KEC,32843,4529,99224,63957,64.50%
82,Thodupuzha,GEN,P. J. Joseph,KCJ,43410,Kusuman Joseph,INC(U),33093,5387,122053,74934,61.40%
83,Devicolam,SC,G. Varadan,CPM,36346,P. A. Prakash,IND,19951,3351,90466,67884,75.00%
84,Idukki,GEN,Jose Kuttyani,INC(I),33367,V. T. Sebastian,KEC,28838,2005,92458,66404,71.80%
85,Udumbanchola,GEN,Thomas Joseph,KEC,38417,Pachady Sreedaran,IND,33030,11442,83476,59578,71.40%
86,Peermade,GEN,C. A. Kurian,CPI,34795,Michaal Manarkattu,INC(I),31444,2633,92211,71715,77.80%
87,Kanjirappally,GEN,Thomas Kallampally,KEC,33172,Joseph Varanam,KCJ,31167,11964,98718,67292,68.20%
88,Vazhoor,GEN,M. K. Joseph,KEC,27819,P. S. John,INC(I),16377,374,99324,69782,70.30%
89,Changanacherry,GEN,C. F. Thomas,KEC,37041,K. J. Chacko,KCJ,34408,13659,101676,65440,64.40%
90,Kottayam,GEN,K. M. Abraham,CPM,37588,P. B. R. Pillai,JNP,25624,1148,82769,59261,71.60%
91,Ettumanoor,GEN,Vaikom Viswan,CPM,34239,George Joseph Podipara,IND,33865,4566,89758,73696,82.10%
92,Puthuppally,GEN,Oommen Chandy,INC(U),38612,M. R. G. Panicker,IND,24953,1286,89813,67265,74.90%
93,Poonjar,GEN,P. C. George,KCJ,25806,V. J. Joseph,KEC,24658,12492,94340,69334,73.50%
94,Palai,GEN,K. N. Mani,KEC,38739,M. M. Jacob,INC(I),34173,12364,90496,77467,85.60%
95,Kaduthuruthy,GEN,O. Lukose,KEC,32863,E. J. Lukose,KCJ,31577,11413,82654,68038,82.30%
96,Vaikom,SC,M. K. Kesavan,CPI,40590,Gopalan,IND,28098,9829,104652,82705,79.00%
97,Aroor,GEN,K. R. Gouri,CPM,44219,T. K. Sadanandan (Sadanadan Kunjan),INC(I),31855,1003,91245,70002,76.70%
98,Sherthalai,GEN,P. S. Sreenivasan,CPI,38613,Joseph Mathan,JNP,27200,3125,87812,69119,78.70%
99,Mararikulam,GEN,A. V. Thamarakshan,RSP,45714,Raju Gangadharan,IND,35885,4090,90917,71000,78.10%
100,Alleppey,GEN,P. K. Vasudevan Nair,CPI,34786,K. P. Ramchandran Nair,IND,33783,3409,98453,81603,82.90%
101,Ambalapuzha,GEN,P. K. Chandranandan,CPM,36009,V. Dinakaran,IND,32884,11602,91374,71267,78.00%
102,Kuttanad,GEN,Ooman Mathew,KCJ,37346,K. P. Joseph,CPM,33256,1200,79406,58519,73.70%
103,Haripad,GEN,C. B. Warrier,CPM,41514,G. P. Mangalathu Madem,INC(I),38105,5138,83676,56707,67.80%
104,Kayamkulam,GEN,Thachedy Prabhakaran,INC(U),41320,Thundathil Kunjukrishna Pillai,INC(I),29718,3106,83500,59702,71.50%
105,Thiruvalla,GEN,P. C. Thomas,JNP,29485,Varghese Karippavil,KCP,28285,4300,89686,69241,77.20%
106,Kallooppara,GEN,K. A. Mathew,KCJ,29399,C. A. Mathew,KEC,24261,5927,94230,71953,76.40%
107,Aranmula,GEN,K. K. Sreenivasan,INC(I),30227,Thoppil Ravi,INC(U),27121,7514,100679,75927,75.40%
108,Chengannur,GEN,K. R. Saraswathi Amma,IND,35910,Thomas Kuthiravattom,KEC,31610,1146,85262,63305,74.20%
109,Mavelikara,GEN,S. Govinda Kurup,CPM,37990,N. Bhaskaran Nair,IND,32063,1983,92163,68775,74.60%
110,Pandalam,SC,P. K. Velayudhan,INC(U),39890,P. S. Rajan,INC(I),32376,2053,85539,65912,77.10%
111,Ranni,GEN,M. C. Cherian,INC(U),31243,Sunny Panavelil,INC(I),30097,9199,92164,68412,74.20%
112,Pathanamthitta,GEN,K. K. Nair,IND,27549,Eapan Varughese,KCJ,25566,2213,100598,71985,71.60%
113,Konni,GEN,V. S. Chandra Sekhar Pillai,CPM,33107,G. Gopinadhan Nair,INC(U),31054,10884,82878,58324,70.40%
114,Pathanapuram,GEN,E. K. Pillai,CPI,37527,Bava Sahib,IND,28328,36711,83986,65559,78.10%
115,Punalur,GEN,P. K. Sreenivasan,CPI,36133,Sam Oommen Oommen,KCJ,33920,6257,86673,65048,75.00%
115 2,Punalur,GEN,V.S.Pillai,KCJ,46553,P.K.Sreenivasan,CPI,45579,3313,89683,62150,69.30%
116,Chadayamangalam,GEN,E. Chandrasekharan Nair,CPI,33991,Valiyaveedan Mohammed Kunju,MUL,23107,10896,99368,73170,73.60%
117,Kottarakkara,GEN,R. Balakrishna Pillai,KCP,48473,Thevannoor Sreedharan Nair,IND,11762,1989,90015,70901,78.80%
118,Neduvathur,SC,C. K. Thankappan,CPM,35041,M. R. Kottara,INC(I),28784,16613,88209,69321,78.60%
119,Adoor,GEN,C. P. Karunakaran Pillai,CPM,31639,Thennala Balakrishna Pillai,INC(I),28326,12371,86193,68525,79.50%
120,Kunnathur,SC,Kallada Narayanan,RSP,40582,Kottakkuzhy Sukumaran,JNP,29686,2414,98333,70506,71.70%
121,Karunagappally,GEN,B. M. Sheriff,CPI,35831,T. V. Vijayarajan,IND,33842,13569,104017,78825,75.80%
122,Chavara,GEN,Baby John,RSP,41448,C. Rajendran,JNP,24835,5367,95044,68150,71.70%
123,Kundara,GEN,V. V. Joseph,CPM,39690,V. Sankara Narayana Pillai,INC(I),27319,7261,91339,61873,67.70%
124,Quilon,GEN,K. Sivadasan,RSP,35749,C. V. Padmarajan,INC(I),33335,13073,92008,60547,65.80%
125,Eravipuram,GEN,R. S. Unni,RSP,45281,A. Yunus Kunju,MUL,31712,21752,101740,53299,52.40%
126,Chathanoor,GEN,J. Chitharanjan,CPI,34037,Varinjam Vasu Pillai,JNP,28670,12060,92744,67358,72.60%
127,Varkala,GEN,Varkala Radhakrishan,CPM,34148,G. Karthikeyan,INC(I),26887,1286,84776,57588,67.90%
128,Attingal,GEN,Vakkom Purushothaman,INC(U),35634,Vakkom Devarajan,IND,22561,6300,96716,65216,67.40%
129,Kilimanoor,SC,Bhargavi Thunkappan,CPI,36513,V. K. Ram,JNP,14761,2800,101393,70553,69.60%
130,Vamanapuram,GEN,Koliyakode N. Krishnan Nair,CPM,38333,A. Nafeesath Beevi,INC(I),26273,2260,108038,72906,67.50%
131,Ariyanad,GEN,K. Pankajakshan,RSP,29108,Charupara Ravi,JNP,27822,5259,106255,64300,60.50%
132,Nedumangad,GEN,K. V. Surendranath,CPI,33919,Purathekattu Chandrasekharan Nair,IND,27619,785,102573,67964,66.30%
133,Kazhakuttam,GEN,N. M. Hassan,INC(U),35739,Lakshmanen Vaidyan,INC(I),32939,7277,97274,69198,71.10%
134,Trivandrum North,GEN,K. Anirudhan,CPM,36460,R. Sundaresan Nair,JNP,34200,7521,105846,73793,69.70%
135,Trivandrum West,GEN,P. A. Mohemmed Kannu,MUL,31490,K. C. Vamadevan,RSP,26231,9644,99296,70931,71.40%
136,Trivandrum East,GEN,C. S. Neelakantan Nair,IND,33519,K. Sankaranarayana Pillai,INC(U),32734,14559,94757,67098,70.80%
137,Nemom,GEN,E. Ramesan Nair,INC(I),37589,S. Varaderajan Nair,INC(U),30312,,,,
138,Kovalam,GEN,M. R. Raghu Chandra Bal,INC(I),40047,V. Thankayyan,CPI,32526,,,,
139,Neyyattinkara,GEN,R. Sundaresan Nair,IND,39975,R. Parameswaran Pillai,CPM,30331,,,,
140,Parassala,GEN,N. Sundaran Nadar,INC(I),40680,M. Sathynesan,CPM,26121,,,,
