S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
66,Ollur,GEN,K. Rajan,CPI(M),71666,M. P. Vincent,INC,58418,13248,193094,149568,77.50%
67,Thrissur,GEN,V. S. Sunil Kumar,CPI,53664,Padmaja Venugopal,INC,46677,6987,172138,126063,73.20%
68,Nattika (SC),SC,Geetha Gopi,CPI,70218,K. V. Dasan,INC,43441,26777,196680,149609,76.10%
69,Kaipamangalam,GEN,E. T. Taison Master,CPI,66824,M. T. Muhammad Nahas,RSP,33384,33440,169809,134161,79.00%
70,Irinjalakuda,GEN,K. U. Arunan,CPI(M),59730,Thomas Unniyadan,KC(M),57019,2711,191743,148467,77.40%
71,Puthukkad,GEN,C. Raveendranath,CPI(M),79464,Sundaran Kunnathully,INC,40986,38478,195008,157942,81.00%
72,Chalakudy,GEN,B. D. Devassy,CPI(M),74251,T. U. Radhakrishnan,INC,47603,26648,190396,149655,78.60%
73,Kodungallur,GEN,V. R. Sunil Kumar,CPI,67909,K. P. Dhanapalan,INC,45118,22791,186659,147691,79.10%
74,Perumbavoor,GEN,Eldhose Kunnappilly,INC,64285,Mammikutty P.,CPI(M),57197,7288,172897,144896,83.80%
75,Angamaly,GEN,Roji M. John,INC,66666,Benny Moonjely,JD(S),57480,9186,163530,135346,82.80%
76,Aluva,GEN,Anwar Sadath,INC,69568,V. Saleem,CPI(M),50733,18835,176344,146055,82.80%
77,Kalamassery,GEN,V. K. Ebrahim Kunju,IUML,68726,A. M. Yousaf,CPI(M),56608,12118,190374,153801,80.80%
78,Paravur,GEN,V. D. Satheesan,INC,74985,Sarada Mohan,CPI,54351,20634,191015,159676,83.60%
79,Vypen,GEN,S. Sharma,CPI(M),68526,K. R. Subhash,INC,49173,19353,164055,130259,79.40%
80,Kochi,GEN,K. J. Maxi,CPI(M),47967,Dominic Presentation,INC,46881,1086,171216,122952,71.80%
81,Thrippunithura,GEN,M. Swaraj,CPI(M),62697,K. Babu,INC,58230,4467,198003,153657,77.60%
82,Ernakulam,GEN,Hibi Eden,INC,57819,M. Anil Kumar,CPI(M),35870,21949,153884,109568,71.20%
83,Thrikkakara,GEN,P. T. Thomas,INC,61451,Sebastian Paul,CPI(M),49455,11996,181025,134029,74.00%
84,Kunnathunad (SC),SC,V. P. Sajeendran,INC,65445,Shiji Shivaji,CPI(M),62766,2679,172383,147138,85.40%
85,Piravom,GEN,Anoop Jacob,KC(J),73770,M. J. Jacob,CPI(M),67575,6195,199652,160206,80.20%
86,Muvattupuzha,GEN,Eldho Abraham,CPI,70269,Joseph Vazhackkan,INC,60894,9375,177766,141983,79.90%
87,Kothamangalam,GEN,Antony John,CPI(M),65467,T. U. Kuruvilla,KC(M),46185,19282,159374,127624,80.10%
88,Devikulam (SC),SC,S. Rajendran,CPI(M),49510,A. K. Moni,INC,43728,5782,164701,116461,70.70%
89,Udumbanchola,GEN,M. M. Mani,CPI(M),50813,Senapathy Venu,INC,49704,1109,166519,125416,75.30%
90,Thodupuzha,GEN,P. J. Joseph,KC(M),76564,Roy Varicattu,IND,30977,46587,195762,140355,71.70%
91,Idukki,GEN,Roshy Augustine,KC(M),60556,K. Francis George,IND,51223,9333,183876,140845,76.60%
92,Peerumade,GEN,E. S. Bijimol,CPI,56584,Syriac Thomas,INC,56270,314,175275,128320,73.20%
93,Pala,GEN,K. M. Mani,KC(M),56884,Mani C. Kappan,NCP,54181,2603,179829,138868,77.20%
94,Kaduthurthy,GEN,Mons Joseph,KC(M),73393,Skaria Thomas,KC(ST),31537,42256,182300,125639,68.90%
95,Vaikom (SC),SC,C. K. Asha,CPI,61997,A. Saneeshkumar,INC,37413,24584,162057,131248,81.00%
96,Ettumanoor,GEN,K. Suresh Kurup,CPI(M),53805,Thomas Chazhikadan,KC(M),44906,8899,164993,131704,79.80%
97,Kottayam,GEN,Thiruvanchoor Radhakrishnan,INC,73894,Reji Sakhariya,CPI(M),40262,33632,163783,128120,78.20%
