S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,G. Palani Raja,DMK,7396,63.71%,A. V. Vaithilingam,AIADMK,3456,29.77%,3940,15512,12114,78.10%
2,Cassicade,GEN,V. Kathirvelu,INC(I),3948,51.63%,Ansari P. Duraisamy,JP,1716,22.44%,2232,10953,7986,72.90%
3,Raj Bhavan,GEN,L. Joseph Mariadass,DMK,1880,45.92%,V. Subbiah,CPI,1082,26.43%,798,6566,4298,65.50%
4,Bussy,GEN,C. M. Achraff,INC(I),2898,69.36%,R. P. Joseph,AIADMK,716,17.14%,2182,5890,4307,73.10%
5,Oupalam,GEN,Sitha Vedanayagam,DMK,5419,70.06%,C. N. Parthasarathy,AIADMK,2177,28.14%,3242,10315,7983,77.40%
6,Orleampeth,GEN,Na. Manimaran Alias Na. Marimuthu,DMK,5721,59.70%,P. K. Loganathan,AIADMK,2820,29.43%,2901,13359,10101,75.60%
7,Nellithope,GEN,P. Ramalingam,DMK,4019,53.80%,B. Manimaran,AIADMK,2110,28.25%,1909,10171,7897,77.60%
8,Mudaliarpet,GEN,V. Kothandaraman Sababathy,INC(I),5258,48.39%,M. Manjini,CPI,2950,27.15%,2308,13692,11268,82.30%
9,Ariankuppam,GEN,P. Subbarayan,DMK,5900,57.57%,M. Pandurangan,AIADMK,3628,35.40%,2272,13362,10949,81.90%
10,Embalam,SC,G. Murugesan,INC(I),5033,68.30%,N. Ramajayam,AIADMK,1773,24.06%,3260,9279,7755,83.60%
11,Nettapakkam,GEN,R. Subbaraya Gounder,JP,4201,49.89%,V. Vaithilingam,INC(I),4076,48.40%,125,9669,8689,89.90%
12,Kuruvinatham,GEN,M. A. Shanmugam,DMK,3738,42.59%,K. R. Subramaniya Padayachi,JP,2725,31.05%,1013,10471,9269,88.50%
13,Bahour,SC,P. Uthiravelu,JP,4154,51.40%,A. Ramamurthy,CPI,2562,31.70%,1592,10093,8486,84.10%
14,Thirubuvanai,SC,P. Cattavarayane,INC(I),6001,72.08%,D. Annamalai,AIADMK,2269,27.26%,3732,10725,8560,79.80%
15,Mannadipet,GEN,D. Ramachandran,DMK,5598,61.09%,S. Manickavachakan,AIADMK,3566,38.91%,2032,10691,9539,89.20%
16,Ossudu,SC,P. Murthy,DMK,5122,66.48%,K. Dhakshinamurthy,AIADMK,2374,30.82%,2748,10121,8168,80.70%
17,Villianur,GEN,M. Venugopal,DMK,3810,44.23%,S. Sellappan Alias Meenakshisundaram,AIADMK,3065,35.58%,745,11101,9125,82.20%
18,Ozhukarai,GEN,G. Perumal Raja,DMK,5493,65.98%,R. Somasimdara,AIADMK,2685,32.25%,2808,10598,8944,84.40%
19,Thattanchavady,GEN,V. Pethaperumal,JP,4824,48.85%,N. Kandeban,CPI,2554,25.86%,2270,13094,10326,78.90%
20,Reddiarpalayam,GEN,Renuka Appadurai,INC(I),5409,52.49%,N. Gurusamy,CPI,2516,24.42%,2893,13974,10695,76.50%
21,Lawspet,GEN,M. O. H. Farook,INC(I),8980,78.68%,G. Gopalakrishnan,AIADMK,2126,18.63%,6854,14170,11744,82.90%
22,Cotchery,GEN,G. Panjavarnam,DMK,4133,49.93%,T. Subbaiya,Independent,2504,30.25%,1629,10417,8815,84.60%
23,Karaikal North,GEN,V. M. Salih Maricar,Independent,4778,55.25%,M. Jembulingam,JP,2194,25.37%,2584,13229,9102,68.80%
24,Karaikal South,GEN,S. Savarirajan,INC(I),4867,64.40%,S. Ramassamy,AIADMK,2218,29.35%,2649,9949,7777,78.20%
25,Neravy T R Pattinam,GEN,V. M. C. Sivakumar,DMK,5315,57.35%,V. M. C. Varada Pillai,AIADMK,3953,42.65%,1362,11479,9528,83.00%
26,Thirunallar,GEN,N. V. Ramalingam,DMK,3573,44.44%,A. Soundararengam,AIADMK,3400,42.29%,173,10025,8421,84.00%
27,Nedungadu,SC,M. Chandirakasu,INC(I),4981,65.23%,P. Natesan,AIADMK,1751,22.93%,3230,9629,8035,83.40%
28,Mahe,GEN,K. V. Raghavan,CPI(M),2638,48.17%,C. V. Sulaiman Hajee,Independent,2174,39.70%,464,7433,5738,77.20%
29,Palloor,GEN,N. K. Sachindranath,INC(I),2567,45.89%,A. V. Sreedharan,INC(U),2467,44.10%,100,7189,5756,80.10%
30,Yanam,GEN,Kamisetty Parasuram Naidu,Independent,2433,48.43%,Abdul Khader Jeelani Mohammed,INC(I),2165,43.09%,268,5981,5228,87.40%
