S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Mannadipet,GEN,T. P. R. Selvame,AINRC,7679,28.18602261,A. Krishnan,DMK,7260,1.537953311,419,30697,27244,88.80%
2,Thirubuvanai (SC),SC,B. Kobiga,AINRC,12143,45.55789,P. Angalane,INC,10711,5.372551962,1432,30418,26654,87.60%
3,Ossudu (SC),SC,E. Theeppainthan,INC,8675,33.51361793,A. K. Saravanan Kumar,BJP,6345,9.001352134,2330,28962,25885,89.40%
4,Mangalam,GEN,S. V. Sugumaran,AINRC,13955,45.13697966,S. Kumaravel,DMK,8392,17.993337,5563,34819,30917,88.80%
5,Villianur,GEN,A. Namassivayam,INC,18009,57.92910448,Jayakumar,AINRC,9728,26.6372877,8281,36748,31088,84.60%
6,Ozhukarai,GEN,M. N. R. Balan,INC,14703,48.590502,N.G. Pannirselvam,AINRC,7596,23.48722694,7107,37347,30259,81.00%
7,Kadirkamam,GEN,N. S. J. Jayabal,AINRC,11690,44.76183183,S. Ramesh,IND,7888,14.55812529,3802,33068,26116,79.00%
8,Indira Nagar,GEN,N. Rangaswamy,AINRC,15463,53.55151515,V. Aroumougam A.K.D.,INC,12059,11.78874459,3404,34502,28875,83.70%
9,Thattanchavady,GEN,Ashok Anand,AINRC,12754,56.08619173,K. Sethu,CPI,5296,32.79683377,7458,30532,22740,74.50%
10,Kamaraj Nagar,GEN,V. Vaithilingam,INC,11618,46.333001,P. Ganesan,ADMK,6512,20.36291127,5106,33297,25075,75.30%
11,Lawspet,GEN,V.P. Sivakolundhu,INC,12144,47.91477609,M. Vaithianathan,IND,5695,25.44486092,6449,30911,25345,82.00%
12,Kalapet,GEN,M. O. H. F. Shahjahan,INC,9839,35.56479306,P.M.L. Kalyanasundaram,IND,9205,2.29170432,634,31994,27665,86.50%
13,Muthialpet,GEN,Vaiyapuri Manikandan,ADMK,9257,40.14310494,J. Pregash Kumar,AINRC,7093,9.384215091,2164,28847,23060,79.90%
14,Raj Bhavan,GEN,K. Lakshminarayan,INC,9445,48.41107125,P. Kannan,ADMK,7220,11.404408,2225,25710,19510,75.90%
15,Oupalam,GEN,A. Anbalagan,ADMK,9411,40.65753661,Annibal Kennedy,DMK,8503,3.922754569,908,26889,23147,86.10%
16,Orleampeth,GEN,R. Siva,DMK,11110,54.86961675,G.Nehru,AINRC,8130,14.71750296,2980,24268,20248,83.40%
17,Nellithope,GEN,A. Johnkumar,INC,18506,70.19154182,Omsakthi Sekar,ADMK,6365,46.04968709,12141,31362,26365,84.10%
18,Mudaliarpet,GEN,A. Baskar,ADMK,14321,51.36288645,V. Balan,AINRC,8934,19.3207087,5387,33296,27882,83.70%
19,Ariankuppam,GEN,T. Djeamourthy,INC,14029,45.99822945,M.A.S.Subramanian,ADMK,7458,21.54496869,6571,35829,30499,85.10%
20,Manavely,GEN,R. K. R. Anantharaman,INC,9326,34.58300886,G. Suresh,AINRC,6611,10.06786072,2715,31240,26967,86.30%
21,Embalam (SC),SC,M. Kandaswamy,INC,18945,66.8607729,U. Lakshmikandhan,AINRC,7745,39.52708664,11200,31374,28335,90.30%
22,Nettapakkam (SC),SC,V. Vizeaveny,INC,10577,39.40906889,P. Rajavelu,AINRC,9109,5.469652372,1468,30656,26839,87.50%
23,Bahour,GEN,N. Danavelou,INC,11278,46.01011749,T. Thiagarajan,AINRC,8471,11.45153394,2807,27917,24512,87.80%
24,Nedungadu (SC),SC,Chandirapriyanga,AINRC,8789,35.09003074,A. Marimottou,INC,7695,4.367788558,1094,30611,25047,81.80%
25,Thirunallar,GEN,R. Kamalakannan,INC,13138,51.76924896,P. R. Siva,AINRC,10263,11.32870991,2875,30136,25378,84.20%
26,Karaikal North,GEN,P. R. N. Thirumurugan,AINRC,13139,50.15651244,M.V.Omalingam,ADMK,9841,12.58970835,3298,32654,26196,80.20%
27,Karaikal South,GEN,K. A. U. Asana,ADMK,11104,47.34979319,A.M.H. Nazeem,DMK,11084,0.08528421,20,31279,23451,75.00%
28,Neravy T R Pattinam,GEN,Anandan Geetha,DMK,14993,60.7520564,V.M.C. Sivakumar,ADMK,8057,28.10486649,6936,29367,24679,84.00%
29,Mahe,GEN,V. Ramachandran,IND,10797,46.20025674,E. Valsaraj,INC,8658,9.152759949,2139,30113,23370,77.60%
30,Yanam,GEN,Malladi Krishna Rao,INC,20801,61.62346319,Tirikoty Bairava Swamy,AINRC,12047,25.93393571,8754,36555,33755,92.30%
