S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,G. Palani Raja,DMK,10571,55.74%,R. Kalipaerumal Alias Perumal,AIADMK,8394,44.26%,2177,28508,19167,67.20%
2,Cassicade,GEN,P. Kannan,INC,6040,52.52%,S. Anandavelu,DMK,5095,44.30%,945,17494,11597,66.30%
3,Raj Bhavan,GEN,S. P. Sivakumar,DMK,2528,47.58%,L. Joseph Mariadoss,INC,2377,44.74%,151,8625,5354,62.10%
4,Bussy,GEN,C. M. Achraff,INC,2692,48.30%,S. Babu Ansardeen,DMK,2463,44.20%,229,9555,5634,59.00%
5,Oupalam,GEN,N. Naghamuthu,DMK,7378,53.96%,P. K. Loganathan,AIADMK,5956,43.56%,1422,19918,13777,69.20%
6,Orleampeth,GEN,N. Manimaran,DMK,8076,50.47%,M. Pandurangan,AIADMK,7569,47.30%,507,25505,16103,63.10%
7,Nellithope,GEN,R. V. Janakiraman,DMK,6601,41.58%,B. Manimaran,AIADMK,6071,38.24%,530,24612,15985,64.90%
8,Mudaliarpet,GEN,M. Manjini,CPI,8905,45.39%,V. Sababady Kothandraman,INC,8049,41.02%,856,27566,19761,71.70%
9,Ariankuppam,GEN,A. Bakthkavachalam,JD,5950,33.88%,Gopalusamy Alias G. D. Chandran,AIADMK,5265,29.98%,685,24309,17710,72.90%
10,Embalam,SC,K. Deivanayagam,JD,4669,36.96%,K. Sivaloganathan,Independent,3563,28.20%,1106,16223,12812,79.00%
11,Nettapakkam,GEN,V. Vaithilingam,INC,7332,55.34%,N. Devadass,DMK,3193,24.10%,4139,17322,13391,77.30%
12,Kuruvinatham,GEN,R. Ramanathan,DMK,6072,43.99%,P. Purushothaman,AIADMK,4307,31.21%,1765,16477,13929,84.50%
13,Bahour,SC,P. Rajavelu,JD,8223,57.79%,M. Rajagopalan,INC,5179,36.40%,3044,18225,14347,78.70%
14,Thirubuvanai,SC,D. Viswanathan,AIADMK,6743,46.43%,N. Veerappan,DMK,5219,35.94%,1524,19795,14650,74.00%
15,Mannadipet,GEN,D. Ramachandran,DMK,7802,51.00%,R. Somasundaram,AIADMK,6210,40.59%,1592,19331,15407,79.70%
16,Ossudu,SC,N. Marimuthu,INC,5242,40.77%,P. Sundararasu,JD,3514,27.33%,1728,16430,12969,78.90%
17,Villianur,GEN,P. Anandabaskaran,INC,8442,54.30%,M. Venugopal,DMK,4706,30.27%,3736,20438,15685,76.70%
18,Ozhukarai,GEN,M. Rasan Alias Vazhumuni,DMK,8749,54.08%,M. Padmanabhan,AIADMK,6956,43.00%,1793,21285,16290,76.50%
19,Thattanchavady,GEN,V. Pethaperumal,JD,9503,51.31%,N. Rangaswamy,INC,8521,46.00%,982,27900,18645,66.80%
20,Reddiarpalayam,GEN,R. Viswanathan,CPI,11153,50.82%,V. Balaji,INC,8482,38.65%,2671,35043,22109,63.10%
21,Lawspet,GEN,M. O. H. Farook,INC,12637,53.00%,P. Sankaran,CPI(M),9738,40.84%,2899,33391,24049,72.00%
22,Cotchery,GEN,M. Vaithilingam,INC,5189,35.99%,G. Panjavarnam,Independent,5049,35.02%,140,18212,14542,79.80%
23,Karaikal North,GEN,S. M. Thavasu,INC,5394,41.51%,G. Rangayen,JD,3783,29.11%,1611,20424,13072,64.00%
24,Karaikal South,GEN,S. Ramassamy,AIADMK,6012,56.32%,S. Savarirajan,DMK,4228,39.61%,1784,15662,10763,68.70%
25,Neravy T R Pattinam,GEN,V. Ganapathy,AIADMK,7102,51.72%,V. M. C. Sivakumar,DMK,6258,45.57%,844,17113,13849,80.90%
26,Thirunallar,GEN,R. Kamalakkannan,Independent,4124,35.70%,A. Soundararengan,DMK,3698,32.01%,426,15100,11615,76.90%
27,Nedungadu,SC,M. Chandirakasu,INC,6174,55.68%,R. Kuppusamy,Independent,2591,23.37%,3583,14509,11189,77.10%
28,Mahe,GEN,E. Valsaraj,INC,5142,56.05%,Mukkath Jayan,CPI(M),3304,36.01%,1838,11666,9206,78.90%
29,Palloor,GEN,A. V. Sreedharan,INC,5288,58.44%,K. Gangadharan,Independent,2576,28.47%,2712,11876,9111,76.70%
30,Yanam,GEN,Raksha Harikrishna,DMK,4632,42.99%,Velaga Rajeshwara Rao,INC,3027,28.09%,1605,12680,10869,85.70%
