S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,Nandha T. Saravanan,DMK,11658,54.44%,A. Kasilingam,AIADMK,6779,31.66%,4879,25541,21414,83.80%
2,Cassicade,GEN,K. Lakshminarayanan,PMC,4942,49.05%,G. Ravichandiran,INC,4726,46.90%,216,12957,10076,77.80%
3,Raj Bhavan,GEN,S. P. Sivakumar,DMK,2590,65.95%,P. K. Devadoss,PMC,1094,27.86%,1496,5119,3927,76.70%
4,Bussy,GEN,Bussy N. Anand,PMC,2423,54.06%,Annibal Kennedy,DMK,1952,43.55%,471,5627,4482,79.70%
5,Oupalam,GEN,A. Anbalagan,AIADMK,9200,58.05%,U. C. Arumugam,DMK,6131,38.68%,3069,17791,15849,89.10%
6,Orleampeth,GEN,R. Siva,DMK,8509,52.61%,G. Nehru Kuppusamy,Independent,6549,40.49%,1960,18919,16174,85.50%
7,Nellithope,GEN,Omsakthi Sekar,AIADMK,9933,51.69%,R. V. Janakiraman,DMK,8490,44.18%,1443,22758,19215,84.40%
8,Mudaliarpet,GEN,Dr. M. A. S. Subramanian,DMK,10783,37.22%,P. Kannan,PMC,9379,32.38%,1404,32973,28968,87.90%
9,Ariankuppam,GEN,R. K. R. Anantharaman,PMK,13314,51.39%,T. Jayamoorthy,PMC,11512,44.43%,1802,29007,25910,89.30%
10,Embalam,SC,R. Rajaraman,DMK,7208,40.56%,L. Periyasamy,Independent,6683,37.61%,525,19955,17770,89.10%
11,Nettapakkam,GEN,V. Vaithilingam,INC,9166,52.20%,V. Muthunarayanan,PMC,7830,44.60%,1336,19421,17558,90.40%
12,Kuruvinatham,GEN,R. Radhakrishnan,INC,13020,74.66%,B. Navaneetha Kannan,JD(S),3557,20.40%,9463,19356,17439,90.10%
13,Bahour,SC,M. Kandasamy,INC,11164,60.06%,P. Rajavelu,PMC,6888,37.05%,4276,20457,18589,90.90%
14,Thirubuvanai,SC,Angalane,INC,10534,49.91%,S. Komala,MDMK,6378,30.22%,4156,23737,21108,88.90%
15,Mannadipet,GEN,P. Arulmurugan,PMK,8193,42.41%,N. Rajaram,Independent,6386,33.06%,1807,21462,19317,90.00%
16,Ossudu,SC,Abar Elumalai,Independent,6417,34.58%,P. Soundiraradjou Ponnas,Independent,3755,20.23%,2662,20134,18559,92.20%
17,Villianur,GEN,J. Narayanasamy,Independent,11950,49.35%,C. Djeacoumar,INC,10441,43.12%,1509,27179,24216,89.10%
18,Ozhukarai,GEN,A. Namassivayam,INC,14072,48.10%,K. Natarajan,AIADMK,12824,43.83%,1248,33116,29256,88.30%
19,Thattanchavady,GEN,N. Rangaswamy,INC,27024,90.16%,T. Gunasekaran,AIADMK,2026,6.76%,24998,35557,29975,84.30%
20,Reddiarpalayam,GEN,R. Viswanathan,CPI,17314,50.43%,A. M. Krishnamurthy,AIADMK,13925,40.56%,3389,44540,34330,77.10%
21,Lawspet,GEN,M. O. H. F. Shahjahan,INC,17944,43.03%,G. Anandhamurugesan,AIADMK,10986,26.35%,6958,51708,41700,80.60%
22,Cotchery,GEN,V. Omalingam,AIADMK,10116,50.25%,P. R. N. Thirumurugan,INC,9094,45.17%,1022,23065,20133,87.30%
23,Karaikal North,GEN,A. M. H. Nazeem,DMK,5742,45.20%,A. J. Assana,DMDK,5551,43.70%,191,15830,12703,80.20%
24,Karaikal South,GEN,V. K. Ganapathy,PMC,7970,55.06%,A. V. Subramanian,INC,6231,43.05%,1739,16688,14475,86.70%
25,Neravy T R Pattinam,GEN,V. M. C. Sivakumar,DMK,4946,31.41%,V. M. C. V. Ganapathy,Independent,4762,30.24%,184,18192,15748,86.60%
26,Thirunallar,GEN,P. R. Siva,MDMK,7237,49.69%,R. Kamalakkannan,INC,6952,47.73%,285,16579,14565,87.90%
27,Nedungadu,SC,A. Marimuthu,Independent,6143,43.47%,M. Chandirakasu,INC,5306,37.54%,837,15987,14133,88.40%
28,Mahe,GEN,E. Valsaraj,INC,5647,55.74%,T. Ashok Kumar,CPI(M),3700,36.52%,1947,12663,10131,80.00%
29,Palloor,GEN,A. V. Sreedharan,INC,5987,53.35%,T. K. Gangadharan,CPI(M),4512,40.20%,1475,14363,11223,78.10%
30,Yanam,GEN,Malladi Krishna Rao,INC,11763,64.89%,Raksha Harikrishna,Independent,5457,30.10%,6306,18739,18128,96.70%
