S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,GEN,ARIANCOUPOM,"RATHINAVELU, P.",CONG,3376,48.82,"THULASINGAM, V.",PF,3135,45.34,241,6915,9071,76.23194797
2,SC,BAHOUR,"THANGAVELY, C.",PF,2612,49.81,"SIVA, A.",CONG,2405,45.86,207,5244,6756,77.61989343
3,GEN,BUSSY,ACHREAFF C.M.,IND,2367,62.72,PAUL AMBROISE,CONG,789,20.91,1578,3774,5885,64.12914189
4,GEN,CALAPETH,JEEVARATHINA UDAYAR,CONG,4078,58.58,"NARAYANASAMY, P.",PF,1555,22.34,2523,6962,8943,77.84859667
5,GEN,CASSICADE,KANKEYAN A.S.,CONG,1799,39.98,KUPPUSAMY MUDALIAR,IND,1182,26.27,617,4500,6436,69.91920447
6,SC,COUCHERY,"NAGARAJAN, G.",CONG,4313,70.34,"SOKALINGAME, S.",IND,1614,26.32,2699,6132,7457,82.23146037
7,GEN,COUROSSUCOUPOM,PADMINI CHANDRASEKARAN,CONG,3605,53.23,"MURUGESA MUDALIAR, M.",IND,3168,46.77,437,6773,9426,71.85444515
8,GEN,COUROUVINATTAM,SUBRAMANYA PADAYATCHI,IND,3167,47.91,"PURUSHOTHAMAN, R.L.",CONG,1760,26.62,1407,6611,7628,86.66754064
9,SC,EMBALOM,"ANGAMMAL, P",CONG,4924,79.83,"ANDAVAN, S.",PF,1244,20.17,3680,6168,8119,75.96994704
10,GEN,GRAND ALDEE,"VARADHA PILLAI, V.M.C",CONG,3544,70.58,PANDARINATHAN,IND,1477,29.42,2067,5021,5897,85.14498898
11,GEN,KARIKAL NORTH,FAROOK MARICAR,CONG,4211,56.39,"SEMBULINGAM, M.",IND,2033,27.23,2178,7467,9394,79.48690654
12,GEN,KARIKAL SOUTH,MOHAMED IBRAHIM MARICAR,IND,2491,50.7,RAMASSAMY PILLAI,CONG,2422,49.3,69,4913,6320,77.73734177
13,GEN,MAHE,VALAVIL KESHAVAN,CONG,2283,50.14,IRAYI KUNNETHADUTHIL KUMARAN,IND,2270,49.86,13,4553,5101,89.25700843
14,GEN,MANNADIPET,MANICKAVASAGA REDDIAR,CONG,3369,51.4,"VENUGOPAL, M.,",PF,1347,20.55,2022,6555,7912,82.84883721
15,GEN,MODELIARPETH,"KAILASA SUBBIAH, V.",PF,3878,51.8,"SRINIVASAN, K.",CONG,3609,48.2,269,7487,9219,81.21271288
16,GEN,MUTHIALPET,"SHANMUGHAM, P",CONG,1726,33.06,THANGAPRAKASAM,IND,1429,27.37,297,5221,6503,80.28602184
17,GEN,NEDOUNCADOU,"SHANMUGHAM, P.",CONG,3697,65.6,MARIC PAUL ANDRE ALIAS PAUL,IND,1939,34.4,1758,5636,6648,84.77737665
18,GEN,NELLITOPE,"RANGANATHAN, N.",PF,3627,50.11,"PURUSHOTHAMAN, R.T.",CONG,3611,49.89,16,7238,10189,71.03739327
19,GEN,NERAVY,NAGAMUTTOU PILLAI,CONG,3222,56.8,RAMASSAMY,IND,2163,38.13,1059,5673,6665,85.11627907
20,GEN,NETTAPACOM,VENKATASUBBAREDDY,CONG,4965,83.54,"RAMAPUTHIRAN, S.",IND,978,16.46,3987,5943,7031,84.52567202
21,GEN,OULGARET,"GOVINDASAMY, S.",CONG,2511,40.92,"NARAYANASAMY, V.",PF,2481,40.43,30,6136,7837,78.29526605
22,GEN,OUPALOM,PERUMAL RAJA G.,IND,3098,55.47,"MUNISAMY, D.",CONG,2487,44.53,611,5585,8063,69.2670222
23,SC,OUSSOUDOU,"HARIKRISHNAN, N.",CONG,3027,55.07,PERUMAL.S,PF,2470,44.93,557,5497,8332,65.97455593
24,GEN,PALLOUR,VANMERI NADEYI PURUSHOTHAMAN,CONG,2436,64.62,POOTHATTA NARAYANAN,IND,1334,35.38,1102,3770,4132,91.23910939
25,GEN,POUDOUSARAM,"GURUSAMY, N.",PF,2698,46.86,"RAJAMANICKAM, G.",CONG,2426,42.14,272,5757,8049,71.52441297
26,GEN,RAJ NIVAS,EDOUARD GOUBERT,CONG,2722,78.47,PAKIAM S.,IND,662,19.08,2060,3469,5366,64.64778233
27,GEN,TIRNOULAR,SUBARAYALU,CONG,4000,68.92,SATHIAMOURTHY,IND,1772,30.53,2228,5804,6886,84.28695905
28,SC,TIROUBOUVANE,"KULANDAI, R.",IND,3698,61.93,"THANGAVELY, S.",IND,2273,38.07,1425,5971,7860,75.96692112
29,GEN,VILLENOUR,THILLAI KANAKARASU,CONG,4025,57.7,"ABDUL RAHIMAN, M.",PF,2518,36.1,1507,6976,8747,79.75305819
30,GEN,YANAM,KAMISHETTY SRI PARASURAMA VARA PRASADA RAO,INC,0,0,0,0,0,0,0,0,0,0
