S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,G. Palani Raja,DMK,7820,53.93%,A. Kasilingam,AIADMK,6281,43.32%,1539,19138,14608,76.30%
2,Cassicade,GEN,P. Kannan,INC,5273,62.76%,Saraswati Subbiah,CPI,1521,18.10%,3752,12312,8476,68.80%
3,Raj Bhavan,GEN,L. Joseph Mariadoss,INC,2419,54.77%,Louie Pragassa Kannaiya,DMK,1578,35.73%,841,6764,4461,66.00%
4,Bussy,GEN,C. M. Achraff,INC,2213,53.17%,S. Babu Ansardeen,DMK,1516,36.42%,697,6627,4213,63.60%
5,Oupalam,GEN,P. K. Loganathan,AIADMK,3898,38.99%,Sitha Vedanayagam,DMK,3040,30.41%,858,13403,10121,75.50%
6,Orleampeth,GEN,M. A. S. Subramanian,AIADMK,6635,55.70%,Na. Marimuthu,DMK,5079,42.64%,1556,12821,12037,93.90%
7,Nellithope,GEN,R. V. Janakiraman,DMK,5526,51.78%,B. Manimaran,AIADMK,4490,42.07%,1036,15108,10774,71.30%
8,Mudaliarpet,GEN,V. Sababady Kothandraman,INC,6260,47.06%,M. Manjini,CPI,5874,44.16%,386,17299,13388,77.40%
9,Ariankuppam,GEN,P. Purushothaman,AIADMK,5505,43.46%,P. Subbarayan,DMK,5127,40.47%,378,15726,12757,81.10%
10,Embalam,SC,K. Anbalagan,AIADMK,4509,51.03%,K. Siva Loganathan,DMK,4327,48.97%,182,11080,8952,80.80%
11,Nettapakkam,GEN,V. Vaithilingam,INC,6946,72.94%,P. Ramamurthy,DMK,2577,27.06%,4369,11622,9615,82.70%
12,Kuruvinatham,GEN,R. Ramansthan,DMK,4207,40.67%,K. Parasuraman,AIADMK,3361,32.49%,846,12173,10449,85.80%
13,Bahour,SC,P. Uthiravelu,JP,4911,47.50%,S. Narayanasamy,INC,4201,40.63%,710,12237,10426,85.20%
14,Thirubuvanai,SC,S. Komala,DMK,5745,54.39%,P. Cattavarayane,INC,4751,44.98%,994,13529,10667,78.80%
15,Mannadipet,GEN,D. Ramachandran,DMK,6383,56.48%,A. Krishnasamy,INC,4918,43.52%,1465,13257,11436,86.30%
16,Ossudu,SC,V. Nagarathinam,INC,6176,69.24%,R. Thangavelu Clemanso,CPI,2251,25.24%,3925,11656,9011,77.30%
17,Villianur,GEN,R. Subbaraya Gounder,INC,5696,52.34%,M. Venugopal,DMK,5187,47.66%,509,13755,11024,80.10%
18,Ozhukarai,GEN,R. Somasundaram,AIADMK,5729,53.78%,G. Perumal Raja,DMK,4428,41.57%,1301,12963,10743,82.90%
19,Thattanchavady,GEN,V. Pethaperumal,JP,6228,44.66%,T. Murugesan,INC,3926,28.16%,2302,18729,14039,75.00%
20,Reddiarpalayam,GEN,V. Balaji,INC,7852,56.58%,N. Ranganathan,CPI,4647,33.48%,3205,19983,13996,70.00%
21,Lawspet,GEN,M. O. H. Farook,INC,8804,60.36%,S. Muthu,DMK,5157,35.36%,3647,18828,14748,78.30%
22,Cotchery,GEN,N. Vengadasalam,INC,5774,55.94%,G. Panjavarnam,DMK,4441,43.02%,1333,12721,10424,81.90%
23,Karaikal North,GEN,V. Govindarajan,INC,4784,49.54%,V. M. Salih Maricar,Independent,3671,38.02%,1113,14651,9745,66.50%
24,Karaikal South,GEN,S. Ramassamy,Independent,3808,46.73%,A. M. Kassim,INC,2393,29.37%,1415,11196,8235,73.60%
25,Neravy T R Pattinam,GEN,V. M. C. Varada Pillai,AIADMK,5788,53.46%,V. M. C. Sivakumar,DMK,5038,46.54%,750,13125,10933,83.30%
26,Thirunallar,GEN,A. Sonudararengan,Independent,4246,45.19%,R. Kamalakkannan,DMK,3475,36.99%,771,11616,9498,81.80%
27,Nedungadu,SC,M. Chandirakasu,INC,5870,67.60%,M. Kaliaperumal,CPI(M),2674,30.80%,3196,11022,8751,79.40%
28,Mahe,GEN,P. K. Sathyanandan,INC,3695,53.04%,K. V. Raghavan,CPI(M),2719,39.03%,976,8509,6989,82.10%
29,Palloor,GEN,A. V. Sreedharan,INC,3766,54.05%,T. K. Chandrashekaran,JP,1943,27.88%,1823,8588,7005,81.60%
30,Yanam,GEN,Kamisetty Parasuram Naidu,INC,2884,41.45%,Raksha Harikrishna,Independent,2498,35.91%,386,8034,7011,87.30%
