S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
1,GEN,ARIANCOUPOM,S. PERUMAL,DMK,3774,50.11,P.C. PURUSHOTHAMA REDDY,INC,3758,49.89,16,7532,9080,82.95154185
2,SC,BAHOUR,K. KRISHNASAMY,INC,3211,52.22,R. THANGAVELU OLEMENCEAU,CPI,2938,47.78,273,6149,7300,84.23287671
3,GEN,BUSSY,C.M. ACHARAFF,DMK,2336,75.94,M.J. VINCENT,INC,740,24.06,1596,3076,4919,62.53303517
4,GEN,CALAPETH,M.O.H. FAROOK,DMK,4261,59.84,M. MURUGESA MUDALIAR,INC,2860,40.16,1401,7121,8462,84.15268258
5,GEN,CASSICADE,P. ANSARI DORASAMY,INC,2721,60.33,R. AZHWAR,CPI,1409,31.24,1312,4510,6639,67.93191746
6,SC,COTCHERY,M. BALAYA,INC,3097,47.41,T. JAYARAMAN,DMK,2546,38.97,551,6533,7972,81.94932263
7,GEN,COUROUSSOUCOUPOM,G. PERUMAL RAJA,DMK,4068,59.89,N. GOVINDARAJ,INC,1550,22.82,2518,6793,9043,75.11887648
8,GEN,COUROUVINATTAM,K.R. SUBRAMANYA PADAYACHI,INC,4050,56.13,M. RAJAGOPAL,CPI,2903,40.24,1147,7215,8528,84.60365854
9,SC,EMBALOM,M. VEERAMMAL,INC,3682,55.69,M. VEERAPPAN,DMK,2930,44.31,752,6612,8115,81.47874307
10,GEN,GRANDI ALDEE,Y. PANDARINATHAN,DMK,3852,70.82,G. MUTHUKRISHNAN,IND,1026,18.86,2826,5439,6461,84.18201517
11,GEN,KARIKAL NORTH,M. JAMBULINGAM,INC,4208,52.07,A.M. HAMEED MARICAR,IND,3873,47.93,335,8081,10452,77.31534635
12,GEN,KARIKAL SOUTH,MARIE LOURDES SILVARADJOU,DMK,2439,50.91,N.M. MOHAMED YUSSOUF,INC,2041,42.6,398,4791,6809,70.36275518
13,GEN,MAHE,I.K. KUMARAN,IND,2885,59.33,VALAVIL KESAVAN,INC,1978,40.67,907,4863,5872,82.81675749
14,GEN,MANNADIPETH,S.M. SUBBARAYAN,DMK,3499,50.99,D. KANNAPPAN,INC,2315,33.74,1184,6862,7973,86.06547096
15,GEN,MODELIARPETH,Y. KAILASA SURBIAN,CPI,4748,62.01,A.S. JANAKIPAMAN,INC,2909,37.99,1839,7657,9102,84.12436827
16,GEN,MOUTTALPETH,K. MURUGAIYAN,DMK,3290,55.52,M. THANGAPRAGASAM,INC,2636,44.48,654,5926,7244,81.80563225
17,GEN,NEDOUNCADOU,P. SHANMUGAM,INC,3103,50.16,A. SAVUNDARARANGAN,DMK,3083,49.84,20,6186,6998,88.39668477
18,GEN,NELLITOPE,N.RANGANATHAN,CPI,4372,57.11,B. CHANDRASEKARAN,INC,2759,36.04,1613,7655,10681,71.66931935
19,GEN,NERAVY,S. RAMASAMY,DMK,3447,53.88,M. KALIAPPA NAICKER,INC,2951,46.12,496,6398,7223,88.57815312
20,GEN,NETTAPACOM,D. RAMACHANDRAN,DMK,3545,51.1,V. VENKATASUBBA REDDIAR,INC,3393,48.9,152,6938,7662,90.55077003
21,GEN,OULGARET,S. MUTHU,DMK,3452,50.15,G. RAJAMANICKAM,INC,1823,26.49,1629,6883,8447,81.48455073
22,GEN,OUPALOM,S. GOVINDARAJALU,DMK,2676,46.59,K. KARUNAKARAN,IND,1730,30.12,946,5744,7783,73.80187588
23,SC,OUSSOUDOU,V. NAGARATHINAM,INC,3386,50.6,P.S. PERUMAL,CPI,3306,49.4,80,6692,8950,74.77094972
24,GEN,PALLOUR,V.N. PURUSHOTHAMAN,INC,2609,67.64,PONDEATTE ANANDIN,IND,1248,32.36,1361,3857,4721,81.69879263
25,GEN,POUDOUSARAM,N. GURUSAMY,CPI,3439,53.34,M. KRISHNASAMY,INC,2866,44.45,573,6447,8352,77.19109195
26,GEN,RAJ NIVAS,D. KANTHARAJ,INC,1766,51.62,S. SADAGOPAN,DMK,1655,48.38,111,3421,5178,66.06797992
27,GEN,TIRNOULAR,R. SUPPRAYALU NAICKER,DMK,3455,54.12,V. ARUNASALAM,INC,2814,44.08,641,6384,7433,85.88725952
28,SC,TIROUBOUVANE,M. THANGAVELU,DMK,3277,51.52,R. MANNATHAN,INC,2338,36.76,939,6361,8363,76.06122205
29,GEN,VILLENOUR,S. ARUMUGAM,DMK,4132,59.95,S.V. MURUGESA NADAR,INC,2760,40.05,1372,6892,8306,82.97616181
30,GEN,YANAON,K.S. P.V. RAO NAIDU,IND,2287,55.56,YARRA ZAGANNADHARAO,INC,1829,44.44,458,4116,4686,87.83610755
