S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Mannadipet,GEN,T. P. R. Selvame,All India N.R. Congress,12412,49.55879417,K.P.K. Arul Murugan,Pattali Makkal Katchi,7696,27.60599756,4716,27878,25045,89.80%
2,Thirubuvanai (SC),SC,P. Angalane,All India N.R. Congress,13733,59.01843655,K. Jayaraj,Indian National Congress,8965,34.9921936,4768,25620,23269,90.80%
3,Ossudu (SC),SC,P. Karthikeyan,All India N.R. Congress,13327,58.78175723,A. Elumalai,Dravida Munnetra Kazhagam,8169,32.97941058,5158,24770,22672,91.50%
4,Mangalam,GEN,C.Djeacoumar,Indian National Congress,14052,52.59375702,P. Anandabaskaran,All India N.R. Congress,11759,40.5398883,2293,29006,26718,92.10%
5,Villianur,GEN,A. Namassivayam,Indian National Congress,13105,52.02874385,K. Nadarajan,All India N.R. Congress,11564,40.60678418,1541,28478,25188,88.40%
6,Ozhukarai,GEN,N.G. Pannirselvam,All India N.R. Congress,9071,37.76908023,A.N. Balane,Independent,7505,26.77392886,1566,28031,24017,85.70%
7,Kadirkamam,GEN,N. Rangaswamy,All India N.R. Congress,16323,70.01672886,V. Pethaperumal,Indian National Congress,6566,23.47850962,9757,27966,23313,83.40%
8,Indira Nagar,GEN,N. Rangaswamy,All India N.R. Congress,20685,83.76867938,V. Aroumougam,Indian National Congress,4008,13.74391331,16677,29162,24693,84.70%
9,Thattanchavady,GEN,Ashok Anand,All India N.R. Congress,14597,67.98789008,N. Arjunan,Independent,4091,15.24956201,10506,26827,21470,80.00%
10,Kamaraj Nagar,GEN,V. Vaithilingam,Indian National Congress,12570,59.00577383,Nara. Kalainathan,Communist Party Of India,6541,24.00807488,6029,27245,21303,78.20%
11,Lawspet,GEN,M. Vaithianathan,All India N.R. Congress,10189,51.79179586,V.P. Sivakolundhu,Indian National Congress,4757,20.03116052,5432,23748,19673,82.80%
12,Kalapet,GEN,P.M.L. Kalyanasundaram,All India N.R. Congress,14132,62.42876706,M. O. H. F. Shahjahan,Indian National Congress,7766,30.0728005,6366,25824,22637,87.70%
13,Muthialpet,GEN,Nandha. T. Saravanan,Dravida Munnetra Kazhagam,10364,47.8242813,A. Kasilingam,All India Anna Dravida Munnetra Kazhagam,7388,27.62385493,2976,26745,21671,81.00%
14,Raj Bhavan,GEN,K. Lakshminarayan,Indian National Congress,11398,59.57246642,M. Saravanakumar,All India Anna Dravida Munnetra Kazhagam,4327,17.4461737,7071,24802,19133,77.10%
15,Oupalam,GEN,A. Anbalagan,All India Anna Dravida Munnetra Kazhagam,9536,42.59424692,Bussy N. Anand,Independent,6332,24.69675104,3204,25639,22388,87.30%
16,Orleampeth,GEN,G.Nehru,All India N.R. Congress,10986,55.26156942,R. Siva,Dravida Munnetra Kazhagam,8368,35.41111252,2618,23631,19880,84.10%
17,Nellithope,GEN,Omsakthi Sekar,All India Anna Dravida Munnetra Kazhagam,13301,58.5070819,R. V. Janakiraman,Dravida Munnetra Kazhagam,8783,32.76383034,4518,26807,22734,84.80%
18,Mudaliarpet,GEN,A. Baskar,All India Anna Dravida Munnetra Kazhagam,17016,67.1507498,M.A.S. Subramanian,Dravida Munnetra Kazhagam,7289,24.89072531,9727,29284,25340,86.50%
19,Ariankuppam,GEN,V.Sabapathy,All India N.R. Congress,13381,49.1244172,T. Djeamourthy,Indian National Congress,10750,34.71101066,2631,30970,27239,88.00%
20,Manavely,GEN,P. Purushothaman,All India Anna Dravida Munnetra Kazhagam,13979,57.98009125,R. K. R. Anantharaman,Pattali Makkal Katchi,9646,35.73783854,4333,26991,24110,89.30%
21,Embalam (SC),SC,P. Rajavelu,All India N.R. Congress,12933,51.95436468,M. Candassamy,Indian National Congress,11465,42.64935645,1468,26882,24893,92.60%
22,Nettapakkam (SC),SC,L. Periyasamy,All India Anna Dravida Munnetra Kazhagam,14686,59.79641694,S. Muthukumarasamy,Indian National Congress,9219,33.8014226,5467,27274,24560,90.00%
23,Bahour,GEN,T. Thiagarajan,All India N.R. Congress,12284,53.42263199,R. Radhakrishnan,Indian National Congress,10229,41.26260589,2055,24790,22994,92.80%
24,Nedungadu (SC),SC,M.Chandhrakasu,All India N.R. Congress,12474,55.05340277,A. Marimottou,Independent,4984,18.53614996,7490,26888,22658,84.30%
25,Thirunallar,GEN,P. R. Siva,All India N.R. Congress,11702,50.76789588,R. Kamalakannan,Indian National Congress,10862,40.65424059,840,26718,23050,86.30%
26,Karaikal North,GEN,P. R. N. Thirumurugan,Indian National Congress,12155,55.68790947,M.V.Omalingam,All India Anna Dravida Munnetra Kazhagam,8795,33.71152593,3360,26089,21827,83.70%
27,Karaikal South,GEN,A.M.H. Nazeem,Dravida Munnetra Kazhagam,8377,39.36930163,V.K. Ganapathy,Independent,6801,25.37497202,1576,26802,21278,79.40%
28,Neravy T R Pattinam,GEN,V.M.C. Sivakumar,Independent,8860,39.30440955,Anandan Geetha,Dravida Munnetra Kazhagam,8502,32.27422845,358,26343,22542,85.60%
29,Mahe,GEN,E. Valsaraj,Indian National Congress,13297,60.51242377,T.K.Gangadharan,Communist Party of India (Marxist),7193,25.25277349,6104,28484,21974,77.10%
30,Yanam,GEN,Malladi Krishna Rao,Indian National Congress,23985,80.94563126,Manchala Satya Sai Kumar,All India Anna Dravida Munnetra Kazhagam,4867,15.73247996,19118,30936,29631,95.80%
