S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,A. Kasilingam,AIADMK,6857,38.02%,Raja Chandrasekaran,DMK,4947,27.43%,1910,27915,18053,64.70%
2,Cassicade,GEN,K. Lakshminarayanan,PMC,4875,51.52%,R. Malar Mannan,PMK,3097,32.73%,1778,13835,9468,68.40%
3,Raj Bhavan,GEN,S. P. Sivakumar,DMK,2408,57.79%,A. Gandhiraj,INC,1308,31.39%,1100,6345,4172,65.80%
4,Bussy,GEN,Annibal Kennedy,DMK,3087,63.77%,S. Babu Ansardeen,AIADMK,904,18.67%,2183,9495,4844,51.00%
5,Oupalam,GEN,A. Anbalagan,AIADMK,8416,59.24%,P. Pandian,PMC,5044,35.50%,3372,19499,14212,72.90%
6,Orleampeth,GEN,R. Siva,DMK,7608,49.41%,G. Chezhian,AIADMK,4223,27.42%,3385,21923,15408,70.30%
7,Nellithope,GEN,R. V. Janakiraman,DMK,7780,51.42%,Dr. J. Nannan,AIADMK,5839,38.59%,1941,20076,15139,75.40%
8,Mudaliarpet,GEN,Dr. M. A. S. Subramanian,DMK,9119,40.98%,V. Sababady Kothandraman,INC,7616,34.22%,1503,30403,22264,73.20%
9,Ariankuppam,GEN,T. Jayamoorthy,Independent,9790,45.23%,K. R. Anantharaman,PMK,5628,26.00%,4162,29222,21658,74.10%
10,Embalam,SC,N. Gangadaran,INC,3723,25.44%,S. Palanivelu,DMK,3087,21.10%,636,19544,14633,74.90%
11,Nettapakkam,GEN,V. Vaithilingam,INC,5984,39.47%,K. Dhanraju,PMK,4771,31.47%,1213,19095,15162,79.40%
12,Kuruvinatham,GEN,R. Radhakrishnan,PMC,8000,50.58%,T. Thiagarajan,INC,5979,37.81%,2021,18924,15815,83.60%
13,Bahour,SC,P. Rajavelu,PMC,7696,48.91%,M. Kandasamy,TMC(M),5063,32.18%,2633,19865,15735,79.20%
14,Thirubuvanai,SC,P. Angalane,INC,4753,28.60%,Durai Arivudainambi,Independent,3949,23.76%,804,21805,16618,76.20%
15,Mannadipet,GEN,D. Ramachandran,AIADMK,8939,55.29%,N. Rajaram,INC,4237,26.21%,4702,20444,16169,79.10%
16,Ossudu,SC,Abar Elumalai,PMC,5364,34.65%,S. Balaraman,PMK,5200,33.59%,164,19063,15483,81.20%
17,Villianur,GEN,C. Djeacoumar,TMC(M),10335,50.51%,J. Narayanasamy,PMC,6246,30.52%,4089,25350,20463,80.70%
18,Ozhukarai,GEN,A. Namassivayam,TMC(M),10164,45.49%,K. Natarajan,AIADMK,6021,26.95%,4143,31075,22363,72.00%
19,Thattanchavady,GEN,N. Rangaswamy,INC,14323,58.90%,V. Pethaperumal,JD(U),8769,36.06%,5554,35863,24341,67.90%
20,Reddiarpalayam,GEN,A. M. Krishnamurthy,BJP,11446,44.85%,R. Viswanathan,CPI,7985,31.29%,3461,36429,25543,70.10%
21,Lawspet,GEN,M. O. H. F. Shahjahan,INC,12929,38.51%,N. Kesavan,DMK,10962,32.65%,1967,51323,33621,65.50%
22,Cotchery,GEN,R. Nalamagarajan,INC,7058,43.50%,M. Ramadass,PMK,5382,33.17%,1676,22838,16238,71.10%
23,Karaikal North,GEN,A. M. H. Nazeem,DMK,6273,46.92%,A. J. Assana,AIADMK,3969,29.69%,2304,21870,13378,61.20%
24,Karaikal South,GEN,A. V. Subramanian,INC,6138,51.39%,V. K. Ganapathy,PMC,5229,43.78%,909,17109,11950,69.80%
25,Neravy T R Pattinam,GEN,V. M. C. Sivakumar,DMK,6672,46.96%,V. M. C. V. Ganapathy,TMC(M),3741,26.33%,2931,19881,14219,71.50%
26,Thirunallar,GEN,R. Kamalakkannan,INC,5390,42.00%,N. V. R. Arivoli,DMK,4615,35.96%,775,17294,12835,74.20%
27,Nedungadu,SC,M. Chandirakasu,INC,5720,45.35%,A. Marimuthu,DMK,4660,36.95%,1060,16565,12618,76.20%
28,Mahe,GEN,E. Valsaraj,INC,5666,59.87%,Manoli Muhammad,Independent,3131,33.08%,2535,12978,9468,73.00%
29,Palloor,GEN,A. V. Sreedharan,INC,4855,49.23%,P. Dineshan,CPI(M),3392,34.40%,1463,13892,9865,71.00%
30,Yanam,GEN,Malladi Krishna Rao,Independent,8959,57.34%,Gollapalli Gangadhara Pratap,BJP,5981,38.28%,2978,18727,15624,83.40%
