S.no,Constituency,Type,Winner Candidate,Winner Party,Winner Votes,Winner %,Runner Candidate,Runner Party,Runner Votes,Runner %,Margin,Total Electors,Total Votes,Poll%
1,Muthialpet,GEN,G. Palani Raja,AIADMK,4170,42.69%,M. Velayudham,JP,2713,27.77%,1457,14397,9856,68.50%
2,Cassicade,GEN,Ansari P. Duraisamy,JP,3551,47.01%,N. Arumughom,AIADMK,2661,35.23%,890,11603,7631,65.80%
3,Raj Bhavan,GEN,D. Ramajayam,JP,1411,35.31%,Dana Kanthraj,INC,1397,34.96%,14,7042,4030,57.20%
4,Bussy,GEN,S. Susairaj,AIADMK,1289,31.87%,C. M. Achraff,INC,1162,28.73%,127,6495,4076,62.80%
5,Oupalam,GEN,C. N. Parthasarathy,AIADMK,2551,36.69%,D. Munisamy,JP,2304,33.14%,247,9970,7037,70.60%
6,Orleampeth,GEN,N. Manimaram Marimuthu,AIADMK,3779,44.54%,S. Ramalingam,JP,1800,21.22%,1979,12949,8587,66.30%
7,Nellithope,GEN,R. Kannan,JP,2757,38.20%,P. Vengatesan,AIADMK,2137,29.61%,620,10958,7274,66.40%
8,Mudaliarpet,GEN,V. Sababady Kothandraman,INC,3947,41.68%,A. Radharishanan,AIADMK,2243,23.69%,1704,12608,9551,75.80%
9,Ariankuppam,GEN,P. Subbarayan,DMK,3345,34.86%,G. Dharmalingam,INC,2583,26.92%,762,12397,9688,78.10%
10,Embalam,SC,K. Sivaloganathan,AIADMK,2442,36.55%,G. Murugesan,INC,2200,32.92%,242,8781,6794,77.40%
11,Nettapakkam,GEN,S. Srvaprakasam,INC,3122,41.73%,R. Subbaraya Goundar,JP,2915,38.97%,207,8909,7573,85.00%
12,Kuruvinatham,GEN,N. Vengadasamy,AIADMK,3359,39.87%,K. R. Subramaniya Padayachi,JP,2939,34.89%,420,10327,8511,82.40%
13,Bahour,SC,P. Uthiravelu,JP,3399,45.56%,A. Thulukkanam,AIADMK,2346,31.44%,1053,9294,7531,81.00%
14,Thirubuvanai,SC,M. Maniyam,AIADMK,3226,44.42%,G. Pichaikaran,JP,1413,19.45%,1813,9904,7372,74.40%
15,Mannadipet,GEN,D. Ramachandran,AIADMK,3824,44.53%,N. Rajaram Reddiar,JP,2096,24.41%,1728,10085,8657,85.80%
16,Ossudu,SC,M. Thangavelu,AIADMK,2902,41.96%,V. Nagarathinam,INC,1640,23.71%,1262,9580,7031,73.40%
17,Villianur,GEN,S. Pazhaninathan,AIADMK,2891,35.00%,P. Varadarassu,JP,2728,33.03%,163,10476,8362,79.80%
18,Ozhukarai,GEN,G. Perumal Raja,DMK,2477,31.68%,G. Venugopal,AIADMK,2216,28.34%,261,9787,7923,81.00%
19,Thattanchavady,GEN,V. Pethaperumal,JP,4669,54.46%,V. Narayanasamy,CPI,2005,23.39%,2664,12104,8630,71.30%
20,Reddiarpalayam,GEN,V. Subbiah,CPI,2775,35.35%,R. Vengatachala Gounder,JP,2688,34.24%,87,11795,7929,67.20%
21,Lawspet,GEN,N. Varadhan,AIADMK,4477,47.73%,M. K. Jeevarathina Odayar,INC,2530,26.97%,1947,12680,9496,74.90%
22,Cotchery,GEN,T. Subbaiya,AIADMK,3041,37.84%,G. Panjavarnam,Independent,1674,20.83%,1367,10221,8141,79.60%
23,Karaikal North,GEN,K. Kandhi,Independent,3995,42.84%,S. Ameerudeen,JP,2040,21.87%,1955,14897,9416,63.20%
24,Karaikal South,GEN,S. Ramassamy,AIADMK,3424,47.36%,S. Savarirajan,JP,2698,37.32%,726,10159,7304,71.90%
25,Neravy T R Pattinam,GEN,V. M. C. Varada Pillai,JP,3314,36.71%,V. M. C. Sivakumar,DMK,3134,34.71%,180,11595,9110,78.60%
26,Thirunallar,GEN,N. V. Ramalingam,DMK,2654,34.06%,A. Soundarengan,AIADMK,2376,30.49%,278,9883,7865,79.60%
27,Nedungadu,SC,P. Selvaraj,AIADMK,2789,39.15%,R. Kuppusamy,INC,2688,37.73%,101,9353,7202,77.00%
28,Mahe,GEN,K. V. Raghavan,Independent,2847,48.58%,P. K. Raman,INC,2835,48.38%,12,7337,5903,80.50%
29,Palloor,GEN,T. K. Chandrashekaran,Independent,2853,54.21%,Vanmeri Nadeyi Purushothaman,INC,2297,43.64%,556,6586,5317,80.70%
30,Yanam,GEN,Kamisetty Parasuram Naidu,JP,2047,48.07%,Abdul Khader Jeelani Mohammed,INC,1981,46.52%,66,5036,4308,85.50%
